,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,FY2020 Final Grants,,
,,,,,Includes,,Includes,,Includes,,Includes,,,,,,,,,,,as of 3-13-2020,,
,,,,,Full Day K,,Full Day K,,Full Day K,,Full Day K,,,,,,FY2020,,Stabilization,,, Grants = Max of Preliminary Grant plus Stabiliation Grant @ 100% OR 95% of 11-15-18 Grant Estimate ,,
,From EOY Data Excl Charter And OOS,,,,18-19 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,Special Education Differentiated Aid,ELL,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,FY 2020 First Estimate on         11-15-18,Minimum First FY20 Estimate as of   11-15-18 X,,,
65,Bridgewater,TRUE,65,Bridgewater, 90.02 ," 333,867.71 ", 21.13 ," 39,188.61 ", 11.30 ," 22,548.87 ", -   , -   , 1.00 , 725.63 ," 396,330.82 "," 745,661 ", -   , -   , -   , -   , -   , -   ,,
67,Bristol,TRUE,67,Bristol, 364.32 ," 1,351,196.45 ", 163.33 ," 302,871.43 ", 44.98 ," 89,738.96 ", -   , -   , 2.00 ," 1,451.26 "," 1,745,258.10 "," 1,023,999 "," 721,259.10 "," 267,027.00 "," 267,027.00 "," 902,432.65 "," 857,311.02 "," 988,286.10 ",,
69,Brookfield,TRUE,69,Brookfield, 83.41 ," 309,352.68 ", 25.38 ," 47,069.73 ", 2.99 ," 5,972.66 ", -   , -   , 1.00 , 725.63 ," 363,120.70 "," 216,728 "," 146,392.70 "," 56,013.00 "," 56,013.00 "," 179,865.79 "," 170,872.50 "," 202,405.70 ",,
71,Brookline,TRUE,71,Brookline," 1,116.04 "," 4,139,165.00 ", 68.85 ," 127,683.15 ", 162.42 ," 324,071.78 ", 4.01 ," 2,906.58 ", 19.68 ," 14,280.25 "," 4,608,106.76 "," 1,243,505 "," 3,364,601.76 "," 758,524.00 "," 758,524.00 "," 3,949,447.01 "," 3,751,974.66 "," 4,123,125.76 ",,
73,Cambridge,TRUE,73,Cambridge, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 21,481 ", -   , 203.00 , -   , -   , -   , -   ,,
75,Campton,TRUE,75,Campton, 400.54 ," 1,485,526.98 ", 132.53 ," 245,765.25 ", 75.08 ," 149,801.16 ", 1.25 , 903.99 , 7.00 ," 5,079.41 "," 1,887,076.79 "," 815,785 "," 1,071,291.79 "," 669,210.00 "," 669,210.00 "," 1,591,519.69 "," 1,511,943.71 "," 1,740,501.79 ",,
77,Canaan,TRUE,77,Canaan, 446.73 ," 1,656,829.22 ", 184.29 ," 341,752.03 ", 98.96 ," 197,440.20 ", 3.00 ," 2,176.89 ", 3.67 ," 2,664.66 "," 2,200,863.00 "," 752,560 "," 1,448,303.00 "," 956,783.00 "," 956,783.00 "," 2,160,843.43 "," 2,052,801.26 "," 2,405,086.00 ",,
79,Candia,TRUE,79,Candia, 455.56 ," 1,689,572.56 ", 84.59 ," 156,861.26 ", 70.38 ," 140,429.66 ", 3.74 ," 2,713.86 ", 11.00 ," 7,981.93 "," 1,997,559.27 "," 977,308 "," 1,020,251.27 ", -   , -   ," 973,025.98 "," 924,374.68 "," 1,020,251.27 ",,
81,Canterbury,TRUE,81,Canterbury, 224.83 ," 833,844.27 ", 46.56 ," 86,337.52 ", 31.72 ," 63,289.46 ", 1.74 ," 1,260.71 ", -   , -   ," 984,731.96 "," 573,629 "," 411,102.96 ", -   , -   ," 374,126.22 "," 355,419.91 "," 411,102.96 ",,
83,Carroll,TRUE,83,Carroll, 55.62 ," 206,289.39 ", 21.92 ," 40,640.04 ", 4.19 ," 8,364.12 ", 1.91 ," 1,385.66 ", 1.00 , 725.63 ," 257,404.84 "," 677,265 ", -   , -   , -   , -   , -   , -   ,,
87,Center Harbor,TRUE,87,Center Harbor, 108.55 ," 402,592.15 ", 24.77 ," 45,938.00 ", 8.81 ," 17,582.79 ", -   , -   , 1.00 , 725.63 ," 466,838.57 "," 897,060 ", -   , -   , -   , -   , -   , -   ,,
89,Charlestown,TRUE,89,Charlestown, 636.16 ," 2,359,374.89 ", 252.96 ," 469,091.01 ", 139.00 ," 277,331.20 ", 2.00 ," 1,451.26 ", 11.77 ," 8,538.27 "," 3,115,786.63 "," 536,716 "," 2,579,070.63 "," 2,520,022.00 "," 2,520,022.00 "," 4,606,934.66 "," 4,376,587.93 "," 5,099,092.63 ",,
91,Chatham,TRUE,91,Chatham, 50.51 ," 187,334.56 ", 7.34 ," 13,609.11 ", 11.00 ," 21,947.31 ", -   , -   , -   , -   ," 222,890.98 "," 105,722 "," 117,168.98 ", -   , -   ," 103,491.95 "," 98,317.35 "," 117,168.98 ",,
93,Chester,TRUE,93,Chester, 770.76 ," 2,858,587.80 ", 40.59 ," 75,268.36 ", 133.20 ," 265,752.99 ", 2.00 ," 1,451.26 ", 20.50 ," 14,873.38 "," 3,215,933.79 "," 1,283,296 "," 1,932,637.79 "," 532,325.00 "," 532,325.00 "," 2,392,427.00 "," 2,272,805.65 "," 2,464,962.79 ",,
95,Chesterfield,TRUE,95,Chesterfield, 425.46 ," 1,577,949.41 ", 83.39 ," 154,632.30 ", 58.19 ," 116,099.08 ", 4.00 ," 2,902.52 ", 8.78 ," 6,369.44 "," 1,857,952.75 "," 1,062,933 "," 795,019.75 "," 119,256.00 "," 119,256.00 "," 813,116.54 "," 772,460.71 "," 914,275.75 ",,
99,Chichester,TRUE,99,Chichester, 319.63 ," 1,185,445.14 ", 50.64 ," 93,905.62 ", 47.29 ," 94,344.90 ", 3.00 ," 2,176.89 ", 3.00 ," 2,176.89 "," 1,378,049.44 "," 591,484 "," 786,565.44 "," 115,615.00 "," 115,615.00 "," 798,584.70 "," 758,655.47 "," 902,180.44 ",,
101,Claremont,TRUE,101,Claremont," 1,677.60 "," 6,221,853.04 ", 922.58 ," 1,710,819.09 ", 304.53 ," 607,600.90 ", 16.89 ," 12,252.70 ", 14.22 ," 10,316.35 "," 8,562,842.08 "," 1,413,115 "," 7,149,727.08 "," 6,282,807.00 "," 6,282,807.00 "," 12,113,914.81 "," 11,508,219.07 "," 13,432,534.08 ",,
103,Clarksville,TRUE,103,Clarksville, 18.71 ," 69,387.19 ", 13.67 ," 25,348.63 ", 4.00 ," 7,980.84 ", -   , -   , -   , -   ," 102,716.66 "," 98,816 "," 3,900.66 "," 46,927.00 "," 46,927.00 "," 42,269.15 "," 40,155.69 "," 50,827.66 ",,
105,Colebrook,TRUE,105,Colebrook, 239.85 ," 889,537.53 ", 107.27 ," 198,913.59 ", 39.70 ," 79,201.86 ", -   , -   , 5.00 ," 3,628.15 "," 1,171,281.13 "," 315,873 "," 855,408.13 "," 1,088,007.00 "," 1,088,007.00 "," 1,634,016.15 "," 1,552,315.34 "," 1,943,415.13 ",,
107,Columbia,TRUE,107,Columbia, 66.99 ," 248,450.06 ", 33.77 ," 62,613.14 ", 11.22 ," 22,395.63 ", -   , -   , 1.00 , 725.63 ," 334,184.46 "," 142,529 "," 191,655.46 "," 199,764.00 "," 199,764.00 "," 346,948.32 "," 329,600.90 "," 391,419.46 ",,
111,Concord,TRUE,111,Concord," 4,210.49 "," 15,615,794.82 "," 1,647.01 "," 3,054,191.30 ", 695.96 ," 1,388,584.95 ", 361.58 ," 262,373.44 ", 43.93 ," 31,874.46 "," 20,352,818.97 "," 7,730,534 "," 12,622,284.97 "," 1,794,128.00 "," 1,794,128.00 "," 13,231,619.13 "," 12,570,038.17 "," 14,416,412.97 ",,
113,Conway,TRUE,113,Conway," 1,184.72 "," 4,393,851.38 ", 484.96 ," 899,293.08 ", 191.59 ," 382,268.87 ", 11.24 ," 8,155.28 ", 18.00 ," 13,061.34 "," 5,696,629.95 "," 3,335,752 "," 2,360,877.95 "," 793,690.00 "," 793,690.00 "," 2,810,024.97 "," 2,669,523.72 "," 3,154,567.95 ",,
115,Cornish,TRUE,115,Cornish, 129.93 ," 481,874.00 ", 21.64 ," 40,128.78 ", 15.00 ," 29,928.15 ", -   , -   , 4.00 ," 2,902.52 "," 554,833.45 "," 370,228 "," 184,605.45 "," 418,638.00 "," 418,638.00 "," 528,221.21 "," 501,810.15 "," 603,243.45 ",,
117,Croydon,TRUE,117,Croydon, 86.71 ," 321,587.57 ", 22.39 ," 41,521.79 ", 11.83 ," 23,608.12 ", -   , -   , 1.00 , 725.63 ," 387,443.11 "," 178,006 "," 209,437.11 "," 190,872.00 "," 190,872.00 "," 336,986.90 "," 320,137.56 "," 400,309.11 ",,
119,Dalton,TRUE,119,Dalton, 116.61 ," 432,497.53 ", 52.55 ," 97,441.55 ", 29.78 ," 59,414.16 ", -   , -   , 1.00 , 725.63 ," 590,078.87 "," 177,988 "," 412,090.87 "," 329,178.00 "," 329,178.00 "," 690,647.01 "," 656,114.66 "," 741,268.87 ",,
123,Danbury,TRUE,123,Danbury, 123.43 ," 457,789.92 ", 45.72 ," 84,773.35 ", 17.90 ," 35,712.06 ", 1.00 , 725.63 , 1.00 , 725.63 ," 579,726.59 "," 235,487 "," 344,239.59 "," 390,811.00 "," 390,811.00 "," 661,024.35 "," 627,973.13 "," 735,050.59 ",,
125,Danville,TRUE,125,Danville, 562.20 ," 2,085,063.88 ", 87.26 ," 161,810.05 ", 127.48 ," 254,356.55 ", 2.00 ," 1,451.26 ", 7.00 ," 5,079.41 "," 2,507,761.15 "," 873,341 "," 1,634,420.15 "," 1,082,128.00 "," 1,082,128.00 "," 2,562,313.18 "," 2,434,197.52 "," 2,716,548.15 ",,
127,Deerfield,TRUE,127,Deerfield, 668.65 ," 2,479,893.92 ", 105.84 ," 196,259.23 ", 140.81 ," 280,939.14 ", 0.06 , 40.35 , 7.76 ," 5,631.69 "," 2,962,764.33 "," 1,185,499 "," 1,777,265.33 "," 341,247.00 "," 341,247.00 "," 1,868,241.10 "," 1,774,829.05 "," 2,118,512.33 ",,
129,Deering,TRUE,129,Deering, 187.77 ," 696,413.20 ", 80.48 ," 149,233.83 ", 37.22 ," 74,259.92 ", -   , -   , 1.00 , 725.63 ," 920,632.58 "," 397,790 "," 522,842.58 "," 398,400.00 "," 398,400.00 "," 839,931.93 "," 797,935.33 "," 921,242.58 ",,
131,Derry,TRUE,131,Derry," 4,748.85 "," 17,612,422.47 "," 1,148.11 "," 2,129,037.60 "," 1,013.59 "," 2,022,333.28 ", 62.60 ," 45,424.44 ", 76.86 ," 55,774.32 "," 21,864,992.11 "," 6,517,602 "," 15,347,390.11 "," 8,658,713.00 "," 8,658,713.00 "," 22,700,517.33 "," 21,565,491.46 "," 24,006,103.11 ",,
