,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bethlehem,TRUE,53,Bethlehem, 242.57 ," 1,034,724.40 ", 84.03 ," 201,084.01 ", 36.73 ," 80,259.00 ", -   , -   , -   , -   ," 1,316,067.41 "," 637,643 "," 586,742,802.46 "," 6,982,298.63 ", -   , -   ," 678,424.41 "," 473,633.25 ","378,906.60","1,086,243.33", -   ," 1,057,331.01 ",," 1,694,974.01 ",,,,,,
55,Boscawen,TRUE,55,Boscawen, 465.41 ," 1,985,260.42 ", 136.99 ," 327,804.91 ", 104.50 ," 228,324.30 ", 4.00 ," 3,329.28 ", 0.08 , 319.92 ," 2,545,038.83 "," 561,210 "," 524,572,656.42 "," 3,829,290.98 "," 6,712.54 "," 919,547.68 "," 2,903,376.51 "," 199,447.04 ","159,557.64","3,269,363.99"," 42,961.64 "," 3,105,895.79 ",," 3,667,105.79 ",,,,,,
57,Bow,TRUE,57,Bow," 1,417.77 "," 6,047,708.79 ", 77.51 ," 185,485.04 ", 221.01 ," 482,861.88 ", 12.01 ," 9,992.50 ", -   , -   ," 6,726,048.21 "," 2,194,127 "," 2,126,555,629.57 "," 27,434,436.18 ", -   , -   ," 4,531,921.21 "," 152,476.07 ","121,980.85","4,694,856.06", -   ," 4,653,902.06 ",," 6,848,029.06 ",,,,,,
59,Bradford,TRUE,59,Bradford, 198.30 ," 845,879.40 ", 53.23 ," 127,383.99 ", 38.80 ," 84,778.78 ", -   , -   , 0.30 ," 1,279.69 "," 1,059,321.86 "," 376,902 "," 341,392,992.68 "," 6,413,099.08 "," 1,002.33 "," 53,357.49 "," 735,777.35 "," 205,177.25 ","164,141.80","830,826.93", -   ," 899,919.15 ",," 1,276,821.15 ",,,,,,
63,Brentwood,TRUE,63,Brentwood, 620.90 ," 2,648,541.85 ", 48.60 ," 116,297.59 ", 117.46 ," 256,620.38 ", 1.00 , 832.32 , -   , -   ," 3,022,292.14 "," 1,220,803 "," 1,126,701,188.48 "," 23,182,818.12 ", -   , -   ," 1,801,489.14 ", -   ,0.00,"1,814,380.42", -   ," 1,801,489.14 ",," 3,022,292.14 ",,,,,,
65,Bridgewater,TRUE,65,Bridgewater, 78.99 ," 336,959.97 ", 19.55 ," 46,785.89 ", 10.98 ," 23,979.71 ", 2.00 ," 1,664.64 ", -   , -   ," 409,390.21 "," 913,415 "," 827,947,257.66 "," 42,346,344.46 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 913,415.00 ",,,,,,
67,Bristol,TRUE,67,Bristol, 334.24 ," 1,425,726.61 ", 145.06 ," 347,123.91 ", 67.85 ," 148,234.62 ", 3.00 ," 2,496.96 ", -   , -   ," 1,923,582.10 "," 1,131,503 "," 1,039,356,257.82 "," 7,164,866.12 ", -   , -   ," 792,079.10 ", -   ,0.00,"896,436.95"," 59,536.00 "," 851,615.10 ",," 1,983,118.10 ",,,,,,
69,Brookfield,TRUE,69,Brookfield, 84.15 ," 358,940.38 ", 16.00 ," 38,286.72 ", 11.00 ," 24,033.24 ", 1.00 , 832.32 , -   , -   ," 422,092.66 "," 235,384 "," 212,324,816.22 "," 13,270,301.01 ", -   , -   ," 186,708.66 "," 73,003.94 ","58,403.15","219,723.67", -   ," 245,111.81 ",," 480,495.81 ",,,,,,
71,Brookline,TRUE,71,Brookline," 1,043.35 "," 4,450,539.71 ", 43.55 ," 104,211.67 ", 166.80 ," 364,436.99 ", 13.36 ," 11,117.22 ", 0.30 ," 1,279.69 "," 4,931,585.28 "," 1,293,996 "," 1,167,560,036.77 "," 26,809,644.93 ", -   , -   ," 3,637,589.28 "," 647,384.36 ","517,907.48","4,190,084.39", -   ," 4,155,496.77 ",," 5,449,492.77 ",,,,,,
73,Cambridge,TRUE,73,Cambridge, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 13,127 "," 11,999,878.39 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 13,127.00 ",,,,,,
