,,,Loc #,State Total,"152,139.62","648,972,840.96 ","40,467.85","96,836,327.38 ","31,459.30 ","68,733,540.23 ","5,846.82","4,866,428.29 ",34.55 ,"147,375.73 "," 819,556,512.59 "," 363,516,836 ","337,545,735,414",,," $180,171,742.78 "," 664,710,118.36 "," 59,449,971.16 "," 47,559,976.93 "," 716,948,319.53 "," 3,200,171.37 "," 715,470,266.68 ",,"1,078,987,102.68 ",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Landaff,TRUE,291,Landaff, 39.17 ," 167,068.91 ", 10.40 ," 24,878.47 ", 5.21 ," 11,373.40 ", 1.00 , 832.32 , -   , -   ," 204,153.10 "," 151,142 "," 138,180,339.86 "," 13,290,788.41 ", -   , -   ," 53,011.10 "," 41,506.77 ","33,205.42","85,669.70", -   ," 86,216.52 ",," 237,358.52 ",,,,,,
293,Langdon,TRUE,293,Langdon, 66.40 ," 283,223.57 ", 21.90 ," 52,403.27 ", 13.94 ," 30,465.63 ", -   , -   , -   , -   ," 366,092.47 "," 123,280 "," 114,672,616.08 "," 5,236,359.89 "," 3,602.92 "," 78,901.41 "," 321,713.88 "," 56,761.14 ","45,408.92","318,459.04", -   ," 367,122.80 ",," 490,402.80 ",,,,,,
295,Lebanon,TRUE,295,Lebanon," 1,299.33 "," 5,542,478.29 ", 360.48 ," 862,597.17 ", 244.72 ," 534,666.83 ", 51.09 ," 42,524.48 ", 0.30 ," 1,279.69 "," 6,983,546.46 "," 3,835,681 "," 3,574,473,518.23 "," 9,915,902.20 ", -   , -   ," 3,147,865.46 "," 382,399.62 ","305,919.70","3,413,667.49", -   ," 3,453,785.16 ",," 7,289,466.16 ",,,,,,
297,Lee,TRUE,297,Lee, 697.44 ," 2,975,015.16 ", 88.58 ," 211,964.85 ", 121.16 ," 264,710.84 ", 12.01 ," 9,995.25 ", 0.15 , 639.85 ," 3,462,325.95 "," 1,141,463 "," 1,037,459,517.34 "," 11,712,119.18 ", -   , -   ," 2,320,862.95 "," 532,931.89 ","426,345.51","2,756,765.16", -   ," 2,747,208.46 ",," 3,888,671.46 ",,,,,,
299,Lempster,TRUE,299,Lempster, 160.45 ," 684,403.17 ", 65.34 ," 156,357.94 ", 32.78 ," 71,617.96 ", -   , -   , -   , -   ," 912,379.07 "," 238,305 "," 257,777,317.33 "," 3,945,053.90 "," 6,456.71 "," 421,893.39 "," 1,095,967.46 "," 68,931.35 ","55,145.08","1,059,350.47", -   ," 1,151,112.54 ",," 1,389,417.54 ",,,,,,
303,Lincoln,TRUE,303,Lincoln, 111.90 ," 477,340.47 ", 35.56 ," 85,086.97 ", 25.57 ," 55,856.75 ", 4.00 ," 3,329.28 ", -   , -   ," 621,613.47 "," 2,256,065 "," 2,032,460,847.57 "," 57,159,353.15 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,256,065.00 ",,,,,,
311,Lisbon,TRUE,311,Lisbon, 173.13 ," 738,523.90 ", 83.31 ," 199,349.62 ", 53.64 ," 117,190.45 ", 2.59 ," 2,152.96 ", -   , -   ," 1,057,216.93 "," 243,114 "," 225,214,797.32 "," 2,703,396.16 "," 9,200.77 "," 766,498.58 "," 1,580,601.51 "," 59,833.62 ","47,866.90","1,655,299.53", -   ," 1,628,468.41 ",," 1,871,582.41 ",,,,,,
315,Litchfield,TRUE,315,Litchfield," 1,078.81 "," 4,601,803.57 ", 163.70 ," 391,714.78 ", 211.70 ," 462,535.22 ", 11.07 ," 9,211.87 ", -   , -   ," 5,465,265.44 "," 1,836,098 "," 1,711,261,208.17 "," 10,453,808.11 ", -   , -   ," 3,629,167.44 "," 1,922,948.73 ","1,538,358.99","5,191,074.20", -   ," 5,167,526.43 ",," 7,003,624.43 ",,,,,,
317,Littleton,TRUE,317,Littleton, 565.83 ," 2,413,619.40 ", 324.43 ," 776,323.79 ", 123.83 ," 270,541.31 ", 17.49 ," 14,558.61 ", 0.30 ," 1,279.69 "," 3,476,322.80 "," 1,225,747 "," 1,540,639,977.42 "," 4,748,828.09 "," 4,680.36 "," 1,518,428.60 "," 3,769,004.40 "," 653,174.79 ","522,539.84","4,155,831.18", -   ," 4,291,544.24 ",," 5,517,291.24 ",,,,,,
319,Londonderry,TRUE,319,Londonderry," 3,618.78 "," 15,436,408.88 ", 517.52 ," 1,238,375.10 ", 744.78 ," 1,627,215.74 ", 26.53 ," 22,084.78 ", -   , -   ," 18,324,084.50 "," 7,179,642 "," 7,091,917,873.72 "," 13,703,757.49 ", -   , -   ," 11,144,442.50 "," 1,291,794.52 ","1,033,435.61","12,193,579.13", -   ," 12,177,878.11 ",," 19,357,520.11 ",,,,,,
321,Loudon,TRUE,321,Loudon, 577.67 ," 2,464,138.23 ", 137.05 ," 327,943.94 ", 134.30 ," 293,427.07 ", 0.70 , 583.12 , -   , -   ," 3,086,092.36 "," 1,102,176 "," 1,011,479,599.00 "," 7,380,498.45 ", -   , -   ," 1,983,916.36 "," 599,109.11 ","479,287.29","2,454,514.11", -   ," 2,463,203.65 ",," 3,565,379.65 ",,,,,,
323,Lyman,TRUE,323,Lyman, 37.00 ," 157,828.68 ", 4.00 ," 9,571.68 ", 4.00 ," 8,739.36 ", -   , -   , -   , -   ," 176,139.72 "," 138,105 "," 127,325,795.04 "," 31,831,448.76 ", -   , -   ," 38,034.72 "," 95,079.15 ","76,063.32","114,156.01", -   ," 114,098.04 ",," 252,203.04 ",,,,,,
327,Lyme,TRUE,327,Lyme, 269.80 ," 1,150,872.23 ", 12.43 ," 29,738.25 ", 39.00 ," 85,208.76 ", -   , -   , 0.15 , 639.85 ," 1,266,459.09 "," 697,467 "," 630,970,109.95 "," 50,771,678.36 ", -   , -   ," 568,992.09 ", -   ,0.00,"597,354.91", -   ," 568,992.09 ",," 1,266,459.09 ",,,,,,
329,Lyndeborough,TRUE,329,Lyndeborough, 143.88 ," 613,740.28 ", 35.89 ," 85,890.27 ", 29.19 ," 63,766.30 ", -   , -   , -   , -   ," 763,396.85 "," 361,579 "," 327,083,007.20 "," 9,112,597.19 ", -   , -   ," 401,817.85 "," 47,469.44 ","37,975.55","419,185.88", -   ," 439,793.40 ",," 801,372.40 ",,,,,,
331,Madbury,TRUE,331,Madbury, 331.79 ," 1,415,314.61 ", 28.08 ," 67,194.39 ", 72.60 ," 158,629.87 ", 3.00 ," 2,496.96 ", -   , -   ," 1,643,635.83 "," 485,067 "," 464,778,710.67 "," 16,551,653.66 ", -   , -   ," 1,158,568.83 "," 91,904.38 ","73,523.50","1,224,076.17", -   ," 1,232,092.33 ",," 1,717,159.33 ",,,,,,
333,Madison,TRUE,333,Madison, 209.60 ," 894,084.54 ", 76.17 ," 182,272.31 ", 42.06 ," 91,884.76 ", 2.00 ," 1,664.64 ", -   , -   ," 1,169,906.25 "," 1,141,597 "," 1,036,958,674.06 "," 13,613,473.20 ", -   , -   ," 28,309.25 "," 358,682.40 ","286,945.92","316,876.88", -   ," 315,255.17 ",," 1,456,852.17 ",,,,,,
335,Manchester,TRUE,335,Manchester," 11,529.30 "," 49,179,836.00 "," 6,279.96 "," 15,027,435.90 "," 2,661.20 "," 5,814,306.70 "," 2,136.81 "," 1,778,509.78 ", -   , -   ," 71,800,088.38 "," 19,626,112 "," 18,025,313,533.17 "," 2,870,292.28 "," 8,831.93 "," 55,464,135.38 "," 107,638,111.76 ", -   ,0.00,"108,192,796.41", -   ," 107,638,111.76 ",," 127,264,223.76 ",,,,,,
339,Marlborough,TRUE,339,Marlborough, 215.80 ," 920,517.01 ", 81.40 ," 194,781.77 ", 51.27 ," 112,017.18 ", -   , -   , -   , -   ," 1,227,315.96 "," 320,747 "," 294,902,691.68 "," 3,622,918.80 "," 7,168.62 "," 583,520.25 "," 1,490,089.21 "," 38,804.14 ","31,043.32","1,552,452.23", -   ," 1,521,132.53 ",," 1,841,879.53 ",,,,,,
341,Marlow,TRUE,341,Marlow, 83.49 ," 356,151.51 ", 30.39 ," 72,713.66 ", 19.43 ," 42,443.79 ", -   , -   , -   , -   ," 471,308.96 "," 137,036 "," 124,626,623.42 "," 4,101,313.83 "," 6,111.37 "," 185,706.23 "," 519,979.19 "," 213,249.14 ","170,599.31","713,508.06", -   ," 690,578.50 ",," 827,614.50 ",,,,,,
344,Martin's Location,TRUE,344,Martin's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 ," 570,265.00 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,, 75.00 ,,,,,,
345,Mason,TRUE,345,Mason, 154.01 ," 656,952.07 ", 23.93 ," 57,268.32 ", 22.02 ," 48,103.84 ", -   , -   , -   , -   ," 762,324.23 "," 341,707 "," 313,636,696.97 "," 13,105,108.43 ", -   , -   ," 420,617.23 ", -   ,0.00,"423,705.80", -   ," 420,617.23 ",," 762,324.23 ",,,,,,
347,Meredith,TRUE,347,Meredith, 623.48 ," 2,659,519.90 ", 216.21 ," 517,366.53 ", 135.49 ," 296,013.70 ", 5.69 ," 4,739.56 ", -   , -   ," 3,477,639.69 "," 4,700,502 "," 4,218,151,736.12 "," 19,509,765.34 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,700,502.00 ",,,,,,
351,Merrimack,TRUE,351,Merrimack," 3,348.61 "," 14,283,948.98 ", 441.21 ," 1,055,789.09 ", 696.21 ," 1,521,114.88 ", 92.48 ," 76,975.78 ", 1.13 ," 4,798.85 "," 16,942,627.58 "," 6,986,042 "," 6,454,050,825.24 "," 14,627,947.47 ", -   , -   ," 9,956,585.58 ", -   ,0.00,"9,927,463.04", -   ," 9,956,585.58 ",," 16,942,627.58 ",,,,,,
353,Middleton,TRUE,353,Middleton, 260.53 ," 1,111,306.71 ", 92.69 ," 221,790.42 ", 51.85 ," 113,294.44 ", 3.00 ," 2,496.96 ", -   , -   ," 1,448,888.53 "," 404,724 "," 366,905,001.65 "," 3,958,576.33 "," 6,426.82 "," 595,676.95 "," 1,639,841.48 "," 187,057.87 ","149,646.29","1,591,964.03", -   ," 1,789,487.77 ",," 2,194,211.77 ",,,,,,
355,Milan,TRUE,355,Milan, 154.50 ," 659,028.16 ", 51.40 ," 122,985.80 ", 20.53 ," 44,849.52 ", 2.00 ," 1,664.64 ", -   , -   ," 828,528.12 "," 223,047 "," 225,711,220.03 "," 4,391,636.27 "," 5,469.76 "," 281,122.05 "," 886,603.17 "," 572,572.33 ","458,057.86","1,302,367.19", -   ," 1,344,661.03 ",," 1,567,708.03 ",,,,,,
357,Milford,TRUE,357,Milford," 1,851.78 "," 7,899,007.64 ", 376.36 ," 900,602.96 ", 378.37 ," 826,688.40 ", 48.95 ," 40,742.56 ", 2.70 ," 11,517.23 "," 9,678,558.79 "," 3,091,424 "," 2,810,231,950.26 "," 7,466,842.25 ", -   , -   ," 6,587,134.79 "," 1,250,316.01 ","1,000,252.81","7,534,312.17", -   ," 7,587,387.60 ",," 10,678,811.60 ",,,,,,
358,Millsfield,TRUE,358,Millsfield, 2.00 ," 8,531.28 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,531.28 "," 13,261 "," 11,937,255.32 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 13,261.00 ",,,,,,
359,Milton,TRUE,359,Milton, 492.84 ," 2,102,285.27 ", 226.88 ," 542,893.73 ", 120.76 ," 263,848.27 ", 6.00 ," 4,993.92 ", -   , -   ," 2,914,021.19 "," 927,145 "," 852,136,941.83 "," 3,755,975.50 "," 6,874.57 "," 1,559,667.74 "," 3,546,543.93 "," 115,071.91 ","92,057.53","3,534,044.57", -   ," 3,638,601.46 ",," 4,565,746.46 ",,,,,,
365,Monroe,TRUE,365,Monroe, 128.64 ," 548,737.47 ", 22.58 ," 54,021.13 ", 30.54 ," 66,721.74 ", -   , -   , -   , -   ," 669,480.34 "," 153,473 "," 562,481,125.71 "," 24,915,665.98 ", -   , -   ," 516,007.34 "," 25,689.29 ","20,551.44","536,668.04", -   ," 536,558.78 ",," 690,031.78 ",,,,,,
367,Mont Vernon,TRUE,367,Mont Vernon, 421.14 ," 1,796,431.20 ", 43.52 ," 104,144.19 ", 84.42 ," 184,442.66 ", 1.17 , 969.99 , -   , -   ," 2,085,988.04 "," 613,220 "," 553,920,528.18 "," 12,727,426.90 ", -   , -   ," 1,472,768.04 "," 36,554.18 ","29,243.35","1,447,680.22", -   ," 1,502,011.39 ",," 2,115,231.39 ",,,,,,
369,Moultonborough,TRUE,369,Moultonborough, 426.88 ," 1,820,921.95 ", 98.21 ," 235,002.45 ", 91.38 ," 199,644.34 ", 9.87 ," 8,211.34 ", 0.30 ," 1,279.69 "," 2,265,059.77 "," 7,151,245 "," 6,422,469,185.32 "," 65,396,998.45 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 7,151,245.00 ",,,,,,
371,Nashua,TRUE,371,Nashua," 9,462.57 "," 40,363,911.55 "," 4,381.24 "," 10,483,962.80 "," 2,054.87 "," 4,489,560.64 "," 1,638.83 "," 1,364,027.99 ", 1.77 ," 7,562.98 "," 56,709,025.96 "," 18,542,760 "," 17,065,655,318.93 "," 3,895,163.37 "," 6,566.96 "," 28,771,458.90 "," 66,937,724.86 ", -   ,0.00,"64,654,777.96", -   ," 66,937,724.86 ",," 85,480,484.86 ",,,,,,
375,Nelson,TRUE,375,Nelson, 61.58 ," 262,662.75 ", 11.31 ," 27,067.99 ", 10.00 ," 21,848.40 ", -   , -   , -   , -   ," 311,579.14 "," 195,584 "," 180,521,030.75 "," 15,958,788.75 ", -   , -   ," 115,995.14 "," 56,864.24 ","45,491.39","150,788.18", -   ," 161,486.53 ",," 357,070.53 ",,,,,,
377,New Boston,TRUE,377,New Boston, 911.37 ," 3,887,579.74 ", 77.74 ," 186,024.40 ", 186.56 ," 407,601.57 ", 3.02 ," 2,515.85 ", 0.53 ," 2,239.46 "," 4,485,961.02 "," 1,331,005 "," 1,203,156,414.07 "," 15,476,770.68 ", -   , -   ," 3,154,956.02 ", -   ,0.00,"3,101,491.52", -   ," 3,154,956.02 ",," 4,485,961.02 ",,,,,,
379,Newbury,TRUE,379,Newbury, 181.24 ," 773,116.96 ", 36.60 ," 87,571.54 ", 40.38 ," 88,216.63 ", -   , -   , -   , -   ," 948,905.13 "," 2,104,481 "," 1,888,837,321.30 "," 51,613,076.84 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,104,481.00 ",,,,,,
381,New Castle,TRUE,381,New Castle, 39.30 ," 167,626.86 ", -   , -   , 3.72 ," 8,128.92 ", -   , -   , -   , -   ," 175,755.78 "," 1,666,173 "," 1,490,161,130.70 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,666,173.00 ",,,,,,
383,New Durham,TRUE,383,New Durham, 294.01 ," 1,254,130.58 ", 66.90 ," 160,083.48 ", 46.83 ," 102,321.52 ", -   , -   , -   , -   ," 1,516,535.58 "," 896,537 "," 807,099,788.79 "," 12,064,488.28 ", -   , -   ," 619,998.58 ", -   ,0.00,"706,757.46"," 51,421.01 "," 671,419.59 ",," 1,567,956.59 ",,,,,,
387,Newfields,TRUE,387,Newfields, 241.44 ," 1,029,908.07 ", 17.83 ," 42,673.66 ", 45.05 ," 98,426.39 ", -   , -   , -   , -   ," 1,171,008.12 "," 503,058 "," 451,727,978.66 "," 25,330,588.21 ", -   , -   ," 667,950.12 ", -   ,0.00,"681,618.02", -   ," 667,950.12 ",," 1,171,008.12 ",,,,,,
389,New Hampton,TRUE,389,New Hampton, 217.26 ," 926,758.92 ", 74.09 ," 177,285.22 ", 44.93 ," 98,172.73 ", 6.72 ," 5,591.19 ", -   , -   ," 1,207,808.06 "," 628,524 "," 610,513,754.70 "," 8,240,453.23 ", -   , -   ," 579,284.06 "," 234,978.51 ","187,982.81","790,064.08", -   ," 767,266.87 ",," 1,395,790.87 ",,,,,,
391,Newington,TRUE,391,Newington, 62.98 ," 268,667.50 ", 2.00 ," 4,785.84 ", 5.73 ," 12,510.83 ", -   , -   , -   , -   ," 285,964.17 "," 952,422 "," 1,306,534,504.84 "," 653,267,252.42 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 952,422.00 ",,,,,,
393,New Ipswich,TRUE,393,New Ipswich, 616.03 ," 2,627,754.96 ", 116.12 ," 277,864.20 ", 81.29 ," 177,604.55 ", 2.61 ," 2,170.69 ", -   , -   ," 3,085,394.40 "," 903,792 "," 826,366,374.62 "," 7,116,529.08 ", -   , -   ," 2,181,602.40 "," 745,418.04 ","596,334.43","2,726,831.65", -   ," 2,777,936.83 ",," 3,681,728.83 ",,,,,,
395,New London,TRUE,395,New London, 330.09 ," 1,408,064.73 ", 21.38 ," 51,171.40 ", 35.98 ," 78,617.75 ", -   , -   , -   , -   ," 1,537,853.88 "," 2,359,231 "," 2,124,132,903.43 "," 99,330,491.87 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,359,231.00 ",,,,,,
399,Newmarket,TRUE,399,Newmarket, 937.26 ," 3,998,025.26 ", 199.82 ," 478,162.37 ", 184.95 ," 404,083.54 ", 20.71 ," 17,239.84 ", 0.45 ," 1,919.54 "," 4,899,430.55 "," 1,896,048 "," 1,703,106,287.12 "," 8,523,040.23 ", -   , -   ," 3,003,382.55 ", -   ,0.00,"3,034,516.59", -   ," 3,003,382.55 ",," 4,899,430.55 ",,,,,,
401,Newport,TRUE,401,Newport, 620.80 ," 2,648,087.98 ", 347.26 ," 830,970.19 ", 193.87 ," 423,564.44 ", 8.85 ," 7,362.87 ", -   , -   ," 3,909,985.48 "," 904,740 "," 833,022,456.39 "," 2,398,829.86 "," 9,873.86 "," 3,428,816.51 "," 6,434,061.99 "," 1,423,727.60 ","1,138,982.08","7,651,036.15", -   ," 7,573,044.07 ",," 8,477,784.07 ",,,,,,
403,Newton,TRUE,403,Newton, 491.96 ," 2,098,542.60 ", 64.55 ," 154,471.60 ", 128.21 ," 280,117.03 ", 4.00 ," 3,329.28 ", -   , -   ," 2,536,460.51 "," 1,089,154 "," 994,164,358.10 "," 15,400,602.88 ", -   , -   ," 1,447,306.51 ", -   ,0.00,"1,469,900.85", -   ," 1,447,306.51 ",," 2,536,460.51 ",,,,,,
404,Northfield,TRUE,404,Northfield, 484.34 ," 2,066,011.55 ", 155.26 ," 371,524.52 ", 116.52 ," 254,582.14 ", 2.00 ," 1,664.64 ", -   , -   ," 2,693,782.85 "," 754,673 "," 690,051,442.83 "," 4,444,492.38 "," 5,352.95 "," 831,097.90 "," 2,770,207.75 "," 1,887,842.76 ","1,510,274.21","4,220,307.50", -   ," 4,280,481.96 ",," 5,035,154.96 ",,,,,,
405.00, North Hampton , TRUE ,405,North Hampton, 380.37 ," 1,622,541.96 ", 13.98 ," 33,447.52 ", 76.11 ," 166,289.92 ", 1.23 ," 1,026.25 ", 2.70 ," 11,517.23 "," 1,834,822.88 "," 2,171,558 "," 1,962,948,126.57 "," 140,434,272.20 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,171,558.00 ",,,,,,
407,Northumberland,TRUE,407,Northumberland, 251.57 ," 1,073,115.16 ", 101.56 ," 243,023.52 ", 78.94 ," 172,470.18 ", -   , -   , -   , -   ," 1,488,608.86 "," 196,962 "," 264,472,455.98 "," 2,604,115.98 "," 9,420.18 "," 956,707.64 "," 2,248,354.50 "," 590,831.25 ","472,665.00","3,063,379.85"," 189,191.36 "," 2,910,210.86 ",," 3,107,172.86 ",,,,,,
411,Northwood,TRUE,411,Northwood, 554.60 ," 2,365,719.68 ", 77.23 ," 184,816.94 ", 111.59 ," 243,812.63 ", 1.00 , 832.32 , -   , -   ," 2,795,181.57 "," 1,167,476 "," 1,061,478,701.12 "," 13,743,511.04 ", -   , -   ," 1,627,705.57 "," 419,102.52 ","335,282.01","1,994,501.06", -   ," 1,962,987.58 ",," 3,130,463.58 ",,,,,,
413,Nottingham,TRUE,413,Nottingham, 760.63 ," 3,244,569.06 ", 72.10 ," 172,523.79 ", 106.70 ," 233,118.06 ", 1.00 , 832.32 , -   , -   ," 3,651,043.23 "," 1,433,303 "," 1,315,611,784.10 "," 18,247,650.19 ", -   , -   ," 2,217,740.23 ", -   ,0.00,"2,166,086.14", -   ," 2,217,740.23 ",," 3,651,043.23 ",,,,,,
414,Odell,TRUE,414,Odell, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,248 "," 3,792,866.44 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,248.00 ",,,,,,
415,Orange,TRUE,415,Orange, 31.90 ," 136,063.25 ", 4.00 ," 9,571.68 ", 6.00 ," 13,109.04 ", -   , -   , -   , -   ," 158,743.97 "," 56,615 "," 51,861,568.57 "," 12,965,392.14 ", -   , -   ," 102,128.97 "," 129,630.21 ","103,704.17","207,270.31", -   ," 205,833.14 ",," 262,448.14 ",,,,,,
419,Ossipee,TRUE,419,Ossipee, 526.45 ," 2,245,639.78 ", 272.08 ," 651,066.15 ", 123.10 ," 268,952.71 ", 6.00 ," 4,995.83 ", 0.98 ," 4,159.00 "," 3,174,813.47 "," 1,718,079 "," 1,552,796,548.98 "," 5,707,128.08 "," 2,562.52 "," 697,211.32 "," 2,153,945.79 "," 194,977.32 ","155,981.86","2,355,364.27", -   ," 2,309,927.64 ",," 4,028,006.64 ",,,,,,
425,Pelham,TRUE,425,Pelham," 1,547.96 "," 6,603,020.05 ", 180.85 ," 432,755.99 ", 299.08 ," 653,447.85 ", 19.29 ," 16,055.29 ", -   , -   ," 7,705,279.18 "," 3,553,614 "," 3,266,738,423.95 "," 18,063,397.95 ", -   , -   ," 4,151,665.18 ", -   ,0.00,"4,124,717.71", -   ," 4,151,665.18 ",," 7,705,279.18 ",,,,,,
427,Pembroke,TRUE,427,Pembroke, 926.80 ," 3,953,411.79 ", 203.49 ," 486,932.90 ", 201.94 ," 441,197.85 ", 4.97 ," 4,138.05 ", -   , -   ," 4,885,680.59 "," 1,328,586 "," 1,221,843,799.45 "," 6,004,471.00 "," 1,905.39 "," 387,726.62 "," 3,944,821.21 "," 1,349,053.14 ","1,079,242.52","5,677,645.59"," 369,699.58 "," 5,393,763.31 ",," 6,722,349.31 ",,,,,,
429,Penacook,TRUE,429,Penacook, 696.18 ," 2,969,651.98 ", 260.95 ," 624,423.62 ", 182.40 ," 398,514.16 ", 12.32 ," 10,255.85 ", -   , -   ," 4,002,845.61 "," 763,151 "," 743,557,458.00 "," 2,849,465.42 "," 8,877.96 "," 2,316,669.72 "," 5,556,364.33 ", -   ,0.00,"5,542,105.86", -   ," 5,556,364.33 ",," 6,319,515.33 ",,,,,,
431,Peterborough,TRUE,431,Peterborough, 596.17 ," 2,543,035.93 ", 188.30 ," 450,584.68 ", 127.06 ," 277,602.27 ", 5.47 ," 4,549.29 ", -   , -   ," 3,275,772.17 "," 1,419,713 "," 1,287,331,223.13 "," 6,836,629.72 ", 66.32 ," 12,488.51 "," 1,868,547.68 "," 402,822.45 ","322,257.96","2,154,163.54", -   ," 2,190,805.64 ",," 3,610,518.64 ",,,,,,
435,Piermont,TRUE,435,Piermont, 75.40 ," 321,638.64 ", 12.77 ," 30,556.39 ", 16.77 ," 36,638.67 ", -   , -   , -   , -   ," 388,833.70 "," 186,859 "," 171,253,191.34 "," 13,411,111.74 ", -   , -   ," 201,974.70 "," 149,609.85 ","119,687.88","299,764.03", -   ," 321,662.58 ",," 508,521.58 ",,,,,,
436,Pinkham's Grant,TRUE,436,Pinkham's Grant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,311 "," 4,089,162.57 ", -   ,  , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,311.00 ",,,,,,
437,Pittsburg,TRUE,437,Pittsburg, 53.35 ," 227,565.07 ", 19.35 ," 46,299.17 ", 11.35 ," 24,794.44 ", -   , -   , -   , -   ," 298,658.68 "," 678,002 "," 621,766,586.69 "," 32,135,297.32 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 678,002.00 ",,,,,,
439,Pittsfield,TRUE,439,Pittsfield, 468.39 ," 1,997,975.44 ", 222.93 ," 533,451.50 ", 133.64 ," 291,980.05 ", -   , -   , -   , -   ," 2,823,406.99 "," 619,294 "," 567,481,737.89 "," 2,545,570.49 "," 9,549.56 "," 2,128,875.62 "," 4,332,988.61 "," 699,592.29 ","559,673.83","5,180,673.56"," 28,977.44 "," 4,921,639.88 ",," 5,540,933.88 ",,,,,,
441,Plainfield,TRUE,441,Plainfield, 258.32 ," 1,101,907.80 ", 17.59 ," 42,098.88 ", 44.53 ," 97,296.82 ", 2.00 ," 1,664.64 ", -   , -   ," 1,242,968.14 "," 589,820 "," 536,355,215.61 "," 30,486,680.32 ", -   , -   ," 653,148.14 "," 92,325.45 ","73,860.36","743,719.20", -   ," 727,008.50 ",," 1,316,828.50 ",,,,,,
443,Plaistow,TRUE,443,Plaistow, 927.88 ," 3,958,008.02 ", 172.45 ," 412,661.69 ", 209.90 ," 458,592.67 ", 15.17 ," 12,624.55 ", -   , -   ," 4,841,886.93 "," 1,989,012 "," 1,823,531,312.77 "," 10,574,193.57 ", -   , -   ," 2,852,874.93 ", -   ,0.00,"2,734,225.80", -   ," 2,852,874.93 ",," 4,841,886.93 ",,,,,,
447,Plymouth,TRUE,447,Plymouth, 564.08 ," 2,406,167.33 ", 172.55 ," 412,887.58 ", 113.06 ," 247,023.47 ", 13.02 ," 10,833.98 ", 0.15 , 639.85 ," 3,077,552.21 "," 868,029 "," 805,439,178.44 "," 4,667,981.36 "," 4,859.04 "," 838,404.72 "," 3,047,927.93 "," 1,177,843.61 ","942,274.89","4,130,535.69", -   ," 3,990,202.82 ",," 4,858,231.82 ",,,,,,
449,Portsmouth,TRUE,449,Portsmouth," 2,052.94 "," 8,757,106.39 ", 365.78 ," 875,282.52 ", 422.04 ," 922,099.71 ", 75.53 ," 62,866.29 ", -   , -   ," 10,617,354.91 "," 11,022,761 "," 10,118,760,813.11 "," 27,663,508.25 ", -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 11,022,761.00 ",,,,,,
451,Randolph,TRUE,451,Randolph, 23.78 ," 101,449.29 ", 5.78 ," 13,838.02 ", 4.78 ," 10,449.87 ", -   , -   , -   , -   ," 125,737.18 "," 129,517 "," 131,981,424.49 "," 22,822,705.65 ", -   , -   , -   , -   ,0.00,"2,925.92"," 2,779.62 "," 2,779.62 ",," 132,296.62 ",,,,,,
453,Raymond,TRUE,453,Raymond," 1,081.17 "," 4,611,877.31 ", 294.55 ," 704,834.83 ", 225.10 ," 491,811.85 ", 12.56 ," 10,451.28 ", -   , -   ," 5,818,975.27 "," 2,149,136 "," 1,954,460,865.42 "," 6,635,410.63 ", 511.02 ," 150,520.08 "," 3,820,359.35 "," 1,209,931.76 ","967,945.41","4,620,143.06", -   ," 4,788,304.76 ",," 6,937,440.76 ",,,,,,
455,Richmond,TRUE,455,Richmond, 129.53 ," 552,513.85 ", 42.33 ," 101,286.56 ", 26.88 ," 58,732.21 ", 1.00 , 832.32 , -   , -   ," 713,364.94 "," 211,050 "," 203,509,965.21 "," 4,807,973.17 "," 4,549.65 "," 192,575.92 "," 694,890.86 "," 151,388.59 ","121,110.87","798,284.60", -   ," 816,001.73 ",," 1,027,051.73 ",,,,,,
459,Rindge,TRUE,459,Rindge, 489.52 ," 2,088,136.14 ", 105.87 ," 253,344.66 ", 81.92 ," 178,974.66 ", 2.25 ," 1,873.89 ", -   , -   ," 2,522,329.35 "," 1,412,531 "," 1,286,916,997.73 "," 12,155,335.73 ", -   , -   ," 1,109,798.35 ", -   ,0.00,"1,178,243.84"," 9,533.30 "," 1,119,331.65 ",," 2,531,862.65 ",,,,,,
