,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FY2021 Final Grants,,,,,
,,,,,,,,,,,,,,,,,,,New FY2021  ,New FY2021  ,New FY2021  ,,,,First Estimate FY2021,,as of 4-1-2021,,,,,
,,,,,,,,,,,,,,,,,,,only,only,only,FY2021,,Stabilization,as of 11-15-19,, Grants = Max of Preliminary Grant plus Stabiliation Grant @ 100% OR 95% of 11-15-19 Grant Estimate ,,,,,
,From EOY Data Excl Charter And OOS,,,,19-20 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,Special Education Differentiated Aid,ELL,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,% F&R Eligible        19-20 F&R / 19-20 EOY,F&R Additional Aid ,Fiscal Capacity Disparity Aid,Preliminary        Grants = Cost of Adequacy Less SWEPT + F&R Aid + Fiscal Disparity,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,Adequacy Grant = Preliminary Grant + Stabilization Grant + F&R + Fiscal Disparity,Minimum First FY21 Estimate as of   11-15-19 X,,,,,,
,,,,,ADM," 3,708.78 ",ADM," 1,854.38 ",ADM," 1,995.21 ",ADM, 725.63 ,ADM, 725.63 , ADM ," 3,708.78 ",$,$1.925 ,,,,,,100%,,95%,,,,,,
,,,,State Total,"167,284.28","620,420,601.22 ","45,684.59","84,716,585.22 ","29,374.16 ","58,607,614.97 ","4,970.88","3,607,017.23 ","2,269.50"," 1,646,813.88 ",38.757," 143,741.22 "," 769,142,373.74 "," 363,068,238 ",," 11,737,311.15 "," 47,505,896.81 "," 490,999,494.13 "," 158,480,276 "," 157,262,893.00 "," 654,655,067.73 "," 621,922,314.40 "," 649,510,185.66 ",,,,,
71,Brookline,TRUE,71,Brookline," 1,126.40 "," 4,177,570.53 ", 48.22 ," 89,416.53 ", 166.97 ," 333,138.82 ", 9.00 ," 6,530.67 ", 20.00 ," 14,512.60 ", 0.600 ," 2,225.27 "," 4,623,394.42 "," 1,235,449 ",4.28%, -   ," 1,295,117.15 "," 4,683,062.57 "," 758,524.00 "," 758,524.00 "," 5,435,595.66 "," 5,163,815.88 "," 5,441,586.57 ",,,,,
73,Cambridge,TRUE,73,Cambridge, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 17,460 ",0.00%, -   , -   , -   , 203.00 , -   , -   , -   , -   ,,,,,
75,Campton,TRUE,75,Campton, 403.03 ," 1,494,731.43 ", 112.82 ," 209,206.89 ", 62.74 ," 125,183.47 ", 1.00 , 725.63 , 7.63 ," 5,540.04 ", 1.125 ," 4,172.38 "," 1,839,559.84 "," 844,343 ",27.99%," 23,022.38 ", -   ," 1,018,239.22 "," 669,210.00 "," 669,210.00 "," 1,732,963.55 "," 1,646,315.37 "," 1,687,449.22 ",,,,,
77,Canaan,TRUE,77,Canaan, 434.57 ," 1,611,705.98 ", 149.43 ," 277,099.26 ", 94.34 ," 188,225.32 ", 3.00 ," 2,176.89 ", 4.66 ," 3,380.86 ", -   , -   ," 2,082,588.31 "," 687,392 ",34.39%," 37,465.45 "," 193,202.12 "," 1,625,863.88 "," 956,783.00 "," 956,783.00 "," 2,692,568.11 "," 2,557,939.70 "," 2,582,646.88 ",,,,,
79,Candia,TRUE,79,Candia, 442.31 ," 1,640,427.14 ", 70.78 ," 131,245.97 ", 74.81 ," 149,257.87 ", 2.00 ," 1,451.26 ", 11.00 ," 7,981.93 ", -   , -   ," 1,930,364.17 "," 1,001,574 ",16.00%," 8,256.75 ", -   ," 937,046.92 ", -   , -   ," 948,430.87 "," 901,009.33 "," 937,046.92 ",,,,,
81,Canterbury,TRUE,81,Canterbury, 221.41 ," 821,150.60 ", 33.34 ," 61,825.40 ", 27.08 ," 54,033.88 ", 2.00 ," 1,451.26 ", -   , -   , -   , -   ," 938,461.14 "," 570,524 ",15.06%," 3,661.00 ", -   ," 371,598.14 ", -   , -   ," 846,673.02 "," 804,339.37 "," 804,339.37 ",,,,,
83,Carroll,TRUE,83,Carroll, 59.26 ," 219,788.61 ", 20.22 ," 37,497.23 ", 3.22 ," 6,426.37 ", 2.00 ," 1,451.26 ", 1.00 , 725.63 , -   , -   ," 265,889.10 "," 713,653 ",34.12%," 5,030.05 ", -   , -   , -   , -   , -   , -   , -   ,,,,,
87,Center Harbor,TRUE,87,Center Harbor, 97.05 ," 359,954.90 ", 16.25 ," 30,129.04 ", 10.00 ," 19,952.10 ", -   , -   , 2.00 ," 1,451.26 ", -   , -   ," 411,487.30 "," 927,822 ",16.74%," 1,983.08 ", -   , -   , -   , -   , -   , -   , -   ,,,,,
89,Charlestown,TRUE,89,Charlestown, 614.34 ," 2,278,442.26 ", 294.38 ," 545,892.94 ", 136.44 ," 272,227.45 ", 1.49 ," 1,082.20 ", 9.00 ," 6,530.67 ", -   , -   ," 3,104,175.52 "," 554,219 ",47.92%," 102,843.76 "," 840,959.83 "," 3,493,760.11 "," 2,520,022.00 "," 2,520,022.00 "," 6,025,164.23 "," 5,723,906.02 "," 6,013,782.11 ",,,,,
91,Chatham,TRUE,91,Chatham, 50.99 ," 189,127.75 ", 9.68 ," 17,946.32 ", 8.00 ," 15,961.68 ", -   , -   , -   , -   , -   , -   ," 223,035.75 "," 105,882 ",18.98%," 1,339.25 ", -   ," 118,493.00 ", -   , -   ," 121,454.10 "," 115,381.40 "," 118,493.00 ",,,,,
