,,,,"October 6, 2003",
,,,,"Replaces  July 7, 2003",
New Hampshire Department of Education,,,,,
FY04 ADEQUACY AID AND TARGETED AID,,,,,
,,,,,
,FY04,FY04,FY04,Statewide,FY04
FY04 Adequacy,Cost of an, Targeted ,Cost of an,Education,Adequate 
Base Cost,Adequate,Aid,Adequate,Property Tax,Education 
"$3,390 ",Education ,, Education  ,at $4.92,Grant &
 , ,,& Targeted Aid," Per $1,000  ", Targeted Aid 
New Castle,"418,670 ",0 ,"418,670 ","1,991,627 ",0 
,,,,,
New Durham,"1,846,151 ",0 ,"1,846,151 ","957,719 ","888,432 "
New Hampton,"1,377,670 ",0 ,"1,377,670 ","645,257 ","732,413 "
New Ipswich,"3,424,875 ","86,956 ","3,511,831 ","1,182,587 ","2,329,244 "
New London,"1,761,725 ",0 ,"1,761,725 ","2,643,514 ",0 
Newbury,"1,351,784 ",0 ,"1,351,784 ","1,593,539 ",0 
,,,,,
Newfields,"1,199,331 ",0 ,"1,199,331 ","862,748 ","336,583 "
Newington,"461,216 ",0 ,"461,216 ","2,259,616 ",0 
Newmarket,"4,520,832 ","94,362 ","4,615,194 ","2,276,256 ","2,338,938 "
Newport,"5,771,410 ","175,833 ","5,947,243 ","1,248,203 ","4,699,040 "
Newton,"3,359,565 ","47,232 ","3,406,797 ","1,434,454 ","1,972,343 "
,,,,,
North Hampton,"2,710,086 ",0 ,"2,710,086 ","3,157,430 ",0 
Northfield,"3,684,561 ","124,660 ","3,809,221 ","919,504 ","2,889,717 "
Northumberland,"2,298,574 ","71,142 ","2,369,716 ","413,072 ","1,956,644 "
Northwood,"3,232,113 ","23,042 ","3,255,155 ","1,340,681 ","1,914,474 "
Nottingham,"2,915,897 ",0 ,"2,915,897 ","1,578,238 ","1,337,659 "
,,,,,
Odell,0 ,0 ,0 ,"7,910 ",0 
Orange,"217,986 ","6,526 ","224,512 ","79,693 ","144,819 "
Orford,"666,661 ",0 ,"666,661 ","362,959 ","303,702 "
Ossipee,"3,419,893 ","30,226 ","3,450,119 ","1,579,052 ","1,871,067 "
Pelham,"7,919,349 ",0 ,"7,919,349 ","4,735,067 ","3,184,282 "
,,,,,
Pembroke,"5,008,438 ","108,161 ","5,116,599 ","1,761,181 ","3,355,418 "
Penacook,"2,987,529 ","86,423 ","3,073,952 ","1,130,237 ","1,943,715 "
Peterborough,"4,404,093 ","42,410 ","4,446,503 ","2,151,630 ","2,294,873 "
Piermont,"513,832 ","2,081 ","515,913 ","239,075 ","276,838 "
Pinkham's Grant,0 ,0 ,0 ,"14,698 ",0 
,,,,,
Pittsburg,"529,004 ",0 ,"529,004 ","610,996 ",0 
Pittsfield,"3,531,244 ","154,840 ","3,686,084 ","747,642 ","2,938,442 "
Plainfield,"1,537,190 ",0 ,"1,537,190 ","771,444 ","765,746 "
Plaistow,"5,496,689 ",0 ,"5,496,689 ","3,452,233 ","2,044,456 "
Plymouth,"3,707,743 ","119,010 ","3,826,753 ","936,703 ","2,890,050 "
,,,,,
Portsmouth,"9,982,994 ",0 ,"9,982,994 ","14,071,003 ",0 
Randolph,"192,699 ",0 ,"192,699 ","182,849 ","9,850 "
Raymond,"7,997,565 ","172,737 ","8,170,302 ","2,761,382 ","5,408,920 "
Richmond,"853,504 ","18,374 ","871,878 ","288,571 ","583,307 "
Rindge,"3,374,368 ",0 ,"3,374,368 ","1,718,005 ","1,656,363 "
,,,,,
Rochester,"20,704,558 ","435,607 ","21,140,165 ","6,966,665 ","14,173,500 "
Rollinsford,"1,365,737 ",0 ,"1,365,737 ","836,962 ","528,775 "
Roxbury,"162,746 ",0 ,"162,746 ","77,760 ","84,986 "
Rumney,"1,227,477 ",0 ,"1,227,477 ","493,904 ","733,573 "
Rye,"2,968,287 ",0 ,"2,968,287 ","5,855,985 ",0 
,,,,,
Salem,"18,001,761 ",0 ,"18,001,761 ","14,907,903 ","3,093,858 "
Salisbury,"767,658 ",0 ,"767,658 ","369,031 ","398,627 "
Sanbornton,"1,766,651 ",0 ,"1,766,651 ","1,170,636 ","596,015 "
Sandown,"4,500,065 ","72,393 ","4,572,458 ","1,659,513 ","2,912,945 "
Sandwich,"824,332 ",0 ,"824,332 ","1,134,104 ",0 
,,,,,
Seabrook,"5,370,881 ",0 ,"5,370,881 ","3,860,431 ","1,510,450 "
Sharon,"230,959 ",0 ,"230,959 ","150,664 ","80,295 "
Shelburne,"246,631 ",0 ,"246,631 ","145,636 ","100,995 "
Somersworth,"7,666,190 ","169,382 ","7,835,572 ","2,649,274 ","5,186,298 "
South Hampton,"589,796 ",0 ,"589,796 ","511,833 ","77,963 "
,,,,,
Springfield,"814,479 ",0 ,"814,479 ","465,874 ","348,605 "
Stark,"525,432 ",0 ,"525,432 ","118,063 ","407,369 "
Stewartstown,"670,876 ",0 ,"670,876 ","185,003 ","485,873 "
Stoddard,"469,082 ",0 ,"469,082 ","579,629 ",0 
Strafford,"3,283,859 ","37,921 ","3,321,780 ","1,361,880 ","1,959,900 "
,,,,,
Stratford,"838,434 ","4,205 ","842,639 ","126,901 ","715,738 "
Stratham,"5,304,805 ",0 ,"5,304,805 ","3,884,991 ","1,419,814 "
Success,0 ,0 ,0 ,"39,743 ",0 
Sugar Hill,"293,686 ",0 ,"293,686 ","409,584 ",0 
Sullivan,"430,355 ","8,773 ","439,128 ","122,400 ","316,728 "
,,,,,
Sunapee,"2,230,175 ",0 ,"2,230,175 ","2,671,021 ",0 
Surry,"404,891 ",0 ,"404,891 ","229,392 ","175,499 "
Sutton,"1,113,378 ",0 ,"1,113,378 ","670,175 ","443,203 "
Swanzey,"5,458,070 ","172,013 ","5,630,083 ","1,645,062 ","3,985,021 "
