,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,FY2018 Grants,,,
,,,,,,,,,,,,New for March,New for March,,,,,,,,as of 3-20-18,,,
,,,,,,,,,,,,Calculation,Calculation,,,FY2018,,Stabilization,,, Adequacy Grants = Max of Preliminary Grant plus Stabiliation Grant @ 92% or 95% Preliminary Estimate of 11-15-16 ,,,
,,16-17 Membership,Base Adequacy Aid,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,Special Education Differentiated Aid,ELL Differentiated Aid,Grade 3 Reading Below Proficient,Grade 3 Reading Differentiated Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Preliminary Grant > 0 and  ADM > 0 then FY12 Stabilization  @ ,"FY2018 First Estimate on 
11-15-16",Minimum First FY18 Estimate as of   11-15-16 X,,,,
,,ADM,"$3,636.06 ",ADM,"$1,818.02 ",ADM,ADM,"$1,956.09 ",$711.40 ,ADM,$711.40 ,ADM,"$3,636.06 ",$,$2.260 ,,,92%,,95%,,,,
83,Carroll,58.16,"211,473.25 ",23.51,"42,741.65",6.82, -   ," 13,340.53 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 268,978.23 "," 733,023 ", -   , -   , -   , -   , -   , -   ,,,
87,Center Harbor,111.01,"403,639.02 ",18.13,"32,960.70",10.00, -   ," 19,560.90 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 457,583.42 "," 849,444 ", -   , -   , -   , -   , -   , -   ,,,
89,Charlestown,616.83,"2,242,830.89 ",275.60,"501,046.31",118.08, 2.00 ," 230,975.11 ","1,422.80", 6.42 ," 4,567.19 ", -   , -   ," 2,980,842.30 "," 571,472 "," 2,409,370.30 "," 2,520,022.00 "," 2,318,420.24 "," 4,793,177.55 "," 4,553,518.67 "," 4,727,790.54 ",,,
91,Chatham,41.60,"151,260.10 ",2.00,"3,636.04",9.78, -   ," 19,130.56 ",0.00, -   , -   , -   , -   ," 174,026.70 "," 114,411 "," 59,615.70 ", -   , -   ," 65,969.12 "," 62,670.66 "," 62,670.66 ",,,
93,Chester,822.19,"2,989,532.17 ",54.15,"98,445.78",135.22, 0.49 ," 264,502.49 ",348.59, 19.00 ," 13,516.60 ", -   , -   ," 3,366,345.63 "," 1,202,253 "," 2,164,092.63 "," 532,325.00 "," 489,739.00 "," 2,639,650.09 "," 2,507,667.59 "," 2,653,831.63 ",,,
95,Chesterfield,424.88,"1,544,889.17 ",73.04,"132,788.18",45.10, 1.79 ," 88,219.66 ","1,273.41", 5.00 ," 3,557.00 ", -   , -   ," 1,770,727.42 "," 1,120,860 "," 649,867.42 "," 119,256.00 "," 109,715.52 "," 754,618.64 "," 716,887.71 "," 759,582.94 ",,,
99,Chichester,322.12,"1,171,247.65 ",49.48,"89,955.63",49.01, 3.94 ," 95,867.97 ","2,802.92", 2.00 ," 1,422.80 ", -   , -   ," 1,361,296.97 "," 614,077 "," 747,219.97 "," 115,615.00 "," 106,365.80 "," 836,005.39 "," 794,205.12 "," 853,585.77 ",,,
101,Claremont,1632.10,"5,934,413.53 ",819.05,"1,489,049.28",336.49, 7.45 ," 658,204.72 ","5,299.93", 23.38 ," 16,632.53 ", -   , -   ," 8,103,599.99 "," 1,542,291 "," 6,561,308.99 "," 6,282,807.00 "," 5,780,182.44 "," 12,356,732.50 "," 11,738,895.88 "," 12,341,491.43 ",,,
103,Clarksville,27.44,"99,773.49 ",16.54,"30,070.05",4.50, -   ," 8,802.41 ",0.00, -   , -   , -   , -   ," 138,645.95 "," 101,684 "," 36,961.95 "," 46,927.00 "," 43,172.84 "," 82,836.56 "," 78,694.73 "," 80,134.79 ",,,
105,Colebrook,231.77,"842,729.63 ",108.80,"197,800.58",27.55, -   ," 53,890.28 ",0.00, 5.00 ," 3,557.00 ", -   , -   ," 1,097,977.49 "," 350,111 "," 747,866.49 "," 1,088,007.00 "," 1,000,966.44 "," 1,739,889.41 "," 1,652,894.94 "," 1,748,832.93 ",,,
107,Columbia,70.28,"255,542.30 ",36.66,"66,648.61",13.84, -   ," 27,072.29 ",0.00, -   , -   , 0.23 , 818.11 ," 350,081.31 "," 137,765 "," 212,316.31 "," 199,764.00 "," 183,782.88 "," 400,756.11 "," 380,718.30 "," 396,099.19 ",,,
111,Concord,4252.26,"15,461,472.50 ","1,591.26","2,892,942.51",675.89, 323.21 ," 1,322,101.67 ","229,931.59", 45.82 ," 32,596.35 ", -   , -   ," 19,939,044.62 "," 8,081,293 "," 11,857,751.62 "," 1,794,128.00 "," 1,650,597.76 "," 13,486,597.36 "," 12,812,267.49 "," 13,508,349.38 ",,,
113,Conway,1211.46,"4,404,941.25 ",467.34,"849,633.47",210.27, 10.40 ," 411,307.04 ","7,398.56", 17.47 ," 12,428.16 ", 0.30 ," 1,090.82 "," 5,686,799.30 "," 3,418,880 "," 2,267,919.30 "," 793,690.00 "," 730,194.80 "," 3,058,074.61 "," 2,905,170.88 "," 2,998,114.10 ",,,
115,Cornish,134.13,"487,704.73 ",23.83,"43,323.42",17.99, -   ," 35,190.06 ",0.00, 3.00 ," 2,134.20 ", -   , -   ," 568,352.41 "," 396,120 "," 172,232.41 "," 418,638.00 "," 385,146.96 "," 534,991.10 "," 508,241.55 "," 557,379.37 ",,,
117,Croydon,56.14,"204,128.41 ",20.48,"37,233.05",7.05, -   ," 13,790.43 ",0.00, -   , -   , -   , -   ," 255,151.89 "," 194,211 "," 60,940.89 "," 190,872.00 "," 175,602.24 "," 193,081.50 "," 183,427.43 "," 236,543.13 ",,,
119,Dalton,123.69,"449,744.26 ",66.45,"120,807.43",36.22, -   ," 70,849.58 ",0.00, 2.00 ," 1,422.80 ", -   , -   ," 642,824.07 "," 188,237 "," 454,587.07 "," 329,178.00 "," 302,843.76 "," 779,864.83 "," 740,871.59 "," 757,430.83 ",,,
123,Danbury,125.11,"454,907.47 ",55.88,"101,590.96",19.81, 2.00 ," 38,750.14 ","1,422.80", 2.00 ," 1,422.80 ", -   , -   ," 598,094.17 "," 244,761 "," 353,333.17 "," 390,811.00 "," 359,546.12 "," 750,536.38 "," 713,009.56 "," 713,009.56 ",,,
125,Danville,600.99,"2,185,235.70 ",75.71,"137,642.29",132.09, -   ," 258,379.93 ",0.00, 9.42 ," 6,701.39 ", 0.15 , 545.41 ," 2,588,504.72 "," 834,410 "," 1,754,094.72 "," 1,082,128.00 "," 995,557.76 "," 2,797,127.60 "," 2,657,271.22 "," 2,749,652.48 ",,,
127,Deerfield,619.42,"2,252,248.29 ",78.06,"141,914.64",106.08, -   ," 207,502.03 ",0.00, 16.00 ," 11,382.40 ", -   , -   ," 2,613,047.36 "," 1,115,780 "," 1,497,267.36 "," 341,247.00 "," 313,947.24 "," 1,822,207.76 "," 1,731,097.37 "," 1,811,214.60 ",,,
129,Deering,181.65,"660,490.30 ",72.05,"130,988.34",40.27, -   ," 78,771.74 ",0.00, -   , -   , 0.45 ," 1,636.23 "," 871,886.61 "," 375,469 "," 496,417.61 "," 398,400.00 "," 366,528.00 "," 815,704.33 "," 774,919.11 "," 862,945.61 ",,,
131,Derry,5003.22,"18,192,008.11 ","1,084.94","1,972,442.62",936.92, 61.24 ," 1,832,699.84 ","43,566.14", 79.55 ," 56,591.87 ", -   , -   ," 22,097,308.58 "," 6,183,365 "," 15,913,943.58 "," 8,658,713.00 "," 7,966,015.96 "," 23,905,055.92 "," 22,709,803.12 "," 23,879,959.54 ",,,
133,Dix's Grant,0.00,0.00 ,0.00,0.00,0.00, -   , -   ,0.00, -   , -   , -   , -   , -   ," 1,952 ", -   , -   , -   , -   , -   , -   ,,,
134,Dixville,0.00,0.00 ,0.00,0.00,0.00, -   , -   ,0.00, -   , -   , -   , -   , -   ," 20,574 ", -   ," 8,706.00 ", -   , -   , -   , -   ,,,
139,Dorchester,27.46,"99,846.21 ",13.77,"25,034.14",7.41, -   ," 14,494.63 ",0.00, -   , -   , -   , -   ," 139,374.98 "," 78,062 "," 61,312.98 "," 180,839.00 "," 166,371.88 "," 276,697.40 "," 262,862.53 "," 262,862.53 ",,,
141,Dover,3551.42,"12,913,176.21 ","1,070.58","1,946,335.85",565.40, 89.04 ," 1,105,973.29 ","63,343.06", 47.13 ," 33,528.28 ", 0.23 , 818.11 ," 16,063,174.80 "," 6,894,236 "," 9,168,938.80 ", -   , -   ," 9,068,789.11 "," 8,615,349.65 "," 9,168,938.80 ",,,
143,Dublin,142.84,"519,374.81 ",46.05,"83,719.82 ",16.69,0.00 ,"32,647.14",0.00, 5.00 ," 3,557.00 ", -   , -   ,"639,298.77"," 567,275 "," 72,023.77 "," 14,881.00 "," 13,690.52 "," 108,300.61 "," 102,885.58 "," 102,885.58 ",,,
147,Dummer,18.51,"67,303.47 ",4.01,"7,290.26",2.01, -   ," 3,931.74 ",0.00, -   , -   , -   , -   ," 78,525.47 "," 64,152 "," 14,373.47 "," 50,888.00 "," 46,816.96 "," 64,599.56 "," 61,369.58 "," 61,369.58 ",,,
149,Dunbarton,390.04,"1,418,208.84 ",38.56,"70,102.85",58.49, -   ," 114,411.70 ",0.00, 1.00 , 711.40 , -   , -   ," 1,603,434.79 "," 666,338 "," 937,096.79 ", -   , -   ," 878,597.78 "," 834,667.89 "," 937,096.79 ",,,
151,Durham,927.21,"3,371,391.19 ",23.90,"43,450.68",124.03, 19.00 ," 242,613.84 ","13,516.60", 5.50 ," 3,912.70 ", -   , -   ," 3,674,885.01 "," 2,309,834 "," 1,365,051.01 "," 12,435.00 "," 11,440.20 "," 1,373,065.52 "," 1,304,412.24 "," 1,376,491.21 ",,,
