,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
63,Brentwood,TRUE,63,Brentwood,748.86,690.26,748.86,"2,835,660.03",31.68,25.63,31.68,"59,976.21",113.59,121.37,121.37,"247,254.02",3,4,4,"2,963.48",6,11,11,"8,149.57","3,154,003.31","1,233,794",4.23%, -   , -   ,"1,920,209.31", -   , -   ,"1,543,100.49","1,920,209.31","3,154,003.31"
65,Bridgewater,TRUE,65,Bridgewater,86.19,87.57,87.57,"331,615.23",24.93,21,24.93,"47,202.17",9.72,8.89,9.72,"19,808.25", -   , -   , -   , -   ,1,3,3,"2,222.61","400,848.26","761,930",28.47%, -   , -   , -   , -   , -   ,0, -   ,"761,930.00"
67,Bristol,TRUE,67,Bristol,349.39,339.03,349.39,"1,323,039.31",152.28,126.19,152.28,"288,317.04",44.64,55.12,55.12,"112,294.67", -   , -   , -   , -   ,2,6.73,6.73,"4,985.91","1,728,636.93","1,004,148",43.58%,"82,955.18","73,863.01","798,351.94","267,027.00","267,027.00","812,871.38","1,065,378.94","2,069,526.94"
69,Brookfield,TRUE,69,Brookfield,81.13,82.16,82.16,"311,100.25",24.13,19.96,24.13,"45,691.11",4.73,4,4.73,"9,644.49", -   , -   , -   , -   ,1, -   ,1,740.87,"367,176.72","217,266",29.37%,"8,859.75","7,888.69","157,799.41","56,013.00","56,013.00","183,025.10","213,812.41","431,078.41"
71,Brookline,TRUE,71,Brookline,"1,126.40","1,134.69","1,134.69","4,296,673.12",48.22,55.74,55.74,"105,538.96",166.97,172.36,172.36,"351,114.65",9,12,12,"8,890.44",19.68,19,19.68,"14,580.17","4,776,797.34","1,260,913",4.91%, -   , -   ,"3,515,884.34","758,524.00","758,524.00","4,002,043.93","4,274,408.34","5,535,321.34"
73,Cambridge,TRUE,73,Cambridge,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"18,653",0.00%, -   , -   , -   ,203, -   ,0, -   ,"18,653.00"
75,Campton,TRUE,75,Campton,403.03,416.94,416.94,"1,578,814.56",112.82,128.59,128.59,"243,469.02",62.74,72.11,72.11,"146,890.50",1, -   ,1,740.87,7,6.59,7,"5,186.09","1,975,101.04","783,181",30.84%,"49,572.87","44,139.52","1,236,059.56","669,210.00","669,210.00","1,673,744.22","1,905,269.56","2,688,450.56"
77,Canaan,TRUE,77,Canaan,434.57,435.26,435.26,"1,648,178.98",149.43,160.86,160.86,"304,550.75",94.34,93.09,94.34,"192,178.11",3,3,3,"2,222.61",3.67,3.82,3.82,"2,831.46","2,149,961.91","736,361",36.96%,"74,315.19","66,170.00","1,479,770.91","956,783.00","956,783.00","2,245,791.87","2,436,553.91","3,172,914.91"
79,Candia,TRUE,79,Candia,442.31,440.17,442.31,"1,674,874.18",70.78,47.94,70.78,"134,001.99",74.81,73.43,74.81,"152,392.33",2,1,2,"1,481.74",11,9.16,11,"8,149.57","1,970,899.81","966,138",16.00%,"14,155.24","12,603.78","1,017,365.59", -   , -   ,"868,324.17","1,017,365.59","1,983,503.59"
81,Canterbury,TRUE,81,Canterbury,221.41,197.77,221.41,"838,393.79",33.34,27.66,33.34,"63,123.67",27.08,31.35,31.35,"63,856.27",2,2,2,"1,481.74", -   ,1,1,740.87,"967,596.34","576,838",15.06%,"6,276.29","5,588.39","396,346.73", -   , -   ,"256,169.97","396,346.73","973,184.73"
83,Carroll,TRUE,83,Carroll,59.26,49.01,59.26,"224,403.91",20.22,10.87,20.22,"38,284.63",3.22,4.14,4.14,"8,442.60",2, -   ,2,"1,481.74",1, -   ,1,740.87,"273,353.75","694,873",34.12%, -   , -   , -   , -   , -   ,0, -   ,"694,873.00"
87,Center Harbor,TRUE,87,Center Harbor,97.05,84.13,97.05,"367,513.53",16.25,10.79,16.25,"30,761.72",10,4.67,10,"20,371.10", -   , -   , -   , -   ,1,4,4,"2,963.48","421,609.83","932,360",16.74%, -   , -   , -   , -   , -   ,0, -   ,"932,360.00"
