,,,A, B ,C,D,E,F,G, H , I ,J,K,L,M,M,N,O,P,Q,O,P,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD
,,,"District
Public School
Adequacy

SFY 2022",,Cost of an Opportunity for an Adequate Education,,,,,,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",Stabilization Aid,,Hold Harmless Level,Preliminary & Final Grant,
,,,,,Base Adequacy,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,Receiving Special Education Services (SPED),,,,English Language Learners (ELL),,,,3rd Grader With A Nonproficient Reading Score,,,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2022, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2020 Grant Estimate ,"   
   Final Grant:


(1) Preliminary Grant

(2) Plus SWEPT"
,From EOY Data Excl Charter And OOS,,,, 2019-2020 Membership , 2020-2021 Membership ,"  Base Adequacy Membership
331,Madbury,TRUE,331,Madbury,365.81,346.98,365.81,"1,385,206.05",25,29.75,29.75,"56,335.17",65.74,69.34,69.34,"141,258.10",6.57,7,7,"5,186.09",3,1.59,3,"2,222.61","1,590,208.02","504,261",8.13%, -   , -   ,"1,085,947.02","142,268.00","142,268.00","1,105,923.22","1,228,215.02","1,732,476.02"
333,Madison,TRUE,333,Madison,280.66,269.22,280.66,"1,062,781.79",98.42,90.98,98.42,"186,335.44",36.32,39.56,39.56,"80,583.39",5,5,5,"3,704.35",3,6.5,6.5,"4,816.25","1,338,221.22","1,071,638",35.07%,"43,143.68","38,414.99","304,998.21","307,677.00","307,677.00","468,085.78","612,675.21","1,684,313.21"
335,Manchester,TRUE,335,Manchester,"12,716.17","12,095.70","12,716.17","48,151,814.19","7,531.82","6,214.11","7,531.82","14,260,151.12","2,461.31","2,473.20","2,473.20","5,038,189.21","1,960.78","1,850.90","1,960.78","1,452,680.86",136.05,160.51,160.51,"118,918.45","69,021,753.83","20,862,186",59.23%,"4,519,093.80","4,023,786.01","52,183,353.84","12,454,439.00","12,454,439.00","51,080,264.60","64,637,792.84","85,499,978.84"
339,Marlborough,TRUE,339,Marlborough,235.43,228.39,235.43,"891,499.80",100.57,82.12,100.57,"190,401.73",42.75,40.04,42.75,"87,086.45", -   , -   , -   , -   ,1,2,2,"1,481.74","1,170,469.72","373,697",42.72%,"53,701.71","47,815.82","844,588.54","550,103.00","550,103.00","1,199,636.12","1,394,691.54","1,768,388.54"
341,Marlow,TRUE,341,Marlow,80.61,79.32,80.61,"305,246.07",33.33,30.57,33.33,"63,099.62",24.2,21.51,24.2,"49,297.65",1, -   ,1,740.87, -   ,1,1,740.87,"419,125.08","133,326",41.34%,"17,221.99","15,334.40","301,133.48","368,990.00","368,990.00","633,542.00","670,123.48","803,449.48"
344,Martin's Location,TRUE,344,Martin's Location,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   ,0, -   , -   
345,Mason,TRUE,345,Mason,146.42,144.02,146.42,"554,434.81",17.45,16.81,17.45,"33,036.54",19.05,21.96,21.96,"44,725.56", -   ,0.96,0.96,708.27,2, -   ,2,"1,481.74","634,386.92","331,018",11.92%, -   , -   ,"303,368.92","53,895.00","53,895.00","295,279.60","357,263.92","688,281.92"
347,Meredith,TRUE,347,Meredith,737.63,680.88,737.63,"2,793,147.96",256.42,207.05,256.42,"485,483.03",148.04,140.34,148.04,"301,568.06",3.82,4,4,"2,963.48",10,17.98,17.98,"13,318.55","3,596,481.08","4,239,607",34.76%, -   , -   , -   ,"248,981.00", -   ,0, -   ,"4,239,607.00"
351,Merrimack,TRUE,351,Merrimack,"3,669.14","3,478.45","3,669.14","13,893,766.74",376.05,371.98,376.05,"711,986.20",680.2,682.57,682.57,"1,390,467.12",72.23,65.86,72.23,"53,513.71",43.14,61.02,61.02,"45,210.11","16,094,943.88","7,180,915",10.25%, -   , -   ,"8,914,028.88","531,304.00","531,304.00","8,301,725.58","9,445,332.88","16,626,247.88"
353,Middleton,TRUE,353,Middleton,255.54,249.43,255.54,"967,647.26",102.19,85.3,102.19,"193,480.64",43.71,40.31,43.71,"89,038.41",1,1,1,740.87,3,5,5,"3,704.35","1,254,611.53","354,869",39.99%,"51,082.83","45,483.98","945,226.51","579,583.00","579,583.00","1,346,752.90","1,524,809.51","1,879,678.51"
355,Milan,TRUE,355,Milan,176.58,159.83,176.58,"668,659.03",68.22,52.84,68.22,"129,155.66",28.64,29.85,29.85,"60,805.49", -   ,0.15,0.15,110.09,6.42,4,6.42,"4,759.79","863,490.06","209,281",38.63%,"32,940.04","29,329.70","683,538.76","627,508.00","627,508.00","1,065,808.74","1,311,046.76","1,520,327.76"
357,Milford,TRUE,357,Milford,"2,184.18","2,047.00","2,184.18","8,270,755.75",373.58,378.84,378.84,"717,268.00",392.02,392.41,392.41,"799,376.83",27.86,33.98,33.98,"25,172.54",39.22,41.38,41.38,"30,660.61","9,843,233.73","3,216,970",17.34%,"82,113.87","73,113.92","6,699,377.65","1,100,484.00","1,100,484.00","6,816,518.62","7,799,861.65","11,016,831.65"
358,Millsfield,TRUE,358,Millsfield,4,0.78,4,"15,146.64",1,0.78,1,"1,893.32",1,0.78,1,"2,037.11", -   , -   , -   , -   , -   , -   , -   , -   ,"19,077.07","18,572",25.00%,312.5,278.25,783.32, -   , -   ,0,783.32,"19,355.32"
359,Milton,TRUE,359,Milton,486.13,475.76,486.13,"1,840,800.32",174.36,151.88,174.36,"330,119.09",106.87,116.76,116.76,"237,859.48",3,0.98,3,"2,222.61",7.61,14.75,14.75,"10,925.24","2,421,926.74","895,548",35.87%,"78,178.62","69,609.98","1,595,988.72","1,281,178.00","1,281,178.00","2,525,482.59","2,877,166.72","3,772,714.72"
365,Monroe,TRUE,365,Monroe,118.76,123.34,123.34,"467,033.77",23.4,23.55,23.55,"44,586.36",22.59,21.39,22.59,"46,017.70", -   , -   , -   , -   ,3, -   ,3,"2,222.61","559,860.44","161,530",19.09%,"5,619.45","5,003.54","403,333.98","53,118.00","53,118.00","420,060.44","456,451.98","617,981.98"
367,Mont Vernon,TRUE,367,Mont Vernon,390.77,386.61,390.77,"1,479,721.46",20.8,27,27,"51,119.64",54.24,59,59,"120,189.49",1,1,1,740.87,5,2,5,"3,704.35","1,655,475.81","576,247",6.91%, -   , -   ,"1,079,228.81","252,587.00","252,587.00","1,252,000.71","1,331,815.81","1,908,062.81"
369,Moultonborough,TRUE,369,Moultonborough,435.29,412.99,435.29,"1,648,300.15",100.09,94.27,100.09,"189,510.92",98.68,99.9,99.9,"203,498.12",11.85,10.46,11.85,"8,782.57",4,1,4,"2,963.48","2,053,055.24","6,520,888",22.99%, -   , -   , -   , -   , -   ,0, -   ,"6,520,888.00"
371,Nashua,TRUE,371,Nashua,"10,774.28","10,115.69","10,774.28","40,798,543.44","4,651.55","3,473.61","4,651.55","8,806,879.46","1,847.57","1,818.91","1,847.57","3,763,694.36","1,179.22","1,123.12","1,179.22","873,652.20",122.7,85.39,122.7,"90,902.30","54,333,671.76","20,986,522",43.17%,"2,510,094.61","2,234,979.85","35,582,129.61","4,793,937.00","4,793,937.00","31,197,706.97","40,376,066.61","61,362,588.61"
375,Nelson,TRUE,375,Nelson,65.99,60.94,65.99,"249,898.35",22,13.63,22,"41,653.04",8,6.05,8,"16,296.88", -   , -   , -   , -   , -   ,1,1,740.87,"308,589.14","231,925",33.34%,"9,168.50","8,163.60","84,827.74","95,905.00","95,905.00","101,203.28","180,732.74","412,657.74"
377,New Boston,TRUE,377,New Boston,"1,039.59",988.16,"1,039.59","3,936,583.71",88.33,64.84,88.33,"167,234.87",167.7,167.46,167.7,"341,613.57",2, -   ,2,"1,481.74",19.91,19.29,19.91,"14,751.54","4,461,665.43","1,350,394",8.50%, -   , -   ,"3,111,271.43","35,366.00","35,366.00","2,694,673.89","3,146,637.43","4,497,031.43"
379,Newbury,TRUE,379,Newbury,206.39,202.56,206.39,"781,524.21",31.38,30.43,31.38,"59,407.08",22.54,20.05,22.54,"45,910.76", -   , -   , -   , -   ,2,4,4,"2,963.48","889,805.53","1,655,815",15.20%, -   , -   , -   ,"4,256.00", -   ,0, -   ,"1,655,815.00"
381,New Castle,TRUE,381,New Castle,79,66.27,79,"299,146.14", -   , -   , -   , -   ,8,6,8,"16,296.88",2,1,2,"1,481.74", -   , -   , -   , -   ,"316,924.76","1,461,482",0.00%, -   , -   , -   , -   , -   ,0, -   ,"1,461,482.00"
383,New Durham,TRUE,383,New Durham,337.13,303.95,337.13,"1,276,595.17",91.8,80.15,91.8,"173,802.04",41.71,42.98,42.98,"87,550.71", -   , -   , -   , -   ,6.91,5,6.91,"5,119.41","1,543,067.33","970,815",27.23%,"31,245.57","27,820.95","600,073.28", -   , -   ,"398,186.81","600,073.28","1,570,888.28"
387,Newfields,TRUE,387,Newfields,247.43,241.83,247.43,"936,944.64",13.34,9.09,13.34,"25,265.22",45.54,45.58,45.58,"92,859.42", -   , -   , -   , -   ,3,5,5,"3,704.35","1,058,773.63","528,643",5.39%, -   , -   ,"530,130.63", -   , -   ,"431,955.49","530,130.63","1,058,773.63"
389,New Hampton,TRUE,389,New Hampton,245.2,228.5,245.2,"928,484.11",77.12,54.18,77.12,"146,022.12",42.25,34.2,42.25,"86,067.90", -   , -   , -   , -   ,2,3,3,"2,222.61","1,162,796.74","595,332",31.45%,"30,319.73","26,996.59","594,461.33","359,153.00","359,153.00","714,536.28","953,614.33","1,548,946.33"
391,Newington,TRUE,391,Newington,69.41,69.31,69.41,"262,824.12",10.54,5,10.54,"19,946.13",12.33,12,12.33,"25,113.70", -   , -   , -   , -   ,2,1,2,"1,481.74","309,365.69","1,103,024",15.18%, -   , -   , -   , -   , -   ,0, -   ,"1,103,024.00"
393,New Ipswich,TRUE,393,New Ipswich,726.53,616.87,726.53,"2,751,111.87",151.14,128.96,151.14,"286,149.38",70.76,77.4,77.4,"157,667.42",7,6.43,7,"5,186.09",8,6.2,8,"5,926.96","3,206,041.72","870,350",20.80%,"39,295.44","34,988.53","2,370,680.25","891,548.00","891,548.00","2,581,479.25","3,262,228.25","4,132,578.25"
395,New London,TRUE,395,New London,342.92,332.12,342.92,"1,298,520.69",30.49,17.26,30.49,"57,729.98",30.77,29.21,30.77,"62,673.12", -   ,2.46,2.46,"1,825.06",3.36,4.84,4.84,"3,585.00","1,424,333.85","2,387,037",8.89%, -   , -   , -   , -   , -   ,0, -   ,"2,387,037.00"
399,Newmarket,TRUE,399,Newmarket,"1,042.63",993.46,"1,042.63","3,948,094.78",253.82,143.31,253.82,"480,570.62",160.52,168.9,168.9,"344,067.06",24.64,14.33,24.64,"18,258.59",18,24,24,"17,780.88","4,808,771.93","1,944,085",24.34%,"77,226.04","68,761.81","2,933,448.74", -   , -   ,"2,313,423.13","2,933,448.74","4,877,533.74"
401,Newport,TRUE,401,Newport,790.22,771.45,790.22,"2,992,308.48",432.17,347.41,432.17,"818,228.91",208.51,214.03,214.03,"435,995.52",14.29,14.93,14.93,"11,062.00",15,2,15,"11,113.05","4,268,707.96","836,264",54.69%,"259,299.72","230,879.60","3,663,323.56","3,663,773.00","3,663,773.00","6,478,333.58","7,327,096.56","8,163,360.56"
403,Newton,TRUE,403,Newton,601.38,557.6,601.38,"2,277,226.51",86.44,53.18,86.44,"163,650.25",129.15,122.49,129.15,"263,086.03",3,1.38,3,"2,222.61",6,14,14,"10,372.18","2,716,557.58","1,110,992",14.37%,"15,525.99","13,824.29","1,619,389.87","97,091.00","97,091.00","1,362,039.74","1,716,480.87","2,827,472.87"
404,Northfield,TRUE,404,Northfield,594.79,571.52,594.79,"2,252,274.70",207.1,224.19,224.19,"424,466.44",136.26,131.51,136.26,"277,571.92",1,1,1,740.87,12,10.66,12,"8,890.44","2,963,944.37","699,277",37.69%,"105,622.27","94,045.72","2,358,713.09","2,277,433.00","2,277,433.00","4,135,772.72","4,636,146.09","5,335,423.09"
405, North Hampton , TRUE ,405,North Hampton,484.54,473.58,484.54,"1,834,796.19",34.94,13.81,34.94,"66,143.13",92.61,95.68,95.68,"194,917.20",4,5,5,"3,704.35",2,9,9,"6,667.83","2,106,228.70","2,324,606",7.21%, -   , -   , -   ,"234,921.00", -   ,0, -   ,"2,324,606.00"
407,Northumberland,TRUE,407,Northumberland,284.47,276.29,284.47,"1,077,202.15",138.46,127.62,138.46,"262,158.36",73.4,68.56,73.4,"149,527.34", -   , -   , -   , -   ,5,5,5,"3,704.35","1,492,592.20","168,347",48.67%,"83,078.94","73,973.21","1,398,218.41","1,386,032.00","1,386,032.00","2,504,020.84","2,784,250.41","2,952,597.41"
411,Northwood,TRUE,411,Northwood,600.62,531.24,600.62,"2,274,360.77",79.7,66.16,79.7,"150,902.15",103.81,99.92,103.81,"211,481.56", -   , -   , -   , -   ,3,5.01,5.01,"3,708.57","2,640,453.05","1,110,541",13.27%,"13,220.64","11,771.61","1,541,683.66","769,340.00","769,340.00","1,920,344.79","2,311,023.66","3,421,564.66"
413,Nottingham,TRUE,413,Nottingham,779.35,750.39,779.35,"2,951,147.10",77.68,59.51,77.68,"147,064.39",82.88,73.76,82.88,"168,837.92",1,1,1,740.87,16,23.63,23.63,"17,507.57","3,285,297.85","1,366,458",9.97%, -   , -   ,"1,918,839.85", -   , -   ,"1,660,994.74","1,918,839.85","3,285,297.85"
414,Odell,TRUE,414,Odell,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,772",0.00%, -   , -   , -   , -   , -   ,0, -   ,"5,772.00"
415,Orange,TRUE,415,Orange,32.62,32.98,32.98,"124,896.92",2,4,4,"7,573.28",7.62,9.34,9.34,"19,024.37", -   , -   , -   , -   , -   ,1,1,740.87,"152,235.44","60,455",12.13%,606.5,540.03,"92,320.47","128,496.00","128,496.00","173,168.09","220,816.47","281,271.47"
419,Ossipee,TRUE,419,Ossipee,560.16,532.43,560.16,"2,121,153.26",328.33,282.96,328.33,"621,636.97",133.44,115.54,133.44,"271,826.66",3.96,4,4,"2,963.48",7.5,6,7.5,"5,554.45","3,023,134.82","1,460,292",58.61%,"196,999.02","175,407.27","1,738,250.09","1,018,969.00","1,018,969.00","2,270,966.74","2,757,219.09","4,217,511.09"
425,Pelham,TRUE,425,Pelham,"1,728.33","1,662.61","1,728.33","6,544,607.54",130.93,109.3,130.93,"247,898.26",316.4,307.87,316.4,"644,551.59",20.59,11.43,20.59,"15,256.29",39.19,22,39.19,"29,034.62","7,481,348.30","3,624,639",7.58%, -   , -   ,"3,856,709.30", -   , -   ,"3,579,471.66","3,856,709.30","7,481,348.30"
427,Pembroke,TRUE,427,Pembroke,"1,004.66",970.14,"1,004.66","3,804,306.59",228.17,215.18,228.17,"432,007.53",155.11,157.65,157.65,"321,140.61",6.77,3,6.77,"5,018.73",25.98,19.25,25.98,"19,246.17","4,581,719.63","1,375,534",22.71%,"64,773.06","57,673.72","3,263,859.35","2,363,044.00","2,363,044.00","5,138,577.36","5,626,903.35","7,002,437.35"
429,Penacook,TRUE,429,Penacook,730.56,689.57,730.56,"2,766,389.90",225.33,163.47,225.33,"426,618.58",162.22,188.1,188.1,"383,189.76",20,14.4,20,"14,817.40",9,20.6,20.6,"15,262.74","3,606,278.38","701,602",30.84%,"86,864.06","77,343.47","2,982,019.85","1,017,192.00","1,017,192.00","3,333,032.08","3,999,211.85","4,700,813.85"
431,Peterborough,TRUE,431,Peterborough,712.9,662.99,712.9,"2,699,499.69",213.76,208.3,213.76,"404,713.81",106.38,109.07,109.07,"222,182.09",2,1,2,"1,481.74",3,5.66,5.66,"4,193.99","3,332,071.32","1,433,218",29.98%,"80,106.11","71,326.21","1,970,179.53","400,345.00","400,345.00","2,011,300.13","2,370,524.53","3,803,742.53"
435,Piermont,TRUE,435,Piermont,80.83,74.82,80.83,"306,071.56",15.85,13.32,15.85,"30,000.41",7.97,11.26,11.26,"22,943.16", -   , -   , -   , -   ,4, -   ,4,"2,963.48","361,978.61","180,406",19.60%,"3,882.12","3,456.63","185,029.24","144,093.00","144,093.00","280,284.59","329,122.24","509,528.24"
436,Pinkham's Grant,TRUE,436,Pinkham's Grant,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,438",0.00%, -   , -   , -   ,"1,182.00", -   ,0, -   ,"8,438.00"
437,Pittsburg,TRUE,437,Pittsburg,47.49,48.33,48.33,"183,000.95",14,12.09,14,"26,506.48",5,7.19,7.19,"14,641.12", -   , -   , -   , -   ,2,1,2,"1,481.74","225,630.29","576,820",28.97%, -   , -   , -   ,"35,370.00", -   ,0, -   ,"576,820.00"
439,Pittsfield,TRUE,439,Pittsfield,559.8,545.28,559.8,"2,119,779.84",259.88,227.72,259.88,"492,043.01",131.59,134.56,134.56,"274,108.84",2.77,0.7,2.77,"2,053.91",5.04,11.89,11.89,"8,811.83","2,896,797.43","575,033",46.42%,"150,797.52","134,269.61","2,456,034.04","2,185,277.00","2,185,277.00","4,068,461.72","4,641,311.04","5,216,344.04"
441,Plainfield,TRUE,441,Plainfield,291.09,283.23,291.09,"1,102,261.89",21.74,15.43,21.74,"41,168.92",31.73,32.74,32.74,"66,692.13",3.71,3,3.71,"2,748.78",5,5,5,"3,704.35","1,216,576.07","563,816",7.47%, -   , -   ,"652,760.07","167,558.00","167,558.00","756,452.19","820,318.07","1,384,134.07"
443,Plaistow,TRUE,443,Plaistow,985.17,946.8,985.17,"3,730,489.06",177.28,91.02,177.28,"335,647.39",231.38,232.63,232.63,"473,896.57",6.86,9.6,9.6,"7,113.32",11,23.57,23.57,"17,459.71","4,564,606.05","2,191,861",17.99%,"39,865.80","35,496.38","2,408,241.43", -   , -   ,"1,958,778.88","2,408,241.43","4,600,102.43"
447,Plymouth,TRUE,447,Plymouth,592.81,570.54,592.81,"2,244,778.25",214,198,214,"405,173.13",105.03,104.53,105.03,"213,949.51",5,6.59,6.59,"4,885.59",5.5,1.27,5.5,"4,074.79","2,872,861.27","940,021",36.10%,"96,568.13","85,983.94","2,018,824.21","1,711,893.00","1,711,893.00","3,360,507.65","3,730,717.21","4,670,738.21"
449,Portsmouth,TRUE,449,Portsmouth,"2,196.28","2,094.10","2,196.28","8,316,583.80",412.71,312.29,412.71,"781,392.85",375.63,387.85,387.85,"790,095.15",74.61,52.99,74.61,"55,279.05",9,17.22,17.22,"12,754.82","9,956,105.67","12,043,851",18.79%, -   , -   , -   , -   , -   ,0, -   ,"12,043,851.00"
451,Randolph,TRUE,451,Randolph,24.48,26.2,26.2,"99,227.53",10.48,7.73,10.48,"19,842.56",5.98,5.95,5.98,"12,188.23", -   , -   , -   , -   , -   , -   , -   , -   ,"131,258.32","120,210",39.99%,"5,238.84","4,664.65","15,712.97","16,897.00","16,897.00",0,"32,609.97","152,819.97"
453,Raymond,TRUE,453,Raymond,"1,188.67","1,157.58","1,188.67","4,501,088.01",306.58,206.95,306.58,"580,457.64",257.95,270.66,270.66,"551,355.84",3,5.24,5.24,"3,880.16",22.06,27.64,27.64,"20,480.68","5,657,262.33","2,130,251",25.79%,"98,834.34","88,001.77","3,615,013.10","1,744,626.00","1,744,626.00","4,645,770.09","5,359,639.10","7,489,890.10"
455,Richmond,TRUE,455,Richmond,141.49,142.4,142.4,"539,210.92",55.33,41.62,55.33,"104,750.96",31,25.14,31,"63,150.41",2,1.45,2,"1,481.74",3,3,3,"2,222.61","710,816.64","191,084",38.85%,"26,867.98","23,923.16","543,655.80","465,859.00","465,859.00","905,282.40","1,009,514.80","1,200,598.80"
459,Rindge,TRUE,459,Rindge,673.2,518.47,673.2,"2,549,161.71",155.41,131.94,155.41,"294,240.10",85.3,83.89,85.3,"173,768.13", -   , -   , -   , -   ,8.74,13,13,"9,631.31","3,026,801.25","1,245,537",23.09%,"44,855.10","39,938.83","1,821,203.08", -   , -   ,"1,105,051.57","1,821,203.08","3,066,740.08"
461,Rochester,TRUE,461,Rochester,"4,029.73","3,853.06","4,029.73","15,259,209.07","1,728.42","1,690.84","1,728.42","3,272,452.91",791.01,760.64,791.01,"1,611,383.55",66.52,61.55,66.52,"49,281.26",44.5,36.41,44.5,"32,968.72","20,225,295.51","4,928,157",42.89%,"926,649.39","825,085.52","16,122,224.03","8,776,808.00","8,776,808.00","22,106,147.12","24,899,032.03","29,827,189.03"
463,Rollinsford,TRUE,463,Rollinsford,303.69,290.6,303.69,"1,149,963.20",41.75,52.16,52.16,"98,758.79",43.73,40.6,43.73,"89,090.77", -   , -   , -   , -   ,3.86,3.42,3.86,"2,858.87","1,340,671.63","591,429",17.18%,"11,201.73","9,973.98","759,216.61", -   , -   ,"632,475.52","759,216.61","1,350,645.61"
465,Roxbury,TRUE,465,Roxbury,21.22,20,21.22,"80,346.11",8,5,8,"15,146.56",2,1,2,"4,074.22", -   , -   , -   , -   , -   , -   , -   , -   ,"99,566.89","47,811",37.70%,"3,770.00","3,356.80","55,112.69","34,708.00","34,708.00","67,043.30","89,820.69","137,631.69"
467,Rumney,TRUE,467,Rumney,132.88,136.39,136.39,"516,467.48",54.11,54.55,54.55,"103,284.77",34.15,35.17,35.17,"71,648.62", -   , -   , -   , -   , -   , -   , -   , -   ,"691,400.87","348,854",40.00%,"27,276.10","24,286.55","366,833.42","367,966.00","367,966.00","663,158.04","734,799.42","1,083,653.42"
471,Rye,TRUE,471,Rye,546.83,538.99,546.83,"2,070,641.11",26.21,22.96,26.21,"49,616.72",69.86,63.18,69.86,"142,312.10",2,2.74,2.74,"2,033.24",7,1.89,7,"5,186.09","2,269,789.26","4,611,845",4.79%, -   , -   , -   , -   , -   ,0, -   ,"4,611,845.00"
473,Salem,TRUE,473,Salem,"3,470.59","3,441.79","3,470.59","13,141,942.81",629.5,483.48,629.5,"1,191,840.59",480.75,503.68,503.68,"1,026,048.51",73.19,63.61,73.19,"54,223.24",69.81,70.89,70.89,"52,522.20","15,466,577.35","10,311,794",18.14%,"142,738.60","127,093.97","5,281,877.32", -   , -   ,"4,364,211.70","5,281,877.32","15,593,671.32"
475,Salisbury,TRUE,475,Salisbury,169.83,170.19,170.19,"644,433.87",30.96,31.81,31.81,"60,226.32",37,37.35,37.35,"76,082.60", -   , -   , -   , -   ,4,3,4,"2,963.48","783,706.27","290,877",18.69%,"7,431.59","6,617.06","499,446.33","64,567.00","64,567.00","527,902.86","564,013.33","854,890.33"
477,Sanbornton,TRUE,477,Sanbornton,316.94,307.77,316.94,"1,200,135.31",66.13,86.31,86.31,"163,413.40",53.25,55.06,55.06,"112,171.02",1,0.81,1,740.87,5,6.99,6.99,"5,181.87","1,481,642.47","981,827",27.23%,"29,377.94","26,158.02","525,973.49","170,541.00","170,541.00","595,788.97","696,514.49","1,678,341.49"
479,Sandown,TRUE,479,Sandown,965.66,903.89,965.66,"3,656,617.01",115.31,80.28,115.31,"218,317.21",254.58,249.55,254.58,"518,608.89",7.91,3,7.91,"5,861.62",10.98,21,21,"15,558.27","4,414,963.00","1,394,353",11.94%, -   , -   ,"3,020,610.00","1,397,719.00","1,397,719.00","3,868,912.13","4,418,329.00","5,812,682.00"
483,Sandwich,TRUE,483,Sandwich,135.18,126.64,135.18,"511,880.32",32.96,23,32.96,"62,394.74",11.96,11.98,11.98,"24,396.02", -   , -   , -   , -   ,3,3,3,"2,222.61","600,893.69","815,639",24.38%, -   , -   , -   , -   , -   ,0, -   ,"815,639.00"
485,Seabrook,TRUE,485,Seabrook,953.79,963.16,963.16,"3,647,146.95",359.32,336.16,359.32,"680,304.90",133.2,153.2,153.2,"312,095.03",25.43,26.94,26.94,"19,955.70",17.76,24.13,24.13,"17,879.34","4,677,381.92","3,456,679",37.31%,"167,577.17","149,210.15","1,369,913.07","79,050.00","79,050.00","972,705.47","1,448,963.07","4,905,642.07"
487,Sharon,TRUE,487,Sharon,46.11,46.01,46.11,"174,596.83",3,5.01,5.01,"9,477.39",9,10,10,"20,371.10", -   , -   , -   , -   , -   ,1,1,740.87,"205,186.19","97,524",10.86%, -   , -   ,"107,662.19","28,775.00","28,775.00","128,554.57","136,437.19","233,961.19"
489,Shelburne,TRUE,489,Shelburne,31.19,32.49,32.49,"123,021.77",7.62,6,7.62,"14,422.55",4.75,5.92,5.92,"12,059.69", -   , -   , -   , -   , -   ,1,1,740.87,"150,244.88","85,897",23.45%,"2,232.91","1,988.18","66,336.06","58,638.00","58,638.00","57,206.19","124,974.06","210,871.06"
491,Somersworth,TRUE,491,Somersworth,"1,454.77","1,359.73","1,454.77","5,508,735.65",657.14,514.06,657.14,"1,244,167.78",303.57,282.53,303.57,"618,397.95",80.14,72.51,80.14,"59,374.88",13.42,19,19,"14,076.53","7,444,752.79","1,981,798",45.17%,"371,035.13","330,368.44","5,793,323.23","2,249,150.00","2,249,150.00","6,467,396.85","8,042,473.23","10,024,271.23"
495,South Hampton,TRUE,495,South Hampton,108.36,103.15,108.36,"410,305.82",3,6,6,"11,359.92",25,24,25,"50,927.75",1, -   ,1,740.87,1,2,2,"1,481.74","474,816.10","308,155",5.54%, -   , -   ,"166,661.10","19,516.00","19,516.00","157,078.46","186,177.10","494,332.10"
497,Springfield,TRUE,497,Springfield,178.97,164.52,178.97,"677,682.26",14,14.59,14.59,"27,632.06",25,28.07,28.07,"57,190.44", -   , -   , -   , -   ,4,1,4,"2,963.48","765,468.24","404,442",8.15%, -   , -   ,"361,026.24","43,324.00","43,324.00","332,270.68","404,350.24","808,792.24"
499,Stark,TRUE,499,Stark,49.66,45.9,49.66,"188,047.81",16.61,15.66,16.61,"31,439.90",5.6,6.03,6.03,"12,274.40", -   , -   , -   , -   , -   ,1,1,740.87,"232,502.98","110,497",33.44%,"6,941.18","6,180.40","128,186.38","181,655.00","181,655.00","273,782.09","309,841.38","420,338.38"
501,Stewartstown,TRUE,501,Stewartstown,95.24,86.01,95.24,"360,650.97",49.21,35.41,49.21,"93,172.17",15.83,15.79,15.83,"32,249.28", -   , -   , -   , -   ,1,1,1,740.87,"486,813.29","166,979",51.67%,"29,526.60","26,290.39","346,124.68","195,521.00","195,521.00","434,501.79","541,645.68","708,624.68"
503,Stoddard,TRUE,503,Stoddard,154.54,140.88,154.54,"585,183.62",45.54,34.29,45.54,"86,228.80",32.09,35.95,35.95,"73,240.22", -   ,1,1,740.87,3,1.27,3,"2,222.61","747,616.12","539,234",29.47%,"16,777.16","14,938.33","223,320.45", -   , -   ,"114,049.29","223,320.45","762,554.45"
507,Strafford,TRUE,507,Strafford,637.07,613.09,637.07,"2,412,375.06",63.36,49.26,63.36,"119,954.32",87.48,88.19,88.19,"179,643.56", -   , -   , -   , -   ,14,15,15,"11,113.05","2,723,085.99","1,143,764",9.94%, -   , -   ,"1,579,321.99","639,922.00","639,922.00","1,994,887.26","2,219,243.99","3,363,007.99"
509,Stratford,TRUE,509,Stratford,72.99,73.36,73.36,"277,799.60",54.2,57.22,57.22,"108,328.01",25.32,27.84,27.84,"56,703.98", -   , -   , -   , -   , -   , -   , -   , -   ,"442,831.59","87,771",77.99%,"34,329.54","30,566.91","385,627.50","489,246.00","489,246.00","745,232.15","874,873.50","962,644.50"
