,,,,,,State-Wide,,Prelim Grant,Hold Harm-,FY11
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Calculated,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,Grant =,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.19,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Lee,"2,615,289","1,054,105","3,669,394","3,028,613",0,"1,033,690","1,994,923","1,994,923","640,781","2,635,704 "
Lempster,"648,987","245,784","894,771","828,701",0,"265,210","563,491","563,491","66,070","629,561 "
Lincoln,0,"1,813,287","1,813,287","833,596",0,"1,990,544",0,0,0,0 
Lisbon,"1,813,632","261,732","2,075,364","1,559,305","572,700","281,281","1,850,724","1,850,724",0,"1,850,724 "
Litchfield,"6,060,310","1,895,198","7,955,508","5,964,308",0,"1,807,825","4,156,483","4,156,483","1,991,200","6,147,683 "
Littleton,"3,368,181","1,355,269","4,723,450","5,161,809",0,"1,298,798","3,863,011","3,863,011",0,"3,863,011 "
Londonderry,"14,703,579","6,625,611","21,329,190","19,711,941",0,"6,682,660","13,029,281","13,029,281","1,617,249","14,646,530 "
Loudon,"2,342,555","1,147,291","3,489,846","3,681,659",0,"1,196,076","2,485,583","2,485,583",0,"2,485,583 "
Lyman,"165,346","137,398","302,744","278,004",0,"131,093","146,911","146,911","24,740","171,651 "
Lyme,"203,734","663,438","867,172","974,249",0,"746,333","227,916","227,916",0,"227,916 "
Lyndeborough,"407,811","400,753","808,564","884,457",0,"388,156","496,301","468,983",0,"468,983 "
Madbury,"914,183","465,842","1,380,025","1,168,238",0,"498,526","669,712","669,712","211,787","881,499 "
Madison,"417,255","1,065,089","1,482,344","1,589,526",0,"1,034,509","555,017","479,843",0,"479,843 "
Manchester,"49,357,620","21,792,988","71,150,608","84,993,461",0,"20,793,234","64,200,227","56,761,263",0,"56,761,263 "
Marlborough,"1,176,587","431,081","1,607,668","1,569,597",0,"425,112","1,144,485","1,144,485","38,071","1,182,556 "
Marlow,"590,016","158,770","748,786","437,112",0,"168,076","269,036","269,036","311,674","580,710 "
Martin's Location,0,0,0,0,0,0,0,0,0,0 
Mason,"250,690","388,088","638,778","644,887",0,"371,918","272,969","272,969",0,"272,969 "
Meredith,"293,593","4,199,391","4,492,984","4,358,154",0,"4,244,003","114,151","114,151","134,830","248,981 "
