 ,,,,,, ,, , ,,,,,,,,"Oct. 6, 2003",
,,,,,,,,,,,,,,, Includes home school.  Replaces 7/7/03.,,,
 ,NH Department of Education,,,,,,,,,,,,,,,,,
,"Division of Program Support, Bureau of Informaton Services",,,,,,,,,,,,,,,,,
,"101 Pleasant St., Concord NH 03301",,,,,,,,,,,,,,,,,
,603-271-2778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ,FY04 Adequacy Aid and Targeted Aid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,00-01,00-01,00-01,,,Poverty Wt. =,Poverty  ,,Total Wt.  ,FY01,If Tuition,FY04,Reduced to Amt. Spent,FY04,FY04,Statewide,FY04,
FY04 Adequacy,Adj. ELEM,High,Partic-,,Elem,(Loc F/R% less,Wt.  X,Total, ADM-R,Reg. Elem,All,Cost of an,, Targeted ,Cost of an,Education,Adequate ,
Base Cost,ADM-R,,ipating,00-01,F/R,85% of St Ave),Elem ADM,Weighted,times Base,To/From Sch,FY01,Adequate,,Aid,Adequate,Propert Tax,Education ,
"$3,390 ",,Weight of,Home,Spec Ed,Rate,X 5 times Loc%,Max = Elem,ADM-R,Cost of ,Transport,Spent,Education ,,, Education  ,at $4.92,Grant &,
 ,,1.2,School,ADM-R,Oct. '00,Max = Loc %,F/R ADM,w/o home,"$3,390 ",at 100%," 198:41,II", ,,,& Targeted Aid," Per $1,000  ", Targeted Aid ,
Canterbury,210.2,79.7,0.0,34.4,20.90%,5.71%,12.0,336.3,"1,140,057","63,408",,"1,203,465",,0,"1,203,465","729,341","474,124",
Carroll,55.8,41.2,0.0,9.8,29.54%,20.83%,11.6,118.4,"401,376","40,855",,"442,231",,0,"442,231","670,318",0,
Center Harbor,96.7,81.1,0.0,21.0,21.83%,6.97%,6.7,205.5,"696,645","47,940",,"744,585",,0,"744,585","1,409,512",0,
Charlestown,571.8,341.8,0.0,127.2,25.69%,13.17%,75.3,"1,116.1","3,783,579","191,773",,"3,975,352",,"166,554","4,141,906","801,049","3,340,857",
Chatham,40.6,14.4,0.0,9.6,0.00%,0.00%,0.0,64.6,"218,994","25,651","365,468","244,645",,0,"244,645","151,229","93,416",
Chester,525.2,259.2,0.0,59.5,2.69%,0.00%,0.0,843.9,"2,860,821","144,284",,"3,005,105",,"10,292","3,015,397","1,582,875","1,432,522",
Chesterfield,411.8,264.6,0.0,105.3,15.14%,0.00%,0.0,781.7,"2,649,963","217,440",,"2,867,403",,710,"2,868,113","1,427,555","1,440,558",
Chichester,251.6,119.4,0.1,36.6,11.22%,0.00%,0.0,407.7,"1,382,103","68,424",,"1,450,527",,0,"1,450,527","744,143","706,384",
Claremont,"1,334.5",754.8,2.0,310.1,34.37%,32.53%,434.1,"2,835.5","9,612,345","206,107",,"9,818,452",,"285,574","10,104,026","2,505,261","7,598,765",
Clarksville,19.3,21.0,0.0,4.1,10.75%,0.00%,0.0,44.4,"150,516","17,991","318,373","168,507",,0,"168,507","92,161","76,346",
