"July 13, 2006",NH Department of Education,,,,
,Information Services,,,,
"Per HB100, Excess to ",FY07 Equitable Education Grants,,,,
Remit columns removed.,and Statewide Enhanced Education Tax Assessment,,,,
,,,,,
,A,B,C,D,
FY07,,FY06/FY07,for FY07,FY07,
,,Formula plus,State Tax,Statewide,
,FY03,Transition,Calculation,Enhanced,
,ADM-R,Grants,4/1/04,Education,
,,,Equalized,Tax @,
,K <= 0.5,(See FY06 for,Valuations,$2.515 ,
,,calculations),without Utilities,"per $1,000",
Mason,172.2,"238,752","143,441,350","360,755",
Meredith,"1,006.5","279,612","1,515,100,566","3,810,478",
Merrimack,"4,630.6","7,159,009","2,918,652,554","7,340,411",
Middleton,301.6,"1,189,781","151,761,786","381,681",
Milan,227.5,"911,741","78,313,550","196,959",
Milford,"2,508.4","7,414,581","1,376,128,959","3,460,964",
Millsfield,2.0,,"4,874,504","12,259",
Milton,701.1,"2,660,789","374,610,130","942,144",
Monroe,123.6,"224,398","59,669,166","150,068",
Mont Vernon,459.0,"1,166,860","233,810,891","588,034",
Moultonborough,656.3,,"2,566,473,120","6,454,680",
Nashua,"12,898.5","23,866,124","8,362,475,175","21,031,625",
Nelson,113.5,"172,825","87,822,902","220,875",
New Boston,820.2,"1,682,269","489,060,905","1,229,988",
New Castle,104.6,,"577,425,493","1,452,225",
New Durham,437.7,"544,902","401,761,732","1,010,431",
New Hampton,276.6,"465,147","209,104,880","525,899",
New Ipswich,844.5,"2,995,264","361,910,033","910,204",
New London,412.4,,"1,044,202,569","2,626,169",
Newbury,259.2,,"651,501,421","1,638,526",
Newfields,311.4,"331,028","226,109,383","568,665",
Newington,103.5,,"445,931,187","1,121,517",
Newmarket,"1,024.8","1,773,273","716,045,758","1,800,855",
Newport,"1,117.4","6,055,971","379,139,058","953,535",
Newton,806.0,"1,756,177","445,400,343","1,120,182",
North Hampton,648.9,,"947,187,390","2,382,176",
Northfield,800.0,"3,855,263","293,667,493","738,574",
Northumberland,410.0,"2,149,020","114,364,072","287,626",
Northwood,742.2,"2,153,901","433,127,725","1,089,316",
Nottingham,684.2,"967,060","488,275,547","1,228,013",
Odell,,,"1,860,660","4,680",
Orange,51.8,"191,892","24,437,116","61,459",
Orford,166.7,"271,393","130,034,112","327,036",
Ossipee,698.6,"1,608,309","605,749,843","1,523,461",
Pelham,"1,989.5","2,670,787","1,375,843,518","3,460,246",
Pembroke,"1,196.3","4,291,681","526,316,097","1,323,685",
Penacook,749.2,"2,779,740","336,975,825","847,494",
Peterborough,994.0,"2,007,034","656,469,071","1,651,020",
Piermont,122.6,"410,348","81,679,849","205,425",
Pinkham's Grant,,,"2,541,054","6,391",
Pittsburg,122.1,"12,911","218,352,561","549,157",
Pittsfield,757.4,"4,021,495","255,760,868","643,239",
Plainfield,380.8,"781,566","244,823,581","615,731",
Plaistow,"1,315.7","1,773,537","1,029,218,060","2,588,483",
Plymouth,695.5,"3,150,947","330,864,576","832,124",
