 ,,Expenditures From,,,Expenditures Over,,,,,,,,,,,,,
,,3 1/2 - 10 Times ,,,Over 10 Times,,, ,,,,,,,,,,
,,State Average,,,State Average,,,,,,,,,,,,,
District,District Name,Student Count,Cost,,Student Count,Cost,,Total Expended,FY2017 Entitlement,FY2017 Proration 72.41189%,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
493,Souhegan Cooperative,,"$592,589.52",,,"$150,329.58",,"$1,364,857.27","$624,401.20"," $452,140.71 ",,,,,,,,
503,Stoddard,,"$79,616.97",,,$0.00,,"$183,606.10","$63,693.58"," $46,121.72 ",,,,,,,,
511,Stratham,,"$74,895.37",,,$0.00,,"$178,884.50","$59,916.30"," $43,386.52 ",,,,,,,,
515,Sunapee,,"$212,414.38",,,"$18,416.65",,"$386,814.72","$188,348.15"," $136,386.46 ",,,,,,,,
525,Tamworth,,"$1,108.11",,,$0.00,,"$53,102.67",$886.49, $641.92 ,,,,,,,,
534,Timberlane Regional,,"$953,477.82",,,$0.00,,"$1,785,390.82","$762,782.26"," $552,345.05 ",,,,,,,,
539,Unity,,"$160,719.88",,,"$91,877.98",,"$408,581.55","$220,453.88"," $159,634.82 ",,,,,,,,
555,Weare,,"$79,700.47",,,$0.00,,"$183,689.60","$63,760.38"," $46,170.09 ",,,,,,,,
563,Westmoreland,,"$40,727.97",,,$0.00,,"$92,722.53","$32,582.38"," $23,593.51 ",,,,,,,,
572,Wilton-Lyndeboro Cooperative,,"$188,414.64",,,"$66,606.04",,"$566,988.06","$217,337.75"," $157,378.37 ",,,,,,,,
573,Winchester,,"$8,050.64",,,$0.00,,"$112,039.77","$6,440.51"," $4,663.70 ",,,,,,,,
575,Windham,,"$499,795.00",,,"$2,537.26",,"$1,334,245.26","$402,373.26"," $291,366.08 ",,,,,,,,
581,Winnacunnet Cooperative,,"$251,068.66",,,"$191,183.60",,"$702,225.07","$392,038.53"," $283,882.51 ",,,,,,,,
582,Winnisquam Regional,,"$38,543.79",,,$0.00,,"$142,532.92","$30,835.03"," $22,328.23 ",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
