,,FY07,,FY08,,,,,
,FY05,Total Aid,FY07,Total Aid,FY08,FY08,Enhanced,,
,ADM-R,per ,Total Aid,per ,Total Aid,HB2,Educ Tax @,,
,,RSA,X,RSA,X,Compromise,$2.240 ,,
,K <= 0.5,198:41,1.05,198:41,0.946596522,,,,
Jaffrey,861.4,"2,414,169","2,534,877","3,321,234","3,143,869","3,143,869","1,084,674",,
Jefferson,137.0,"409,972","430,471","348,476","329,866","430,471","303,874",,
Keene,"2,867.6","10,036,739","10,538,576","10,621,683","10,054,448","10,538,576","3,852,359",,
Kensington,379.0,"382,015","401,116","324,713","307,372","401,116","765,245",,
Kingston,934.1,"1,395,349","1,465,116","1,277,338","1,209,124","1,465,116","1,660,352",,
Laconia,"2,304.8","5,350,628","5,618,159","4,795,399","4,539,308","5,618,159","4,644,874",,
Lancaster,624.9,"3,193,365","3,353,033","3,560,715","3,370,560","3,370,560","588,635",,
Landaff,53.3,"55,726","58,512","151,245","143,168","143,168","95,343",,
Langdon,110.5,"349,661","367,144","408,686","386,861","386,861","140,184",,
Lebanon,"1,576.2","2,317,118","2,432,974","2,162,339","2,046,863","2,432,974","3,636,903",,
Lee,790.4,"2,490,751","2,615,289","2,577,530","2,439,881","2,615,289","1,049,749",,
Lempster,134.8,"618,083","648,987","525,371","497,314","648,987","220,763",,
Lincoln,180.7,0,0,0,0,0,"1,783,662",,
Lisbon,299.6,"1,727,269","1,813,632","1,864,659","1,765,080","1,813,632","248,482",,
Litchfield,"1,652.1","4,651,751","4,884,339","6,402,210","6,060,310","6,060,310","1,830,179",,
Littleton,931.2,"3,134,018","3,290,719","3,558,201","3,368,181","3,368,181","1,192,731",,
Londonderry,"5,426.4","12,812,411","13,453,032","15,533,101","14,703,579","14,703,579","6,844,783",,
Loudon,805.9,"2,117,925","2,223,821","2,474,713","2,342,555","2,342,555","1,145,987",,
Lyman,56.7,"157,472","165,346","133,851","126,703","165,346","126,036",,
Lyme,253.8,"194,032","203,734","183,901","174,080","203,734","704,840",,
Lyndeborough,224.4,"388,391","407,811","330,132","312,502","407,811","418,809",,
Madbury,292.7,"870,650","914,183","783,684","741,833","914,183","460,627",,
Madison,319.3,"397,386","417,255","337,778","319,739","417,255","1,052,363",,
Manchester,"14,978.4","47,007,257","49,357,620","49,000,442","46,383,648","49,357,620","23,003,011",,
Marlborough,298.8,"888,097","932,502","1,242,966","1,176,587","1,176,587","394,017",,
Marlow,118.1,"561,920","590,016","477,632","452,125","590,016","151,659",,
Martin's Location,0.0,0,0,0,0,0,0,,
Mason,154.1,"238,752","250,690","202,939","192,101","250,690","377,597",,
Meredith,937.5,"279,612","293,593","237,670","224,978","293,593","4,104,652",,
Merrimack,"4,639.3","7,159,009","7,516,959","9,902,116","9,373,309","9,373,309","7,180,701",,
Middleton,293.4,"1,189,781","1,249,270","1,126,517","1,066,357","1,249,270","402,971",,
Milan,217.6,"911,741","957,328","1,061,700","1,005,002","1,005,002","239,018",,
