,,,,,,,,,,"November 18, 2008"
New Hampshire Department of Education,,,,,,,,,,
Commissioner's Office,,,,,,,,,,
Estimated FY10  Transition Adequate Education Aid,,,,,,,,,,
"Municipal Summary of Adequacy Aid, Fiscal Disparity Aid and Transition Grant",,,,,,,,,,
,,,,,,,,,,
,,,,,,State-Wide,Calculated,Prelim Grant,Hold Harm-,FY10
,FY09,FY09,FY09,FY10/11,FY10/11,Education,Grant =,= Calculated,less Grant if,Transition
,Grant,SWEPT,Cost of,Calculated,Fiscal,Property,FY10/11 Calcu-,Grant,Prelim Grant,Grant = Prelim
,,,Adequacy,Cost of,Disparity,Tax @,lated Cost plus,Capped @,plus SWEPT,Grant plus
See footnote on last page.,,,(Grant +,Adequacy,Aid,2.135,Fiscal Disparity,FY09 Grant X,Less than,Hold Harmless
,,,SWEPT),,,(1), Less SWEPT,115%,FY09 Cost,Grant
Grantham,0,"1,175,079","1,175,079","1,493,322",0,"1,183,667","309,655",0,0,0 
Greenfield,"890,442","372,746","1,263,188","1,225,022","332,200","366,305","1,190,917","1,024,008",0,"1,024,008 "
Greenland,"426,080","1,360,038","1,786,118","2,018,184",0,"1,301,091","717,093","489,992",0,"489,992 "
Greenville,"2,282,402","294,460","2,576,862","1,643,497","636,060","275,314","2,004,243","2,004,243","297,305","2,301,548 "
Groton,"318,677","144,525","463,202","346,869",0,"147,210","199,659","199,659","116,333","315,992 "
Hale's Location,0,"159,408","159,408","7,762",0,"182,804",0,0,0,0 
Hampstead,"3,029,265","2,526,664","5,555,929","5,802,406",0,"2,453,874","3,348,532","3,348,532",0,"3,348,532 "
Hampton,0,"6,733,838","6,733,838","8,069,827",0,"6,691,955","1,377,872",0,"41,883","41,883 "
Hampton Falls,"125,489","977,723","1,103,212","1,448,628",0,"981,756","466,872","144,312",0,"144,312 "
Hancock,"310,746","568,882","879,628","1,025,878",0,"571,412","454,466","357,358",0,"357,358 "
Hanover,0,"4,041,609","4,041,609","4,315,268",0,"4,100,748","214,520",0,0,0 
Harrisville,"42,860","404,145","447,005","501,966",0,"498,208","3,758","3,758",0,"3,758 "
Hart's Location,0,"32,972","32,972","25,878",0,"33,143",0,0,0,0 
Haverhill,"3,879,594","740,745","4,620,339","3,685,683","770,750","781,312","3,675,121","3,675,121","163,906","3,839,027 "
Hebron,0,"592,909","592,909","319,202",0,"621,762",0,0,0,0 
Henniker,"2,533,284","948,500","3,481,784","3,057,874",0,"925,501","2,132,373","2,132,373","423,910","2,556,283 "
Hill,"437,599","256,321","693,920","941,347",0,"237,958","703,389","503,239",0,"503,239 "
Hillsboro,"4,554,274","1,263,238","5,817,512","5,264,827","1,211,088","1,272,794","5,203,121","5,203,121",0,"5,203,121 "
Hinsdale,"4,198,912","567,249","4,766,161","3,885,428","1,309,920","574,619","4,620,729","4,620,729",0,"4,620,729 "
Holderness,0,"1,578,481","1,578,481","1,330,085",0,"1,750,296",0,0,0,0 
Hollis,"1,774,871","2,921,495","4,696,366","5,793,205",0,"2,932,568","2,860,637","2,041,102",0,"2,041,102 "
Hooksett,"2,673,033","3,262,502","5,935,535","8,602,564",0,"3,633,563","4,969,001","3,073,988",0,"3,073,988 "
Hopkinton,"2,116,855","1,635,218","3,752,073","3,746,325",0,"1,620,933","2,125,392","2,125,392","5,748","2,131,140 "
Hudson,"8,177,954","6,313,509","14,491,463","15,453,836",0,"6,181,024","9,272,812","9,272,812",0,"9,272,812 "
Jackson,0,"907,631","907,631","327,754",0,"825,318",0,0,"82,313","82,313 "
Jaffrey,"3,143,869","1,097,179","4,241,048","4,216,710","1,060,325","1,060,867","4,216,168","3,615,449",0,"3,615,449 "
Jefferson,"430,471","293,090","723,561","790,723",0,"284,597","506,126","495,042",0,"495,042 "
Keene,"10,538,576","4,225,909","14,764,485","13,598,585",0,"4,150,521","9,448,064","9,448,064","1,165,900","10,613,964 "
Kensington,"401,116","781,987","1,183,103","1,470,348",0,"733,502","736,846","461,283",0,"461,283 "
Kingston,"1,465,116","1,606,752","3,071,868","3,913,268",0,"1,581,560","2,331,708","1,684,883",0,"1,684,883 "
Laconia,"5,618,159","4,791,147","10,409,306","13,552,974",0,"4,856,348","8,696,626","6,460,883",0,"6,460,883 "
Lancaster,"3,370,560","578,338","3,948,898","3,169,123","1,169,980","623,449","3,715,654","3,715,654",0,"3,715,654 "
Landaff,"143,168","93,420","236,588","293,756",0,"103,390","190,366","164,643",0,"164,643 "
Langdon,"386,861","138,859","525,720","572,158","135,913","139,293","568,778","444,890",0,"444,890 "
Lebanon,"2,432,974","3,782,568","6,215,542","7,004,484",0,"4,200,736","2,803,748","2,797,920",0,"2,797,920 "
Lee,"2,615,289","1,054,105","3,669,394","3,028,613",0,"1,014,270","2,014,343","2,014,343","640,781","2,655,124 "
Lempster,"648,987","245,784","894,771","828,701",0,"247,711","580,990","580,990","66,070","647,060 "
Lincoln,0,"1,813,287","1,813,287","833,596",0,"1,811,149",0,0,"2,138","2,138 "
Lisbon,"1,813,632","261,732","2,075,364","1,559,305","572,700","275,107","1,856,898","1,856,898",0,"1,856,898 "
Litchfield,"6,060,310","1,895,198","7,955,508","5,964,308",0,"1,830,345","4,133,963","4,133,963","1,991,200","6,125,163 "
Littleton,"3,368,181","1,355,269","4,723,450","5,161,809",0,"1,318,960","3,842,849","3,842,849",0,"3,842,849 "
Londonderry,"14,703,579","6,625,611","21,329,190","19,711,941",0,"6,516,468","13,195,473","13,195,473","1,617,249","14,812,722 "
Loudon,"2,342,555","1,147,291","3,489,846","3,681,659",0,"1,206,058","2,475,601","2,475,601",0,"2,475,601 "
Lyman,"165,346","137,398","302,744","278,004",0,"125,798","152,206","152,206","24,740","176,946 "
Lyme,"203,734","663,438","867,172","974,249",0,"708,288","265,961","234,294",0,"234,294 "
Lyndeborough,"407,811","400,753","808,564","884,457",0,"405,887","478,570","468,983",0,"468,983 "
Madbury,"914,183","465,842","1,380,025","1,168,238",0,"476,707","691,531","691,531","211,787","903,318 "
Madison,"417,255","1,065,089","1,482,344","1,589,526",0,"1,060,875","528,651","479,843",0,"479,843 "
Manchester,"49,357,620","21,792,988","71,150,608","84,993,461",0,"21,291,730","63,701,731","56,761,263",0,"56,761,263 "
Marlborough,"1,176,587","431,081","1,607,668","1,569,597",0,"416,576","1,153,021","1,153,021","38,071","1,191,092 "
Marlow,"590,016","158,770","748,786","437,112",0,"159,781","277,331","277,331","311,674","589,005 "
Martin's Location,0,0,0,0,0,0,0,0,0,0 
Mason,"250,690","388,088","638,778","644,887",0,"357,032","287,855","287,855",0,"287,855 "
Meredith,"293,593","4,199,391","4,492,984","4,358,154",0,"4,352,656","5,498","5,498","134,830","140,328 "
Merrimack,"9,373,309","6,999,077","16,372,386","17,159,506",0,"6,833,660","10,325,846","10,325,846",0,"10,325,846 "
Middleton,"1,249,270","420,464","1,669,734","1,664,460",0,"421,072","1,243,388","1,243,388","5,274","1,248,662 "
Milan,"1,005,002","254,034","1,259,036","1,132,612","253,988","278,389","1,108,211","1,108,211",0,"1,108,211 "
Milford,"8,178,872","3,340,369","11,519,241","10,923,602",0,"3,321,482","7,602,120","7,602,120","595,639","8,197,759 "
Millsfield,0,"14,601","14,601","18,242",0,"14,957","3,285",0,0,0 
