,,,,"Nov 8, 2007",,,,
NH Deptment of Education,,,,,,,,
Bureau of Data Management,,,,,,,,
 FY09 Adequacy Aid Grants,,,,,,,,
and Statewide Enhanced Education Tax Assessment ,,,,,,,,
,A,B,C,D,,,,
,,,for FY09,FY09,,,,
,, ,State Tax,Statewide,,,,
,FY05,FY08/FY09,Calculation,Enhanced,,,,
,ADM-R,Grants ,4/1/06,Education,,,,
,,,Equalized,Tax @,,,,
,K <= 0.5,(See FY08 for,Valuations,$2.14 ,,,,
,,calculations),without Utilities,"per $1,000",,,,
Loudon,805.9,"2,342,555","536,117,492","1,147,291",,,,
Lyman,56.7,"165,346","64,204,837","137,398",,,,
Lyme,253.8,"203,734","310,017,928","663,438",,,,
Lyndeborough,224.4,"407,811","187,267,784","400,753",,,,
Madbury,292.7,"914,183","217,683,227","465,842",,,,
Madison,319.3,"417,255","497,705,049","1,065,089",,,,
Manchester,"14,978.4","49,357,620","10,183,639,248","21,792,988",,,,
Marlborough,298.8,"1,176,587","201,439,700","431,081",,,,
Marlow,118.1,"590,016","74,191,507","158,770",,,,
Martin's Location,,,,,,,,
Mason,154.1,"250,690","181,349,489","388,088",,,,
Meredith,937.5,"293,593","1,962,332,356","4,199,391",,,,
Merrimack,"4,639.3","9,373,309","3,270,596,680","6,999,077",,,,
Middleton,293.4,"1,249,270","196,478,510","420,464",,,,
Milan,217.6,"1,005,002","118,707,612","254,034",,,,
Milford,"2,520.3","8,178,872","1,560,919,907","3,340,369",,,,
Millsfield,3.0,,"6,822,836","14,601",,,,
Milton,644.5,"2,793,828","475,379,556","1,017,312",,,,
Monroe,107.0,"235,618","83,641,109","178,992",,,,
Mont Vernon,479.7,"1,506,979","289,623,300","619,794",,,,
Moultonborough,640.7,,"2,925,097,595","6,259,709",,,,
Nashua,"12,729.5","31,303,454","9,633,372,001","20,615,416",,,,
Nelson,116.1,"181,466","121,723,656","260,489",,,,
New Boston,873.8,"2,196,324","608,343,396","1,301,855",,,,
New Castle,102.4,,"581,741,612","1,244,927",,,,
New Durham,454.0,"575,082","476,196,424","1,019,060",,,,
New Hampton,314.5,"682,509","278,944,567","596,941",,,,
New Ipswich,820.9,"3,155,886","425,607,077","910,799",,,,
New London,419.6,,"1,213,951,137","2,597,855",,,,
Newbury,278.5,,"755,404,697","1,616,566",,,,
Newfields,347.5,"592,501","263,592,570","564,088",,,,
Newington,92.9,,"502,455,510","1,075,255",,,,
Newmarket,"1,021.1","1,982,685","839,428,384","1,796,377",,,,
Newport,"1,031.7","6,358,770","477,765,644","1,022,418",,,,
Newton,784.7,"1,963,438","498,018,388","1,065,759",,,,
North Hampton,655.1,,"1,192,007,985","2,550,897",,,,
Northfield,788.9,"4,048,026","368,004,028","787,529",,,,
Northumberland,398.9,"2,366,872","134,875,719","288,634",,,,
Northwood,742.3,"2,261,596","561,898,127","1,202,462",,,,
Nottingham,714.6,"1,015,413","623,037,314","1,333,300",,,,
Odell,,,"2,478,785","5,305",,,,
Orange,57.5,"217,072","27,750,475","59,386",,,,
Orford,150.2,"284,963","149,609,500","320,164",,,,
Ossipee,657.7,"1,688,724","767,867,070","1,643,236",,,,
Pelham,"2,050.3","3,121,609","1,673,291,184","3,580,843",,,,
Pembroke,"1,186.6","4,805,559","653,290,385","1,398,041",,,,
Penacook,724.7,"2,955,112","366,662,033","784,657",,,,
Peterborough,951.9,"2,107,386","736,739,525","1,576,623",,,,
Piermont,114.1,"430,865","90,160,747","192,944",,,,
Pinkham's Grant,,,"3,469,893","7,426",,,,
Pittsburg,120.8,"13,557","298,003,017","637,726",,,,
Pittsfield,697.9,"4,222,570","308,150,907","659,443",,,,
Plainfield,389.3,"820,644","282,017,617","603,518",,,,
Plaistow,"1,378.9","1,862,214","1,038,371,607","2,222,115",,,,
Plymouth,667.6,"3,308,494","414,684,906","887,426",,,,
Portsmouth,"2,121.4",,"4,051,241,876","8,669,658",,,,
Randolph,36.5,"14,693","49,000,841","104,862",,,,
Raymond,"1,532.1","5,641,539","969,103,021","2,073,880",,,,
Richmond,183.4,"859,190","101,921,404","218,112",,,,
Rindge,776.2,"1,356,512","654,763,430","1,401,194",,,,
Rochester,"4,326.6","19,528,790","2,440,140,346","5,221,900",,,,
Rollinsford,307.9,"468,747","278,056,619","595,041",,,,
Roxbury,28.4,"50,947","27,874,953","59,652",,,,
Rumney,230.7,"790,885","197,817,206","423,329",,,,
Rye,683.0,,"1,914,618,869","4,097,284",,,,
Salem,"4,615.2","4,623,759","4,635,936,176","9,920,903",,,,
Salisbury,208.9,"574,311","156,380,246","334,654",,,,
Sanbornton,419.8,"552,513","441,568,382","944,956",,,,
Sandown,"1,190.6","4,798,695","591,534,185","1,265,883",,,,
Sandwich,156.2,,"433,467,095","927,620",,,,
Seabrook,"1,084.2","1,134,709","1,432,378,590","3,065,290",,,,
Sharon,42.0,"51,489","54,489,214","116,607",,,,
Shelburne,55.6,"104,572","56,073,410","119,997",,,,
Somersworth,"1,615.5","6,338,043","983,053,103","2,103,734",,,,
South Hampton,128.4,"99,092","158,002,938","338,126",,,,
Springfield,200.2,"391,110","192,034,225","410,953",,,,
Stark,83.9,"352,209","51,314,646","109,813",,,,
Stewartstown,132.9,"556,924","80,629,488","172,547",,,,
Stoddard,118.8,,"274,630,785","587,710",,,,
Strafford,771.4,"2,271,177","506,272,069","1,083,422",,,,
Stratford,122.1,"818,082","50,491,633","108,052",,,,
Stratham,"1,304.1","1,278,251","1,196,565,117","2,560,649",,,,
Success,,,"8,544,831","18,286",,,,
Sugar Hill,57.6,,"132,418,791","283,376",,,,
Sullivan,112.0,"524,317","55,226,864","118,185",,,,
Sunapee,507.6,,"1,187,479,134","2,541,205",,,,
Surry,75.2,"109,551","93,850,804","200,841",,,,
Sutton,277.4,"330,269","296,175,000","633,814",,,,
Swanzey,"1,116.5","5,042,905","598,318,925","1,280,403",,,,
Tamworth,352.1,"542,993","391,312,734","837,409",,,,
Temple,235.1,"608,284","167,553,062","358,564",,,,
Thornton,276.4,"437,257","378,652,062","810,315",,,,
Tilton,463.1,"940,967","590,922,563","1,264,574",,,,
Troy,348.9,"2,074,475","127,887,915","273,680",,,,
Tuftonboro,313.5,,"1,160,489,411","2,483,447",,,,
Unity,177.3,"853,672","139,607,871","298,761",,,,
Wakefield,748.0,"1,259,290","1,030,906,379","2,206,140",,,,
Walpole,548.6,"1,212,461","431,052,452","922,452",,,,
Warner,410.5,"1,107,620","308,058,498","659,245",,,,
Warren,142.9,"758,937","82,724,274","177,030",,,,
Washington,170.4,"82,136","260,052,105","556,512",,,,
Waterville Valley,34.3,,"384,760,430","823,387",,,,
Weare,"1,802.3","7,724,162","876,885,380","1,876,535",,,,
Webster,267.5,"489,786","211,606,571","452,838",,,,
Wentworth,129.9,"635,148","93,405,783","199,888",,,,
Wentworth Location,4.0,,"9,518,644","20,370",,,,
Westmoreland,213.3,"631,502","196,687,186","420,911",,,,
Whitefield,324.4,"1,527,551","203,494,774","435,479",,,,
Wilmot,217.2,"371,730","180,445,216","386,153",,,,
Wilton,570.9,"1,069,963","458,480,501","981,148",,,,
Winchester,599.4,"3,529,631","287,681,529","615,638",,,,
Windham,"2,209.5","2,081,377","2,292,142,005","4,905,184",,,,
Windsor,30.9,"94,059","30,810,710","65,935",,,,
Wolfeboro,887.5,,"2,291,464,165","4,903,733",,,,
Woodstock,196.6,"308,594","283,910,077","607,568",,,,
,,,,,,,,
,,,,,,,,
A&G Academy Grant,,,"760,319","1,627",,,,
Bean's Grant,,,,,,,,
Bean's Purchase,,,"20,559",44,,,,
Chandler's Purchase,,,"39,007",83,,,,
Crawford's Purchase,,,"180,853",387,,,,
Cutt's Grant,,,,,,,,
Erving's Location,,,"88,204",189,,,,
Green's Grant,,,"4,781,602","10,233",,,,
Hadley's Purchase,,,,,,,,
Kilkenny,,,,,,,,
Livermore,,,"81,840",175,,,,
Low & Burbank's Grant,,,,,,,,
Sargent's Purchase,,,"2,646,070","5,663",,,,
Second College Grant,,,"1,526,099","3,266",,,,
Thomas & Merserve's Purchase,,,"6,789,057","14,529",,,,
