,From EOY Data Excl Charter And OOS,,Loc ID,,15-16 Membership,Base Adequacy      ,F &R ,Free or Reduced Differentiated Aid, SPED,ELL,SPED Diff. Aid,ELL Diff.  Aid,Grade 3 Reading Not Level 1 ,Grade 3 Reading Diff. Aid,Home School Academic ,Home School Academic Aid,Total Calculated Cost of an Adequate Education,SWEPT @,Preliminary        Grants = Cost of Adequacy            Less SWEPT,FY2012 Stabilization Grant  ,If Cost of Adequacy < SWEPT then FY12 Stabilization  @ ,FY2016 Total        Final Grant as of  3-14-16,Cap of Previous Year's 2016 Final Grant X,Preliminary + Stabilization (Capped =160% of FY16 Total Grant),"FY2017 First Estimate on 
11-15-15",Minimum First FY17 Estimate as of   11-15-15 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Barrington,TRUE,33,Barrington,"1,300.56 ","4,631,645.31",215.65 ,"383,992.86",261.20, 5.00 ," 500,422.63 ","3,483.85", 6.00 ," 4,180.62 ", 0.14 , 498.58 ," 5,524,223.85 "," 2,103,296 "," 3,420,928 "," 725,476.00 "," 696,456.96 "," 4,281,921 "," 6,851,074.00 "," 4,117,384.81 "," 4,156,057.58 "," 3,948,254.70 "," 4,117,384.81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bartlett,TRUE,35,Bartlett,267.27 ,"951,820.63",101.28 ,"180,342.21",31.12, -   ," 59,621.56 ",0.00, -   , -   , -   , -   ," 1,191,784.40 "," 2,300,294 ", -   ," 18,308.00 ", -   ," 18,308 "," 29,293.00 ", -   ," 17,575.68 "," 16,696.90 "," 16,696.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bath,TRUE,39,Bath,129.53 ,"461,291.30",53.22 ,"94,765.13",13.59, -   ," 26,036.54 ",0.00, 1.00 , 696.77 , -   , -   ," 582,789.74 "," 239,883 "," 342,907 "," 259,033.00 "," 248,671.68 "," 483,220 "," 773,152.00 "," 591,578.42 "," 570,117.05 "," 541,611.20 "," 591,578.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bedford,TRUE,41,Bedford,"4,330.27 ","15,421,260.64",274.19 ,"488,230.94",532.11, 29.88 ," 1,019,448.26 ","20,819.49", 8.00 ," 5,574.16 ", -   , -   ," 16,955,333.49 "," 8,285,871 "," 8,669,462 ", -   , -   ," 4,360,792 "," 6,977,267.00 "," 6,977,267.00 "," 6,977,267.00 "," 6,628,403.65 "," 8,669,462.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Belmont,TRUE,43,Belmont,"1,004.88 ","3,578,649.00",375.01 ,"667,754.06",166.08, 10.95 ," 318,186.03 ","7,629.63", 6.00 ," 4,180.62 ", -   , -   ," 4,576,399.34 "," 1,368,677 "," 3,207,722 "," 1,233,780.00 "," 1,184,428.80 "," 4,479,489 "," 7,167,182.00 "," 4,392,151.14 "," 4,450,484.14 "," 4,227,959.93 "," 4,392,151.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bennington,TRUE,45,Bennington,192.62 ,"685,971.83",83.54 ,"148,753.83",33.48, 1.00 ," 64,142.99 ",696.77, 2.00 ," 1,393.54 ", -   , -   ," 900,958.96 "," 227,405 "," 673,554 "," 489,829.00 "," 470,235.84 "," 1,191,203 "," 1,905,925.00 "," 1,143,789.80 "," 1,170,004.80 "," 1,111,504.56 "," 1,143,789.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Benton,TRUE,47,Benton,33.94 ,"120,869.50",4.50 ,"8,012.84",9.31, -   ," 17,836.66 ",0.00, -   , -   , -   , -   ," 146,719.00 "," 55,940 "," 90,779 "," 59,781.00 "," 57,389.76 "," 141,115 "," 225,784.00 "," 148,168.76 "," 146,445.62 "," 139,123.34 "," 148,168.76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Berlin,TRUE,51,Berlin,"1,073.13 ","3,821,705.68",597.14 ,"1,063,285.40",247.30, 5.00 ," 473,792.18 ","3,483.85", 9.09 ," 6,333.64 ", -   , -   ," 5,368,600.75 "," 629,396 "," 4,739,205 "," 5,495,595.00 "," 5,275,771.20 "," 10,235,655 "," 16,377,048.00 "," 10,014,975.95 "," 9,991,728.57 "," 9,492,142.14 "," 10,014,975.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bethlehem,TRUE,53,Bethlehem,302.78 ,"1,078,281.33",121.83 ,"216,934.15",38.24, -   ," 73,262.49 ",0.00, 2.00 ," 1,393.54 ", -   , -   ," 1,369,871.51 "," 533,165 "," 836,707 "," 449,239.00 "," 431,269.44 "," 1,246,041 "," 1,993,666.00 "," 1,267,975.95 "," 1,253,851.07 "," 1,191,158.52 "," 1,267,975.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Boscawen,TRUE,55,Boscawen,463.54 ,"1,650,791.10",161.11 ,"286,877.30",97.38, 1.00 ," 186,566.45 ",696.77, -   , -   , -   , -   ," 2,124,931.62 "," 539,847 "," 1,585,085 "," 1,119,944.00 "," 1,075,146.24 "," 2,715,328 "," 4,344,525.00 "," 2,660,230.86 "," 2,671,557.32 "," 2,537,979.45 "," 2,660,230.86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
