"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
315,Litchfield,"1,191.97","4,513,580.58","1,265.32",120.31,9.51%,113.36,99.1,113.36,"214,626.76",221.45,"451,125.95",14.34,"10,627.34",18,"13,335.66","5,203,296.29","1,418,072",9.51%, -   , -   ,"10,589,951.59", -   ,  , N/A ,"3,785,224.29","5,203,296.29","1,959,937.00", -   ,"2,167,003.00","2,167,003.00","5,647,248.16",,"5,952,227.29",,"7,370,299.29"
317,Littleton,667.62,"2,528,037.07",675.78,337.35,49.92%,333.27,348.8,348.8,"660,390.02",147.8,"301,087.71",34.14,"25,290.78",9,"6,667.83","3,521,473.41","1,145,232",52.25%,"209,280.00","194,030.27","2,274,263.65","168,939.79", Required , Yes ,"2,739,211.47","3,884,443.47","1,582,840.00", -   ,"1,498,757.00","1,498,757.00","3,827,468.47",,"4,237,968.47",,"5,383,200.47"
319,Londonderry,"3,801.74","14,395,911.18","3,850.88",484.41,12.58%,478.26,471.52,478.26,"905,499.22",756.23,"1,540,521.66",18.76,"13,899.61",84.49,"62,597.14","16,918,428.81","5,318,525",12.58%,"75,206.39","69,726.28","10,689,057.56", -   ,  , N/A ,"11,669,630.09","16,988,155.09","7,350,807.00", -   ,"1,295,082.00","1,295,082.00","12,335,396.70",,"12,964,712.09",,"18,283,237.09"
321,Loudon,586.95,"2,222,583.87",668.51,150.71,22.54%,132.3,108.21,132.3,"250,486.24",118.66,"241,717.36", -   , -   ,11.47,"8,499.19","2,723,286.66","849,060",22.54%,"37,275.53","34,559.35","5,332,029.23","11,488.43", Required , Yes ,"1,920,274.44","2,769,334.44","1,173,497.00", -   ,"714,779.00","714,779.00","2,567,461.04",,"2,635,053.44",,"3,484,113.44"
323,Lyman,45.35,"171,732.98",49.85,14.32,28.72%,13.03,6,13.03,"24,669.96",6,"12,222.66", -   , -   ,4,"2,963.48","211,589.08","91,678",28.73%,"4,679.40","4,338.42","5,922,566.44",131.16, Required , Yes ,"124,380.67","216,058.67","126,709.00", -   ,"101,586.00","101,586.00","210,814.33",,"225,966.67",,"317,644.67"
327,Lyme,288.42,"1,092,138.63",277.43,27.01,9.74%,28.09,24.41,28.09,"53,183.36",51.35,"104,608.86",2,"1,481.74",1,740.87,"1,252,153.46","484,608",9.74%, -   , -   ,"14,275,995.27", -   ,  , N/A ,"767,545.46","1,252,153.46","669,784.00", -   ,"52,744.00","52,744.00","800,906.38",,"820,289.46",,"1,304,897.46"
329,Lyndeborough,137.52,"520,723.31",139.99,21.41,15.30%,21.04,23.06,23.06,"43,659.96",23.14,"47,148.50", -   , -   ,3,"2,222.61","613,754.38","272,949",16.77%,"4,833.95","4,481.71","9,731,875.39", -   ,  , N/A ,"345,287.09","618,236.09","377,247.00", -   ,"95,306.00","95,306.00","400,228.63",,"440,593.09",,"713,542.09"
331,Madbury,328.51,"1,243,962.11",365.81,25,6.83%,22.44,23.64,23.64,"44,758.08",70.42,"143,444.53",6,"4,445.22",2,"1,481.74","1,438,091.68","354,071",7.20%, -   , -   ,"13,032,470.94", -   ,  , N/A ,"1,084,020.68","1,438,091.68","489,366.00", -   ,"142,268.00","142,268.00","1,156,738.43",,"1,226,288.68",,"1,580,359.68"
333,Madison,255.61,"967,906.27",280.66,98.42,35.07%,89.64,78.74,89.64,"169,717.20",45.58,"92,843.12",4,"2,963.48",7.27,"5,387.01","1,238,817.08","743,172",35.07%,"39,295.94","36,432.54","6,879,557.09", -   ,  , N/A ,"532,077.62","1,275,249.62","1,027,148.00", -   ,"307,677.00","307,677.00","797,774.01",,"839,754.62",,"1,582,926.62"
335,Manchester,"12,024.43","45,532,420.91","12,716.17","7,531.82",59.23%,"7,122.07","5,907.08","7,122.07","13,484,357.57","2,489.98","5,072,365.19","1,958.19","1,450,763.11",164.8,"122,098.78","65,662,005.56","15,458,857",59.23%,"4,273,242.00","3,961,861.21","1,808,267.71","3,880,995.40", Required , Yes ,"58,046,005.17","73,504,862.17","21,365,900.00", -   ,"12,454,439.00","12,454,439.00","63,901,835.19",,"70,500,444.17",,"85,959,301.17"
339,Marlborough,212.22,"803,588.70",235.43,100.57,42.72%,90.66,67.54,90.66,"171,648.39",40.28,"82,058.46", -   , -   ,4,"2,963.48","1,060,259.03","224,222",42.72%,"48,412.44","44,884.74","2,043,780.20","46,627.22", Required , Yes ,"927,548.99","1,151,770.99","309,900.00", -   ,"550,103.00","550,103.00","1,364,190.61",,"1,477,651.99",,"1,701,873.99"
341,Marlow,74.81,"283,276.63",80.61,33.33,41.34%,30.93,19.08,30.93,"58,560.39",18.15,"36,973.55", -   , -   ,2,"1,481.74","380,292.31","92,219",41.35%,"15,986.94","14,822.01","2,479,081.29","14,157.26", Required , Yes ,"317,052.58","409,271.58","127,458.00", -   ,"368,990.00","368,990.00","630,224.20",,"686,042.58",,"778,261.58"
344,Martin's Location, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%, -   , -   , -   ,,  , N/A , -   , -   , -   , -   , -   , -   , -   ,, -   ,, -   
345,Mason,148.19,"561,131.89",146.42,17.45,11.92%,17.66,11.18,17.66,"33,436.03",14.6,"29,743.64",0.99,736.72,3,"2,222.61","627,270.89","247,556",11.92%, -   , -   ,"11,733,526.93", -   ,  , N/A ,"379,714.89","627,270.89","342,151.00", -   ,"53,895.00","53,895.00","438,559.13","4,949.24","438,559.13",,"686,115.13"
347,Meredith,688.16,"2,605,845.74",737.63,256.42,34.76%,239.21,198.46,239.21,"452,901.08",136.57,"278,211.17",4.19,"3,106.62",16.89,"12,514.78","3,352,579.39","2,991,547",34.76%,"103,936.75","96,363.13","10,180,946.30", -   ,  , N/A ,"457,395.52","3,448,942.52","4,134,658.00","685,715.48","248,981.00","248,981.00","1,322,487.40",,"1,392,092.00",,"4,383,639.00"
351,Merrimack,"3,499.79","13,252,519.72","3,669.14",376.05,10.25%,358.73,278.83,358.73,"679,190.68",706.89,"1,440,015.54",75.22,"55,729.87",65.19,"48,298.06","15,475,753.87","5,381,547",10.25%, -   , -   ,"12,715,453.30", -   ,  , N/A ,"10,094,206.87","15,475,753.87","7,437,911.00", -   ,"531,304.00","531,304.00","10,023,543.30",,"10,625,510.87",,"16,007,057.87"
353,Middleton,251.8,"953,486.29",255.54,102.19,39.99%,100.7,61.2,100.7,"190,657.32",46.74,"95,223.69", -   , -   ,4.5,"3,333.92","1,242,701.22","277,423",39.99%,"50,337.41","46,669.44","2,306,376.90","48,353.22", Required , Yes ,"1,060,300.88","1,337,723.88","383,430.00", -   ,"579,583.00","579,583.00","1,498,736.62",,"1,639,883.88",,"1,917,306.88"
355,Milan,155.7,"589,589.02",176.58,68.22,38.63%,60.15,49.27,60.15,"113,883.20",23.24,"47,345.29", -   , -   ,3,"2,222.61","753,040.12","154,223",38.63%,"29,044.93","26,928.50","2,429,909.55","27,916.32", Required , Yes ,"653,661.94","807,884.94","213,154.00", -   ,"627,508.00","627,508.00","1,152,030.88",,"1,281,169.94",,"1,435,392.94"
357,Milford,"2,045.00","7,743,711.37","2,184.18",373.58,17.10%,349.69,360.55,360.55,"682,636.53",386.25,"786,842.90",38.5,"28,525.94",46.1,"34,152.40","9,275,869.14","2,270,186",17.63%,"79,456.21","73,666.43","5,233,039.12","35,948.61", Required , Yes ,"7,115,298.18","9,385,484.18","3,137,656.00", -   ,"1,100,484.00","1,100,484.00","7,776,336.12",,"8,215,782.18",,"10,485,968.18"
358,Millsfield,3,"11,359.98",4,1,25.00%,0.75, -   ,0.75,"1,419.99", -   , -   , -   , -   , -   , -   ,"12,779.97","11,787",25.00%,234.38,217.3,"125,647,556.63",,  , N/A ,"1,210.27","12,997.27","16,290.00","3,292.73", -   , -   ,"4,278.18",,"4,503.00",,"16,290.00"
359,Milton,493.39,"1,868,310.78",486.13,174.36,35.87%,176.98,130.25,176.98,"335,079.77",118.36,"241,117.43",2,"1,481.74",13,"9,631.31","2,455,621.03","628,151",35.87%,"79,353.41","73,571.12","3,004,603.04","68,916.30", Required , Yes ,"1,969,957.45","2,598,108.45","868,176.00", -   ,"1,281,178.00","1,281,178.00","3,092,184.52",,"3,251,135.45",,"3,879,286.45"
365,Monroe,126.85,"480,329.87",118.76,23.4,19.70%,24.99,20.36,24.99,"47,314.07",25.67,"52,285.89", -   , -   ,3,"2,222.61","582,152.44","116,478",19.70%,"6,153.79","5,705.38","20,485,407.63", -   ,  , N/A ,"471,379.82","587,857.82","160,986.00", -   ,"53,118.00","53,118.00","485,779.72",,"524,497.82",,"640,975.82"
367,Mont Vernon,396.34,"1,500,798.39",390.77,20.8,5.32%,21.09,28.28,28.28,"53,543.09",68.75,"140,060.07",1,740.87,9,"6,667.83","1,701,810.25","430,557",7.14%, -   , -   ,"12,498,955.53", -   ,  , N/A ,"1,271,253.25","1,701,810.25","595,078.00", -   ,"252,587.00","252,587.00","1,293,987.06",,"1,523,840.25",,"1,954,397.25"
369,Moultonborough,423.51,"1,603,682.70",435.29,100.09,22.99%,97.36,93.15,97.36,"184,333.64",100.1,"203,910.43",13,"9,631.31",12,"8,890.44","2,010,448.52","4,698,493",22.99%, -   , -   ,"39,573,330.48", -   ,  , N/A , -   ,"4,698,493.00","6,493,852.00","1,795,359.00", -   , -   ,"1,705,590.77",,"1,795,359.00",,"6,493,852.00"
371,Nashua,"9,858.87","37,332,187.16","10,774.28","4,651.55",43.17%,"4,256.07","3,980.45","4,256.07","8,058,102.45","1,913.29","3,897,576.69","1,162.78","861,468.89",130.08,"96,369.26","50,245,704.45","14,985,367",43.17%,"2,296,681.77","2,129,328.14","2,970,422.41","1,676,232.26", Required , Yes ,"39,065,897.84","54,051,264.84","20,711,483.00", -   ,"4,793,937.00","4,793,937.00","40,101,007.90",,"43,859,834.84",,"58,845,201.84"
375,Nelson,56.93,"215,568.87",65.99,22,33.34%,18.98,14.94,18.98,"35,935.21",6.49,"13,229.81", -   , -   ,2,"1,481.74","266,215.63","168,939",33.34%,"7,909.92","7,333.54","7,444,043.32", -   ,  , N/A ,"104,610.17","273,549.17","233,492.00", -   ,"95,905.00","95,905.00","180,588.91",,"200,515.17",,"369,454.17"
377,New Boston,963.95,"3,650,145.61","1,039.59",88.33,8.50%,81.94,63.31,81.94,"155,138.64",163.95,"333,985.41",1,740.87,20.4,"15,113.75","4,155,124.28","990,497",8.50%, -   , -   ,"10,031,850.54", -   ,  , N/A ,"3,164,627.28","4,155,124.28","1,368,980.00", -   ,"35,366.00","35,366.00","3,071,457.28",,"3,199,993.28",,"4,190,490.28"
379,Newbury,209.71,"794,097.82",206.39,31.38,15.20%,31.88,29.01,31.88,"60,359.04",26.61,"54,198.53", -   , -   ,3,"2,222.61","910,878.00","1,192,291",15.20%, -   , -   ,"30,519,946.78", -   ,  , N/A , -   ,"1,192,291.00","1,647,882.00","455,591.00","4,256.00", -   ,"432,811.01",,"455,591.00",,"1,647,882.00"
381,New Castle,56.36,"213,421.08",79, -   ,0.00%, -   , -   , -   , -   ,5,"10,185.55",1,740.87, -   , -   ,"224,347.50","1,139,881",0.00%, -   , -   , -   , -   ,  , N/A , -   ,"1,139,881.00","1,575,445.00","435,564.00", -   , -   ,"413,785.70",,"435,564.00",,"1,575,445.00"
383,New Durham,324.99,"1,230,640.27",337.13,91.8,27.23%,88.5,67.9,88.5,"167,558.82",44.95,"91,574.41", -   , -   ,8,"5,926.96","1,495,700.46","742,007",27.23%,"30,123.19","27,928.19","6,876,627.87",,  , N/A ,"781,621.65","1,523,628.65","1,025,539.00", -   , -   , -   ,"734,984.51",,"781,621.65",,"1,523,628.65"
387,Newfields,243.09,"920,506.37",247.43,13.34,5.39%,13.1,10,13.1,"24,802.49",47,"95,744.17", -   , -   ,3,"2,222.61","1,043,275.64","392,783",5.39%, -   , -   ,"24,564,201.54", -   ,  , N/A ,"650,492.64","1,043,275.64","542,870.00", -   , -   , -   ,"616,314.13",,"650,492.64",,"1,043,275.64"
389,New Hampton,232.81,"881,556.79",245.2,77.12,31.45%,73.22,59.2,73.22,"138,628.89",34.63,"70,552.05", -   , -   ,4,"2,963.48","1,093,701.21","442,129",31.45%,"28,784.61","26,687.15","5,463,110.82","5,110.43", Required , Yes ,"683,369.79","1,125,498.79","611,072.00", -   ,"359,153.00","359,153.00","997,651.31",,"1,042,522.79",,"1,484,651.79"
391,Newington,74.56,"282,328.45",69.41,10.54,15.18%,11.32,4.14,11.32,"21,432.38",14.68,"29,911.50", -   , -   ,1,740.87,"334,413.20","788,247",15.18%, -   , -   ,"96,507,097.92", -   ,  , N/A , -   ,"788,247.00","1,089,447.00","301,200.00", -   , -   ,"286,139.56",,"301,200.00",,"1,089,447.00"
393,New Ipswich,643.88,"2,438,151.99",726.53,151.14,20.80%,133.93,113.84,133.93,"253,572.35",68.05,"138,620.85",7,"5,186.09",12,"8,890.44","2,844,421.72","633,111",20.80%,"34,821.80","32,284.42","3,975,651.05","35,245.74", Required , Yes ,"2,278,840.88","2,911,951.88","875,032.00", -   ,"891,548.00","891,548.00","3,053,400.57",,"3,170,388.88",,"3,803,499.88"
395,New London,339.42,"1,285,271.55",342.92,30.49,8.89%,30.17,20.73,30.17,"57,121.46",27,"55,001.97",2,"1,481.74",6,"4,445.22","1,403,321.94","1,766,871",8.89%, -   , -   ,"48,124,806.09", -   ,  , N/A , -   ,"1,766,871.00","2,442,017.00","675,146.00", -   , -   ,"641,388.37",,"675,146.00",,"2,442,017.00"
399,Newmarket,944.46,"3,576,337.16","1,042.63",253.82,24.34%,229.88,139.29,229.88,"435,236.40",170.57,"347,475.76",15.24,"11,290.04",13.37,"9,902.99","4,380,242.35","1,407,023",24.34%,"69,940.99","64,844.56","5,005,056.58","29,733.29", Required , Yes ,"3,067,797.20","4,474,820.20","1,944,666.00", -   , -   , -   ,"2,856,800.12",,"3,067,797.20",,"4,474,820.20"
401,Newport,718.63,"2,721,213.53",790.22,432.17,54.69%,393.02,390.95,393.02,"744,112.63",200.38,"408,197.94",10.18,"7,542.20",11.1,"8,222.77","3,889,289.07","605,418",54.69%,"235,812.00","218,628.95","1,301,673.91","240,049.70", Required , Yes ,"3,742,549.72","4,347,967.72","836,756.00", -   ,"3,663,773.00","3,663,773.00","6,929,805.47",,"7,406,322.72",,"8,011,740.72"
403,Newton,560.48,"2,122,338.87",601.38,86.44,14.37%,80.54,41.74,80.54,"152,487.99",120.21,"244,880.38",1,740.87,20.65,"15,297.41","2,535,745.52","799,242",14.37%,"14,467.00","13,412.82","8,246,982.48", -   ,  , N/A ,"1,749,916.34","2,549,158.34","1,104,643.00", -   ,"97,091.00","97,091.00","1,764,475.26",,"1,847,007.34",,"2,646,249.34"
404,Northfield,551.75,"2,089,294.58",594.79,207.1,34.82%,192.12,189.94,192.12,"363,744.64",120.78,"246,034.20",1.5,"1,111.31",11.11,"8,229.07","2,708,413.80","526,456",34.82%,"83,620.23","77,527.03","2,298,239.99","92,453.68", Required , Yes ,"2,351,938.50","2,878,394.50","727,622.00", -   ,"2,277,433.00","2,277,433.00","4,399,311.65",,"4,629,371.50",,"5,155,827.50"
405,North Hampton,438.16,"1,659,167.11",484.54,34.94,7.21%,31.59,12.97,31.59,"59,809.98",93.99,"191,470.82",2,"1,481.74",4,"2,963.48","1,914,893.13","1,671,089",7.21%, -   , -   ,"43,685,791.51", -   ,  , N/A ,"243,804.13","1,914,893.13","2,309,635.00","394,741.87","234,921.00","234,921.00","829,793.30",,"873,467.00",,"2,544,556.00"
407,Northumberland,258.82,"980,049.33",284.47,138.46,48.67%,125.97,109.91,125.97,"238,501.52",69.45,"141,472.60", -   , -   ,5,"3,704.35","1,363,727.80","124,428",48.67%,"75,582.00","70,074.52","1,224,061.14","78,211.25", Required , Yes ,"1,387,585.58","1,512,013.58","171,974.00", -   ,"1,386,032.00","1,386,032.00","2,580,681.19",,"2,773,617.58",,"2,898,045.58"
411,Northwood,538.03,"2,037,354.86",600.62,79.7,13.27%,71.4,52.72,71.4,"135,183.05",95.98,"195,511.63", -   , -   ,19.63,"14,542.24","2,382,591.78","847,371",13.27%,"11,843.48","10,980.47","9,729,990.01", -   ,  , N/A ,"1,546,201.25","2,393,572.25","1,171,163.00", -   ,"769,340.00","769,340.00","2,190,175.54",,"2,315,541.25",,"3,162,912.25"
413,Nottingham,748.7,"2,835,070.45",779.35,77.68,9.97%,74.65,48.22,74.65,"141,336.34",78.66,"160,243.55", -   , -   ,20,"14,817.40","3,151,467.74","974,365",9.97%, -   , -   ,"10,842,067.67", -   ,  , N/A ,"2,177,102.74","3,151,467.74","1,346,683.00", -   , -   , -   ,"2,041,992.16",,"2,177,102.74",,"3,151,467.74"
414,Odell, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,880",0.00%, -   , -   , -   ,,  , N/A , -   ,"3,880.00","5,363.00","1,483.00", -   , -   ,"1,408.54",,"1,483.00",,"5,363.00"
415,Orange,37.73,"142,882.04",32.62,2,6.13%,2.31,3,3,"5,679.96",8,"16,296.88", -   , -   , -   , -   ,"164,858.88","41,420",7.95%, -   , -   ,"11,486,369.47", -   ,  , N/A ,"123,438.88","164,858.88","57,247.00", -   ,"128,496.00","128,496.00","245,392.22",,"251,934.88",,"293,354.88"
419,Ossipee,548.82,"2,078,180.73",560.16,328.33,58.61%,321.66,262.57,321.66,"609,005.31",128.29,"261,346.75",3,"2,222.61",5.03,"3,724.95","2,954,480.35","1,118,170",58.61%,"192,996.00","178,932.85","2,875,332.25",,, N/A ,"2,015,243.20","3,133,413.20","1,545,438.00", -   ,"1,018,969.00","1,018,969.00","2,763,363.39",,"3,034,212.20",,"4,152,382.20"
425,Pelham,"1,590.21","6,021,587.25","1,728.33",130.93,7.58%,120.54,118.79,120.54,"228,220.79",281.21,"572,850.61",13.5,"10,001.75",44.17,"32,726.60","6,865,387.00","2,692,652",7.58%, -   , -   ,"18,707,144.50", -   ,  , N/A ,"4,172,735.00","6,865,387.00","3,721,551.00", -   , -   , -   ,"3,996,178.79",,"4,172,735.00",,"6,865,387.00"
427,Pembroke,995.12,"3,768,193.22","1,004.66",228.17,22.71%,225.99,185.26,225.99,"427,871.39",198.08,"403,518.90",3.47,"2,570.89",17,"12,594.79","4,614,749.19","983,013",22.71%,"64,152.91","59,478.24","3,677,416.05","68,234.50", Required , Yes ,"3,759,448.93","4,742,461.93","1,358,636.00", -   ,"2,363,044.00","2,363,044.00","5,698,245.89",,"6,122,492.93",,"7,105,505.93"
429,Penacook,686.51,"2,599,579.20",730.56,225.33,30.84%,211.72,192.86,211.72,"400,853.71",185.01,"376,891.43",18.73,"13,876.64",14,"10,372.18","3,401,573.16","534,984",30.84%,"81,618.06","75,670.75","2,215,223.68","104,170.67", Required , Yes ,"3,046,430.58","3,581,414.58","739,408.00", -   ,"1,017,192.00","1,017,192.00","3,799,138.09",,"4,063,622.58",,"4,598,606.58"
431,Peterborough,677.89,"2,566,934.40",712.9,213.76,29.98%,203.23,145.84,203.23,"384,779.42",116.36,"237,037.51",1,740.87,8,"5,926.96","3,195,419.16","1,052,430",29.98%,"76,160.44","70,610.81","4,265,927.23","45,814.03", Required , Yes ,"2,259,414.00","3,311,844.00","1,454,578.00", -   ,"400,345.00","400,345.00","2,425,396.48",,"2,659,759.00",,"3,712,189.00"
435,Piermont,74.84,"283,404.24",80.83,15.85,19.60%,14.67,8,14.67,"27,775.00",11.69,"23,815.85", -   , -   , -   , -   ,"334,995.09","125,688",19.60%,"3,594.15","3,332.25","7,130,903.36", -   ,  , N/A ,"212,639.34","338,327.34","173,716.00", -   ,"144,093.00","144,093.00","330,193.69",,"356,732.34",,"482,420.34"
436,Pinkham's Grant, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,612",0.00%, -   , -   , -   ,,  , N/A , -   ,"5,612.00","7,757.00","2,145.00","1,182.00", -   ,"2,037.67",,"2,145.00",,"7,757.00"
437,Pittsburg,49.1,"185,906.07",47.49,14,29.48%,14.47,15.46,15.46,"29,270.73",9.36,"19,072.65", -   , -   ,2,"1,481.74","235,731.19","406,777",31.49%, -   , -   ,"22,050,310.59", -   ,  , N/A , -   ,"406,777.00","562,212.00","155,435.00","35,370.00", -   ,"147,662.92",,"155,435.00",,"562,212.00"
439,Pittsfield,540.56,"2,046,934.35",559.8,259.88,46.42%,250.93,204.1,250.93,"475,090.79",140.28,"285,761.11", -   , -   ,12,"8,890.44","2,816,676.69","410,305",46.42%,"145,602.13","134,992.46","1,380,823.91","150,681.68", Required , Yes ,"2,692,045.83","3,102,350.83","567,088.00", -   ,"2,185,277.00","2,185,277.00","4,486,374.26",,"4,877,322.83",,"5,287,627.83"
441,Plainfield,287.79,"1,089,752.66",291.09,21.74,7.47%,21.5,13.16,21.5,"40,706.38",39.51,"80,477.46",3.65,"2,704.18",3,"2,222.61","1,215,863.29","425,791",7.47%, -   , -   ,"16,533,944.62", -   ,  , N/A ,"790,072.29","1,215,863.29","588,492.00", -   ,"167,558.00","167,558.00","876,934.98",,"957,630.29",,"1,383,421.29"
443,Plaistow,961.05,"3,639,172.24",985.17,177.28,17.99%,172.89,111.19,172.89,"327,336.09",227.56,"463,555.99",9.31,"6,896.24",19,"14,076.53","4,451,037.09","1,607,023",17.99%,"38,878.64","36,045.65","7,815,022.40", -   ,  , N/A ,"2,880,059.74","4,487,082.74","2,221,089.00", -   , -   , -   ,"2,654,243.48",,"2,880,059.74",,"4,487,082.74"
447,Plymouth,546.97,"2,071,205.32",592.81,214,36.10%,197.46,167.15,197.46,"373,854.97",91.96,"187,336.30",7,"5,186.09",10.27,"7,610.29","2,645,192.97","644,104",36.10%,"89,103.83","82,611.05","2,792,241.96","82,342.51", Required , Yes ,"2,166,042.53","2,810,146.53","890,225.00", -   ,"1,711,893.00","1,711,893.00","3,579,342.35",,"3,877,935.53",,"4,522,039.53"
449,Portsmouth,"2,092.52","7,923,655.72","2,196.28",412.71,18.79%,393.18,317.68,393.18,"744,415.56",396.6,"807,918.23",59.54,"44,110.58",11.72,"8,684.63","9,528,784.72","8,597,476",18.79%,"92,348.15","85,618.96","18,108,511.26", -   ,  , N/A ,"1,016,927.68","9,614,403.68","11,882,691.00","2,268,287.32", -   , -   ,"3,120,954.34",,"3,285,215.00",,"11,882,691.00"
451,Randolph,26.74,"101,239.76",24.48,10.48,42.81%,11.45,7.63,11.45,"21,678.51",6.66,"13,561.65", -   , -   , -   , -   ,"136,479.92","85,820",42.83%,"6,130.04","5,683.36","6,760,513.04", -   ,  , N/A ,"56,343.28","142,163.28","118,613.00", -   ,"16,897.00","16,897.00","71,026.74",,"73,240.28",,"159,060.28"
453,Raymond,"1,174.97","4,449,200.54","1,188.67",306.58,25.79%,303.02,197.92,303.02,"573,713.83",270.01,"550,031.31",3.86,"2,856.20",30.01,"22,233.43","5,598,035.31","1,533,071",25.79%,"97,686.07","90,567.92","4,208,426.62","70,574.73", Required , Yes ,"4,226,106.97","5,759,177.97","2,118,878.00", -   ,"1,744,626.00","1,744,626.00","5,686,712.27",,"5,970,732.97",,"7,503,803.97"
455,Richmond,116.72,"441,984.26",141.49,55.33,39.10%,45.64,37.51,45.64,"86,411.12",22.38,"45,598.06",1,740.87,2,"1,481.74","576,216.05","139,530",39.10%,"22,306.55","20,681.13","2,733,464.35","19,381.01", Required , Yes ,"476,748.19","616,278.19","192,847.00", -   ,"465,859.00","465,859.00","918,628.35",,"942,607.19",,"1,082,137.19"
459,Rindge,575.58,"2,179,523.11",673.2,155.41,23.09%,132.9,105.06,132.9,"251,622.23",89.11,"181,530.95", -   , -   ,10.39,"7,695.34","2,620,371.63","924,032",23.09%,"38,358.26","35,563.19","5,761,947.09","4,112.84", Required , Yes ,"1,736,015.66","2,660,047.66","1,277,118.00", -   , -   , -   ,"1,545,206.79",,"1,736,015.66",,"2,660,047.66"
461,Rochester,"3,723.10","14,098,123.31","4,029.73","1,728.42",42.89%,"1,596.84","1,337.52","1,596.84","3,023,329.11",759.76,"1,547,721.42",69.61,"51,574.92",78.51,"58,162.44","18,778,911.20","3,699,292",42.89%,"856,105.85","793,723.49","1,932,989.22","844,267.51", Required , Yes ,"16,717,610.21","20,416,902.21","5,112,842.00", -   ,"8,776,808.00","8,776,808.00","23,374,357.65",,"25,494,418.21",,"29,193,710.21"
463,Rollinsford,275.44,"1,042,980.21",303.69,41.75,13.75%,37.87,44.08,44.08,"83,457.55",43.08,"87,763.38", -   , -   ,4,"2,963.48","1,217,164.62","419,847",16.00%,"8,816.00","8,173.60","7,795,236.56", -   ,  , N/A ,"805,491.22","1,225,338.22","580,276.00", -   , -   , -   ,"746,734.11",,"805,491.22",,"1,225,338.22"
465,Roxbury,21.01,"79,541.44",21.22,8,37.70%,7.92,6,7.92,"14,995.09",1,"2,037.11", -   , -   , -   , -   ,"96,573.64","32,589",37.70%,"3,732.30","3,460.34","3,094,239.14","2,991.77", Required , Yes ,"70,436.75","103,025.75","45,041.00", -   ,"34,708.00","34,708.00","97,018.80",,"105,144.75",,"137,733.75"
467,Rumney,121.65,"460,646.81",132.88,54.11,40.72%,49.54,40.5,49.54,"93,795.07",29.83,"60,762.31", -   , -   , -   , -   ,"615,204.19","264,169",40.72%,"25,215.86","23,378.44","4,664,041.88","8,603.84", Required , Yes ,"383,017.47","647,186.47","365,111.00", -   ,"367,966.00","367,966.00","715,949.10",,"750,983.47",,"1,015,152.47"
471,Rye,539.92,"2,044,503.69",546.83,26.21,4.79%,25.86,20.84,25.86,"48,961.26",63.35,"129,052.96",0.93,687.38,4,"2,963.48","2,226,168.77","3,344,277",4.79%, -   , -   ,"105,623,084.03", -   ,  , N/A , -   ,"3,344,277.00","4,622,172.00","1,277,895.00", -   , -   ,"1,214,000.06",,"1,277,895.00",,"4,622,172.00"
