"District
Public School
Adequacy

SFY 2023",,Calculated Cost of an Adequate Education,,,,,,,,,,,,,,,,Statewide Education Property Tax (SWEPT),Additional Aid,,,,,,,"Preliminary Grant 

 Cost of Adequacy            Less SWEPT Plus Relief Aid",SWEPT Reduction Hold Harmless,,,Stabilization Aid,,Hold Harmless,,Adequacy Grant,,Final State Grant
,,Base Adequacy,,Federal Free & Reduced (F&R) Price Meal Eligible ,,,,,,,Special Education Aid,,English Language Learner Aid,,3rd Grade Reading Aid,,Total Calculated Cost of an Adequate Education,,Relief Aid Grant,,,Extraordinary Grant,,,,,Total Education Grant For the Purpose of Deterring SWEPT Hold Harmless Grant,SWEPT If No $100 Million Reduction Occurred,SWEPT Hold Harmless,"FY 2012 Stabilization Grant 

(100% of Grant) ","Grant Eligibility:

(1) Stabilization Received FY 12
(2) ADM > Zero
(3) Cost of Adequacy > SWEPT",Districts Guaranteed 95% Of November 2020 Grant Estimate of FY 2023,Hold Harmless Grant, Adequacy Grant = Max of Preliminary Grant Plus Stabiliation Grant Or 95% of November 2022 Grant Estimate ,,"   
Adequacy Grant

&

SWEPT Grant"
,, 2021-2022 Membership ,Base Adequacy Aid," Calculation of the Pre-Covid-19 F&R to Base ADM Ratio 

(2019-2020 F&R Over 2019-2020 Base ADM) ",,, HB2: Modified F&R Data Using Pre-Covid 19 Ratio ," 2021-2022
 F&R Membership "," Greater of the Two:
Modified F&R Data vs 2021-2022 Estimated F&R) ",Free or Reduced Differentiated Aid," 2021-2022
SPED Membership ",Special Education Differentiated Aid," 2021-2022
ELL Membership ",ELL Differentiated Aid," 2021-2022
3rd Grade Reading Membership ",3rd Grade Reading Differentiated Aid,,,"Under 12% F&R = $0 Relief
12.00% F&R  = $150 Grant Per F&R Pupil
65,Bridgewater,83.87,"317,591.34",86.19,24.93,28.93%,24.26,18.47,24.26,"45,931.94",9.91,"20,190.00", -   , -   , -   , -   ,"383,713.28","568,297",28.93%, -   , -   ,"19,371,125.26", -   ,  , N/A , -   ,"568,297.00","785,452.00","217,155.00", -   , -   ,"206,296.81",,"217,155.00",,"785,452.00"
67,Bristol,349.66,"1,324,059.82",349.39,152.28,43.58%,152.38,126.05,152.38,"288,504.10",46.89,"95,519.48", -   , -   ,4,"2,963.48","1,711,046.88","692,935",43.58%,"83,009.01","76,960.34","3,843,566.36","42,717.66", Required , Yes ,"1,137,789.88","1,830,724.88","957,715.00", -   ,"267,027.00","267,027.00","1,290,002.31",,"1,404,816.88",,"2,097,751.88"
69,Brookfield,70.99,"268,817.27",81.13,24.13,29.74%,21.11,13.71,21.11,"39,967.99",4.38,"8,928.86", -   , -   ,3,"2,222.61","319,936.73","162,871",29.74%,"7,847.64","7,275.80","6,365,871.28",,  , N/A ,"164,341.53","327,212.53","225,107.00", -   ,"56,013.00","56,013.00","190,926.75",,"220,354.53",,"383,225.53"
71,Brookline,"1,137.24","4,306,348.41","1,126.40",48.22,4.28%,48.67,46,48.67,"92,147.88",189.22,"385,461.55",11.48,"8,507.48",14,"10,372.18","4,802,837.50","919,945",4.28%, -   , -   ,"15,609,045.93", -   ,  , N/A ,"3,882,892.50","4,802,837.50","1,271,469.00", -   ,"758,524.00","758,524.00","4,383,408.34",,"4,641,416.50",,"5,561,361.50"
73,Cambridge, -   , -   , -   , -   ,0.00%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"12,787",0.00%, -   , -   , -   ,,  , N/A , -   ,"12,787.00","17,674.00","4,887.00",203, -   ,"4,642.36",,"4,887.00",,"17,674.00"
75,Campton,408.94,"1,548,517.50",403.03,112.82,27.99%,114.46,107.47,114.46,"216,709.41",75.05,"152,876.35", -   , -   ,4.73,"3,502.76","1,921,606.02","570,475",27.99%,"40,046.69","37,128.58","4,207,566.66","26,671.05", Required , Yes ,"1,414,930.65","1,985,405.65","788,461.00", -   ,"669,210.00","669,210.00","1,954,678.24",,"2,084,140.65",,"2,654,615.65"
77,Canaan,418.36,"1,584,187.83",434.57,149.43,34.39%,143.87,103.39,143.87,"272,391.95",88.7,"180,696.14",1.54,"1,144.20",9,"6,667.83","2,045,087.95","534,988",34.39%,"61,846.12","57,339.54","3,086,269.97","54,495.78", Required , Yes ,"1,621,935.28","2,156,923.28","739,415.00", -   ,"956,783.00","956,783.00","2,380,499.23",,"2,578,718.28",,"3,113,706.28"
79,Candia,428.64,"1,623,119.24",442.31,70.78,16.00%,68.58,45.73,68.58,"129,843.89",71.64,"145,944.26", -   , -   ,5,"3,704.35","1,902,611.74","703,115",16.00%,"13,716.00","12,716.55","8,478,454.05", -   ,  , N/A ,"1,212,213.29","1,915,328.29","971,786.00", -   , -   , -   ,"1,179,668.54",,"1,212,213.29",,"1,915,328.29"
81,Canterbury,204.54,"774,516.62",221.41,33.34,15.06%,30.8,42.95,42.95,"81,318.09",34.62,"70,534.12",3,"2,222.61",3.74,"2,772.04","931,363.48","393,599",21.00%,"11,274.38","10,452.84","7,621,166.01", -   ,  , N/A ,"548,217.32","941,816.32","543,999.00", -   , -   , -   ,"527,178.20",,"548,217.32",,"941,816.32"
83,Carroll,54.35,"205,801.94",59.26,20.22,34.12%,18.54,8.14,18.54,"35,102.15",2.68,"5,468.01",1,740.87,3,"2,222.61","249,335.58","528,925",34.11%, -   , -   ,"23,414,926.01", -   ,  , N/A , -   ,"528,925.00","731,034.00","202,109.00", -   , -   ,"192,003.71",,"202,109.00",,"731,034.00"
87,Center Harbor,86.73,"328,406.80",97.05,16.25,16.74%,14.52,10.48,14.52,"27,491.01",7.56,"15,398.11",0.59,433.56,1,740.87,"372,470.35","705,855",16.74%, -   , -   ,"39,756,732.25", -   ,  , N/A , -   ,"705,855.00","975,572.00","269,717.00", -   , -   ,"256,230.78",,"269,717.00",,"975,572.00"
89,Charlestown,604.48,"2,288,963.27",614.34,294.38,47.92%,289.67,212.51,289.67,"548,438.00",147.85,"301,176.73",1,740.87,11,"8,149.57","3,147,468.44","393,296",47.92%,"173,512.33","160,868.91","1,195,074.80","180,939.55", Required , Yes ,"3,095,980.90","3,489,276.90","543,580.00", -   ,"2,520,022.00","2,520,022.00","5,203,945.85",,"5,616,002.90",,"6,009,298.90"
91,Chatham,48.24,"182,685.52",50.99,9.68,18.98%,9.16,4.91,9.16,"17,342.81",7,"14,259.77", -   , -   , -   , -   ,"214,288.10","76,179",18.99%,"2,174.36","2,015.92","6,850,512.52", -   ,  , N/A ,"140,125.02","216,304.02","105,288.00", -   , -   , -   ,"140,415.46",290.44,"140,415.46",,"216,594.46"
93,Chester,720.48,"2,728,213.55",787.83,45.06,5.72%,41.21,27.46,41.21,"78,023.72",141.45,"288,155.52",2.21,"1,635.77",12,"8,890.44","3,104,919.00","953,374",5.72%, -   , -   ,"20,274,491.60", -   ,  , N/A ,"2,151,545.00","3,104,919.00","1,317,672.00", -   ,"532,325.00","532,325.00","2,468,534.76",,"2,683,870.00",,"3,637,244.00"
95,Chesterfield,404.27,"1,530,844.78",433.36,80.83,18.65%,75.4,59.48,75.4,"142,756.33",46.43,"94,589.74",3,"2,222.61",9.92,"7,346.99","1,777,760.45","756,979",18.65%,"17,577.63","16,296.79","8,273,994.48", -   ,  , N/A ,"1,037,078.24","1,794,057.24","1,046,231.00", -   ,"119,256.00","119,256.00","1,103,508.36",,"1,156,334.24",,"1,913,313.24"
99,Chichester,288.54,"1,092,586.59",316.41,53.85,17.02%,49.11,45.57,49.11,"92,980.95",51.44,"104,793.22",2,"1,481.74",5,"3,704.35","1,295,546.85","439,998",17.02%,"10,448.15","9,686.82","7,456,451.33", -   ,  , N/A ,"865,235.67","1,305,233.67","608,127.00", -   ,"115,615.00","115,615.00","918,437.86",,"980,850.67",,"1,420,848.67"
101,Claremont,"1,592.07","6,028,636.87","1,648.23",784.55,47.60%,757.83,636.11,757.83,"1,434,814.70",354.47,"722,089.49",8.1,"5,997.34",35.51,"26,309.55","8,217,847.95","975,244",47.60%,"450,908.85","418,052.21","1,106,533.84","482,094.01", Required , Yes ,"8,142,750.17","9,117,994.17","1,347,899.00", -   ,"6,282,807.00","6,282,807.00","13,295,405.80",,"14,425,557.17",,"15,400,801.17"
103,Clarksville,23.43,"88,733.56",19.81,13,65.64%,15.38,12.43,15.38,"29,119.26",4,"8,148.44", -   , -   , -   , -   ,"126,001.26","71,931",65.63%,"9,228.00","8,555.58","3,704,420.59","4,589.78", Required , Yes ,"67,215.62","139,146.62","99,417.00", -   ,"46,927.00","46,927.00","103,789.04",,"114,142.62",,"186,073.62"
105,Colebrook,230.47,"872,724.78",243.03,124.33,51.16%,117.91,95.05,117.91,"223,241.36",47,"95,737.65", -   , -   , -   , -   ,"1,191,703.79","213,803",51.16%,"70,746.00","65,590.91","1,613,428.22","67,238.69", Required , Yes ,"1,110,730.39","1,324,533.39","295,499.00", -   ,"1,088,007.00","1,088,007.00","2,039,181.98",,"2,198,737.39",,"2,412,540.39"
107,Columbia,53.59,"202,918.02",60.23,26.02,43.20%,23.15,18.06,23.15,"43,830.36",12.69,"25,859.89", -   , -   ,2,"1,481.74","274,090.01","84,040",43.20%,"12,501.00","11,590.08","4,104,518.04","5,704.45", Required , Yes ,"207,344.55","291,384.55","116,153.00", -   ,"199,764.00","199,764.00","382,512.73",,"407,108.55",,"491,148.55"
111,Concord,"3,841.81","14,547,622.20","4,030.72","1,470.01",36.47%,"1,401.11","1,407.02","1,407.02","2,663,939.11",740.44,"1,508,350.19",219.03,"162,272.02",63.96,"47,383.30","18,929,566.82","5,353,321",36.62%,"644,063.41","597,132.07","3,220,565.36","508,393.62", Required , Yes ,"14,681,771.51","20,035,092.51","7,398,899.00", -   ,"1,794,128.00","1,794,128.00","14,949,963.85",,"16,475,899.51",,"21,829,220.51"
