,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Kingston,TRUE,283,Kingston, 623.56 ," 2,607,740.05 ", 79.34 ," 186,126.71 ", 169.26 ," 362,544.64 ", 9.87 ," 8,053.02 ", -   , -   ," 3,164,464.42 "," 1,624,442 "," 1,402,112,423.04 "," 17,672,668.71 ", -   , -   ," 1,540,022.42 "," 1,310,678.65 "," 1,363,105.80 ",0.00,"1,505,567.93", -   ," 1,540,022.42 ",," 3,164,464.42 ",,,,,,,,,
285,Laconia,TRUE,285,Laconia," 1,736.92 "," 7,263,804.46 ", 922.91 ," 2,165,153.90 ", 406.55 ," 870,835.24 ", 21.92 ," 17,887.78 ", 0.90 ," 3,763.80 "," 10,321,445.18 "," 4,974,898 "," 4,152,773,342.85 "," 4,499,636.85 "," 3,795.02 "," 3,502,470.85 "," 8,849,018.03 "," 6,899,479.79 "," 7,175,458.98 ",0.00,"8,594,829.41", -   ," 8,849,018.03 ",," 13,823,916.03 ",,,,,,,,,
287,Lancaster,TRUE,287,Lancaster, 378.01 ," 1,580,828.20 ", 172.55 ," 404,811.21 ", 108.55 ," 232,520.31 ", 3.16 ," 2,576.36 ", -   , -   ," 2,220,736.08 "," 491,905 "," 424,745,699.69 "," 2,461,526.20 "," 7,259.81 "," 1,252,707.02 "," 2,981,538.10 "," 3,641,005.94 "," 3,786,646.18 ","805,108.08","3,786,646.18", -   ," 3,786,646.18 ",," 4,278,551.18 ",,,,,,,,,
291,Landaff,TRUE,291,Landaff, 39.09 ," 163,476.47 ", 10.00 ," 23,460.00 ", 5.00 ," 10,710.00 ", -   , -   , -   , -   ," 197,646.47 "," 98,677 "," 83,471,838.08 "," 8,347,183.81 ", -   , -   ," 98,969.47 "," 135,073.31 "," 140,476.24 ","41,506.77","140,476.24", -   ," 140,476.24 ",," 239,153.24 ",,,,,,,,,
293,Langdon,TRUE,293,Langdon, 70.17 ," 293,451.36 ", 18.81 ," 44,117.94 ", 13.81 ," 29,571.60 ", -   , -   , -   , -   ," 367,140.90 "," 101,002 "," 85,064,876.21 "," 4,523,380.07 "," 3,754.65 "," 70,608.52 "," 336,747.42 "," 378,373.62 "," 393,508.56 ","56,761.14","393,508.56", -   ," 393,508.56 ",," 494,510.56 ",,,,,,,,,
295,Lebanon,TRUE,295,Lebanon," 1,315.00 "," 5,499,318.71 ", 326.69 ," 766,424.36 ", 241.34 ," 516,943.64 ", 57.68 ," 47,067.21 ", 0.13 , 542.82 ," 6,830,296.74 "," 3,887,760 "," 3,331,429,382.16 "," 10,197,396.84 ", -   , -   ," 2,942,536.74 "," 3,197,054.20 "," 3,324,936.37 ","382,399.62","3,324,936.37", -   ," 3,324,936.37 ",," 7,212,696.37 ",,,,,,,,,
297,Lee,TRUE,297,Lee, 699.31 ," 2,924,497.69 ", 99.38 ," 233,141.96 ", 124.84 ," 267,412.64 ", 8.19 ," 6,683.77 ", -   , -   ," 3,431,736.06 "," 1,107,028 "," 926,583,074.26 "," 9,323,778.02 ", -   , -   ," 2,324,708.06 "," 2,747,730.72 "," 2,857,639.95 ","532,931.89","2,857,639.95", -   ," 2,857,639.95 ",," 3,964,667.95 ",,,,,,,,,
299,Lempster,TRUE,299,Lempster, 153.98 ," 643,962.34 ", 50.36 ," 118,152.30 ", 28.93 ," 61,964.42 ", -   , -   , -   , -   ," 824,079.06 "," 242,001 "," 251,907,361.81 "," 5,001,804.13 "," 2,941.33 "," 148,135.24 "," 730,213.30 "," 768,408.32 "," 799,144.65 ","68,931.35","799,144.65", -   ," 799,144.65 ",," 1,041,145.65 ",,,,,,,,,
303,Lincoln,TRUE,303,Lincoln, 123.47 ," 516,340.67 ", 48.79 ," 114,458.76 ", 25.57 ," 54,761.73 ", 2.52 ," 2,053.63 ", -   , -   ," 687,614.79 "," 2,258,613 "," 1,876,665,498.55 "," 38,465,009.43 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,258,613.00 ",,,,,,,,,
311,Lisbon,TRUE,311,Lisbon, 182.35 ," 762,607.77 ", 94.32 ," 221,272.14 ", 56.80 ," 121,665.39 ", -   , -   , -   , -   ," 1,105,545.30 "," 197,097 "," 167,790,358.78 "," 1,778,968.57 "," 8,420.15 "," 794,179.61 "," 1,702,627.91 "," 1,694,674.55 "," 1,762,461.53 ","59,833.62","1,776,429.96", -   ," 1,762,461.53 ",," 1,959,558.53 ",,,,,,,,,
315,Litchfield,TRUE,315,Litchfield," 1,129.91 "," 4,725,278.60 ", 156.54 ," 367,234.16 ", 225.44 ," 482,884.98 ", 22.61 ," 18,450.74 ", -   , -   ," 5,593,848.48 "," 1,941,855 "," 1,667,723,488.18 "," 10,653,908.95 ", -   , -   ," 3,651,993.48 "," 5,360,521.36 "," 5,574,942.21 ","1,922,948.73","5,574,942.21", -   ," 5,574,942.21 ",," 7,516,797.21 ",,,,,,,,,
317,Littleton,TRUE,317,Littleton, 599.61 ," 2,507,587.84 ", 337.58 ," 791,966.20 ", 128.79 ," 275,868.39 ", 26.00 ," 21,216.00 ", -   , -   ," 3,596,638.43 "," 1,265,073 "," 1,443,679,147.71 "," 4,276,535.14 "," 4,174.29 "," 1,409,163.17 "," 3,740,728.60 "," 4,224,907.11 "," 4,393,903.39 ","653,174.79","4,393,903.39", -   ," 4,393,903.39 ",," 5,658,976.39 ",,,,,,,,,
319,Londonderry,TRUE,319,Londonderry," 3,691.54 "," 15,438,029.06 ", 517.64 ," 1,214,375.93 ", 762.43 ," 1,633,114.35 ", 26.73 ," 21,808.50 ", 0.60 ," 2,509.20 "," 18,309,837.04 "," 7,674,148 "," 7,149,120,732.45 "," 13,811,075.13 ", -   , -   ," 10,635,689.04 "," 11,468,734.19 "," 11,927,483.56 ","1,291,794.52","11,927,483.56", -   ," 11,927,483.56 ",," 19,601,631.56 ",,,,,,,,,
321,Loudon,TRUE,321,Loudon, 606.10 ," 2,534,705.18 ", 139.77 ," 327,903.94 ", 135.92 ," 291,139.57 ", -   , -   , -   , -   ," 3,153,748.69 "," 1,204,668 "," 1,017,658,210.00 "," 7,280,870.64 ", -   , -   ," 1,949,080.69 "," 2,450,182.50 "," 2,548,189.80 ","599,109.11","2,548,189.80", -   ," 2,548,189.80 ",," 3,752,857.80 ",,,,,,,,,
323,Lyman,TRUE,323,Lyman, 38.48 ," 160,936.74 ", 2.00 ," 4,692.00 ", 4.98 ," 10,674.01 ", -   , -   , -   , -   ," 176,302.75 "," 126,706 "," 107,486,728.52 "," 53,743,364.26 ", -   , -   ," 49,596.75 "," 139,111.44 "," 144,675.90 ","95,079.15","144,675.90", -   ," 144,675.90 ",," 271,381.90 ",,,,,,,,,
327,Lyme,TRUE,327,Lyme, 283.86 ," 1,187,084.96 ", 19.31 ," 45,301.03 ", 44.97 ," 96,328.74 ", -   , -   , 0.15 , 627.30 ," 1,329,342.03 "," 615,285 "," 512,197,408.15 "," 26,525,119.66 ", -   , -   ," 714,057.03 "," 614,567.23 "," 639,149.92 ",0.00,"721,386.58", -   ," 714,057.03 ",," 1,329,342.03 ",,,,,,,,,
329,Lyndeborough,TRUE,329,Lyndeborough, 136.79 ," 572,050.34 ", 31.92 ," 74,884.32 ", 29.09 ," 62,302.00 ", -   , -   , -   , -   ," 709,236.66 "," 346,619 "," 287,671,273.81 "," 9,012,257.95 ", -   , -   ," 362,617.66 "," 394,314.52 "," 410,087.10 ","47,469.44","410,087.10", -   ," 410,087.10 ",," 756,706.10 ",,,,,,,,,
331,Madbury,TRUE,331,Madbury, 319.48 ," 1,336,079.16 ", 32.15 ," 75,413.11 ", 64.64 ," 138,456.95 ", 4.00 ," 3,264.00 ", -   , -   ," 1,553,213.22 "," 502,269 "," 450,086,125.64 "," 14,001,571.78 ", -   , -   ," 1,050,944.22 "," 1,098,892.88 "," 1,142,848.60 ","91,904.38","1,142,848.60", -   ," 1,142,848.60 ",," 1,645,117.60 ",,,,,,,,,
333,Madison,TRUE,333,Madison, 238.64 ," 997,993.32 ", 87.03 ," 204,182.47 ", 40.25 ," 86,214.64 ", 2.00 ," 1,632.00 ", -   , -   ," 1,290,022.43 "," 1,187,550 "," 993,983,458.26 "," 11,420,594.62 ", -   , -   ," 102,472.43 "," 443,418.11 "," 461,154.83 ","358,682.40","461,154.83", -   ," 461,154.83 ",," 1,648,704.83 ",,,,,,,,,
335,Manchester,TRUE,335,Manchester," 11,570.98 "," 48,389,855.92 "," 6,426.36 "," 15,076,233.29 "," 2,577.30 "," 5,520,577.67 "," 2,077.50 "," 1,695,237.06 ", 0.15 , 627.30 ," 70,682,531.24 "," 19,591,182 "," 16,537,392,342.02 "," 2,573,369.73 "," 7,069.67 "," 45,432,231.93 "," 96,523,581.17 "," 62,542,377.55 "," 65,044,072.65 ",0.00,"90,006,265.75", -   ," 96,523,581.17 ",," 116,114,763.17 ",,,,,,,,,
339,Marlborough,TRUE,339,Marlborough, 214.46 ," 896,868.79 ", 80.86 ," 189,697.56 ", 49.47 ," 105,963.67 ", -   , -   , -   , -   ," 1,192,530.02 "," 323,280 "," 273,558,682.42 "," 3,383,115.04 "," 5,693.10 "," 460,344.42 "," 1,329,594.44 "," 1,315,767.87 "," 1,368,398.58 ","38,804.14","1,368,398.58", -   ," 1,368,398.58 ",," 1,691,678.58 ",,,,,,,,,
341,Marlow,TRUE,341,Marlow, 85.88 ," 359,153.09 ", 31.70 ," 74,361.16 ", 18.84 ," 40,352.07 ", -   , -   , -   , -   ," 473,866.32 "," 143,856 "," 120,916,908.86 "," 3,814,774.55 "," 4,959.28 "," 157,194.40 "," 487,204.72 "," 673,513.33 "," 700,453.86 ","213,249.14","700,453.86", -   ," 700,453.86 ",," 844,309.86 ",,,,,,,,,
344,Martin's Location,TRUE,344,Martin's Location, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 105 ," 693,751.00 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,, 105.00 ,,,,,,,,,
345,Mason,TRUE,345,Mason, 151.03 ," 631,589.90 ", 20.80 ," 48,798.44 ", 21.00 ," 44,982.00 ", -   , -   , -   , -   ," 725,370.34 "," 323,327 "," 274,002,234.09 "," 13,172,741.02 ", -   , -   ," 402,043.34 "," 366,041.09 "," 380,682.73 ",0.00,"384,830.15", -   ," 402,043.34 ",," 725,370.34 ",,,,,,,,,
347,Meredith,TRUE,347,Meredith, 645.12 ," 2,697,893.09 ", 208.20 ," 488,432.51 ", 129.77 ," 277,959.20 ", 6.03 ," 4,923.83 ", -   , -   ," 3,469,208.63 "," 5,085,243 "," 4,191,337,583.29 "," 20,131,497.82 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 5,085,243.00 ",,,,,,,,,
351,Merrimack,TRUE,351,Merrimack," 3,420.09 "," 14,302,823.07 ", 377.56 ," 885,767.02 ", 729.61 ," 1,562,816.69 ", 88.94 ," 72,573.82 ", -   , -   ," 16,823,980.60 "," 7,112,961 "," 6,043,013,806.33 "," 16,005,236.20 ", -   , -   ," 9,711,019.60 "," 8,697,531.64 "," 9,045,432.91 ",0.00,"9,824,872.89", -   ," 9,711,019.60 ",," 16,823,980.60 ",,,,,,,,,
353,Middleton,TRUE,353,Middleton, 247.78 ," 1,036,195.05 ", 81.93 ," 192,197.69 ", 44.75 ," 95,844.22 ", -   , -   , -   , -   ," 1,324,236.96 "," 386,892 "," 323,098,460.12 "," 3,943,798.59 "," 4,739.94 "," 388,323.10 "," 1,325,668.06 "," 1,454,544.16 "," 1,512,725.93 ","187,057.87","1,512,725.93", -   ," 1,512,725.93 ",," 1,899,617.93 ",,,,,,,,,
355,Milan,TRUE,355,Milan, 147.41 ," 616,487.86 ", 49.85 ," 116,946.93 ", 15.75 ," 33,733.07 ", 1.76 ," 1,438.44 ", -   , -   ," 768,606.30 "," 245,434 "," 234,145,775.66 "," 4,697,053.64 "," 3,459.41 "," 172,449.80 "," 695,622.10 "," 1,219,417.72 "," 1,268,194.43 ","572,572.33","1,268,194.43", -   ," 1,268,194.43 ",," 1,513,628.43 ",,,,,,,,,
357,Milford,TRUE,357,Milford," 1,899.75 "," 7,944,751.99 ", 358.18 ," 840,279.96 ", 372.50 ," 797,891.14 ", 51.62 ," 42,125.51 ", 2.10 ," 8,782.20 "," 9,633,830.80 "," 3,283,987 "," 2,748,369,507.00 "," 7,673,246.05 ", -   , -   ," 6,349,843.80 "," 7,307,845.97 "," 7,600,159.81 ","1,250,316.01","7,600,159.81", -   ," 7,600,159.81 ",," 10,884,146.81 ",,,,,,,,,
358,Millsfield,TRUE,358,Millsfield, 2.00 ," 8,364.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,364.00 "," 15,573 "," 111,654,589.84 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 15,573.00 ",,,,,,,,,
359,Milton,TRUE,359,Milton, 500.64 ," 2,093,669.37 ", 218.25 ," 512,016.61 ", 117.99 ," 252,724.51 ", 2.00 ," 1,632.00 ", -   , -   ," 2,860,042.49 "," 990,804 "," 838,912,444.38 "," 3,843,798.33 "," 4,909.94 "," 1,071,599.44 "," 2,940,837.93 "," 2,938,374.85 "," 3,055,909.84 ","115,071.91","3,055,909.84", -   ," 3,055,909.84 ",," 4,046,713.84 ",,,,,,,,,
365,Monroe,TRUE,365,Monroe, 126.92 ," 530,760.20 ", 28.16 ," 66,066.41 ", 32.00 ," 68,544.00 ", -   , -   , -   , -   ," 665,370.61 "," 178,287 "," 723,269,943.89 "," 25,683,116.33 ", -   , -   ," 487,083.61 "," 493,050.87 "," 512,772.90 ","25,689.29","512,772.90", -   ," 512,772.90 ",," 691,059.90 ",,,,,,,,,
367,Mont Vernon,TRUE,367,Mont Vernon, 413.81 ," 1,730,572.24 ", 34.00 ," 79,764.00 ", 74.89 ," 160,408.38 ", 1.62 ," 1,319.06 ", 0.28 ," 1,177.23 "," 1,973,240.91 "," 644,042 "," 534,169,742.85 "," 15,710,874.79 ", -   , -   ," 1,329,198.91 "," 1,313,224.13 "," 1,365,753.10 ","36,554.18","1,365,753.10", -   ," 1,365,753.10 ",," 2,009,795.10 ",,,,,,,,,
369,Moultonborough,TRUE,369,Moultonborough, 415.67 ," 1,738,340.72 ", 97.77 ," 229,375.69 ", 86.42 ," 185,115.28 ", 12.78 ," 10,430.60 ", -   , -   ," 2,163,262.29 "," 7,230,520 "," 5,962,725,936.61 "," 60,985,341.95 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 7,230,520.00 ",,,,,,,,,
371,Nashua,TRUE,371,Nashua," 9,547.20 "," 39,926,401.69 "," 4,283.99 "," 10,050,248.99 "," 2,012.20 "," 4,310,128.54 "," 1,380.82 "," 1,126,747.08 ", 0.67 ," 2,810.30 "," 55,416,336.60 "," 18,436,077 "," 15,601,670,357.22 "," 3,641,851.93 "," 5,253.25 "," 22,504,896.75 "," 59,485,156.35 "," 36,177,736.17 "," 37,624,845.62 ",0.00,"58,479,033.63", -   ," 59,485,156.35 ",," 77,921,233.35 ",,,,,,,,,
375,Nelson,TRUE,375,Nelson, 56.73 ," 237,238.17 ", 15.46 ," 36,260.48 ", 7.33 ," 15,697.65 ", -   , -   , -   , -   ," 289,196.30 "," 197,073 "," 166,358,741.63 "," 10,763,167.23 ", -   , -   ," 92,123.30 "," 143,257.25 "," 148,987.54 ","56,864.24","148,987.54", -   ," 148,987.54 ",," 346,060.54 ",,,,,,,,,
377,New Boston,TRUE,377,New Boston, 927.12 ," 3,877,230.90 ", 95.61 ," 224,292.15 ", 172.46 ," 369,414.68 ", 1.01 , 822.69 , 1.46 ," 6,084.81 "," 4,477,845.23 "," 1,368,415 "," 1,138,542,062.68 "," 11,908,663.48 ", -   , -   ," 3,109,430.23 "," 2,920,966.69 "," 3,037,805.36 ",0.00,"3,105,782.20", -   ," 3,109,430.23 ",," 4,477,845.23 ",,,,,,,,,
379,Newbury,TRUE,379,Newbury, 184.96 ," 773,503.14 ", 39.33 ," 92,263.49 ", 39.98 ," 85,638.23 ", 0.38 , 308.28 , -   , -   ," 951,713.14 "," 1,861,032 "," 1,535,326,757.33 "," 39,039,024.55 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,861,032.00 ",,,,,,,,,
381,New Castle,TRUE,381,New Castle, 38.50 ," 161,007.00 ", -   , -   , 3.00 ," 6,426.00 ", -   , -   , -   , -   ," 167,433.00 "," 1,476,609 "," 1,212,374,324.34 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,476,609.00 ",,,,,,,,,
383,New Durham,TRUE,383,New Durham, 320.65 ," 1,340,952.03 ", 90.63 ," 212,621.97 ", 56.37 ," 120,741.76 ", 2.00 ," 1,632.00 ", -   , -   ," 1,675,947.76 "," 1,029,160 "," 851,320,733.88 "," 9,393,189.51 ", -   , -   ," 646,787.76 "," 444,813.67 "," 462,606.22 ",0.00,"609,494.48", -   ," 646,787.76 ",," 1,675,947.76 ",,,,,,,,,
387,Newfields,TRUE,387,Newfields, 246.94 ," 1,032,721.06 ", 14.53 ," 34,078.70 ", 51.47 ," 110,240.17 ", -   , -   , -   , -   ," 1,177,039.93 "," 526,397 "," 434,077,853.53 "," 29,882,203.56 ", -   , -   ," 650,642.93 "," 518,517.44 "," 539,258.14 ",0.00,"643,014.88", -   ," 650,642.93 ",," 1,177,039.93 ",,,,,,,,,
389,New Hampton,TRUE,389,New Hampton, 228.54 ," 955,752.61 ", 75.86 ," 177,976.01 ", 46.65 ," 99,923.66 ", 5.00 ," 4,080.00 ", -   , -   ," 1,237,732.28 "," 635,018 "," 575,481,141.90 "," 7,585,734.69 ", -   , -   ," 602,714.28 "," 805,473.84 "," 837,692.79 ","234,978.51","837,692.79", -   ," 837,692.79 ",," 1,472,710.79 ",,,,,,,,,
391,Newington,TRUE,391,Newington, 65.19 ," 272,642.98 ", 2.30 ," 5,405.42 ", 9.95 ," 21,305.83 ", -   , -   , -   , -   ," 299,354.23 "," 1,019,237 "," 1,282,795,460.50 "," 556,744,698.80 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 1,019,237.00 ",,,,,,,,,
393,New Ipswich,TRUE,393,New Ipswich, 627.25 ," 2,623,139.01 ", 107.64 ," 252,513.59 ", 80.96 ," 173,409.04 ", 1.34 ," 1,091.73 ", -   , -   ," 3,050,153.37 "," 924,924 "," 777,476,141.79 "," 7,223,211.44 ", -   , -   ," 2,125,229.37 "," 2,760,237.89 "," 2,870,647.41 ","745,418.04","2,870,647.41", -   ," 2,870,647.41 ",," 3,795,571.41 ",,,,,,,,,
395,New London,TRUE,395,New London, 310.63 ," 1,299,042.53 ", 19.50 ," 45,755.91 ", 30.00 ," 64,260.00 ", -   , -   , -   , -   ," 1,409,058.44 "," 2,582,131 "," 2,138,706,462.83 "," 109,655,885.66 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,582,131.00 ",,,,,,,,,
399,Newmarket,TRUE,399,Newmarket, 956.84 ," 4,001,484.39 ", 206.20 ," 483,753.18 ", 193.95 ," 415,446.26 ", 19.70 ," 16,072.51 ", 1.05 ," 4,391.10 "," 4,921,147.44 "," 1,875,985 "," 1,547,173,738.70 "," 7,503,143.69 ", -   , -   ," 3,045,162.44 "," 2,300,645.22 "," 2,392,671.03 ",0.00,"2,929,548.95", -   ," 3,045,162.44 ",," 4,921,147.44 ",,,,,,,,,
401,Newport,TRUE,401,Newport, 634.09 ," 2,651,755.60 ", 378.58 ," 888,143.52 ", 181.38 ," 388,516.60 ", 10.99 ," 8,966.21 ", -   , -   ," 3,937,381.93 "," 905,369 "," 765,303,752.30 "," 2,021,523.06 "," 8,007.81 "," 3,031,579.40 "," 6,063,592.33 "," 7,199,346.09 "," 7,487,319.93 ","1,423,727.60","7,487,319.93", -   ," 7,487,319.93 ",," 8,392,688.93 ",,,,,,,,,
403,Newton,TRUE,403,Newton, 538.13 ," 2,250,477.64 ", 69.45 ," 162,934.39 ", 134.11 ," 287,256.55 ", 7.54 ," 6,154.52 ", 0.30 ," 1,254.60 "," 2,708,077.70 "," 1,090,963 "," 914,830,752.14 "," 13,172,129.70 ", -   , -   ," 1,617,114.70 "," 1,431,548.89 "," 1,488,810.85 ",0.00,"1,588,114.69", -   ," 1,617,114.70 ",," 2,708,077.70 ",,,,,,,,,
404,Northfield,TRUE,404,Northfield, 494.57 ," 2,068,294.67 ", 154.70 ," 362,937.46 ", 111.88 ," 239,650.39 ", 1.00 , 816.00 , -   , -   ," 2,671,698.52 "," 744,740 "," 625,687,970.12 "," 4,044,399.20 "," 4,568.92 "," 706,834.06 "," 2,633,792.58 "," 4,347,726.29 "," 4,521,635.34 ","1,887,842.76","4,521,635.34", -   ," 4,521,635.34 ",," 5,266,375.34 ",,,,,,,,,
405.00, North Hampton , TRUE ,405,North Hampton, 401.82 ," 1,680,404.97 ", 24.99 ," 58,618.09 ", 82.41 ," 176,518.58 ", 2.64 ," 2,150.16 ", -   , -   ," 1,917,691.80 "," 2,425,851 "," 2,017,612,578.30 "," 80,748,430.28 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 2,425,851.00 ",,,,,,,,,
407,Northumberland,TRUE,407,Northumberland, 251.65 ," 1,052,393.61 ", 121.73 ," 285,570.37 ", 81.06 ," 173,627.74 ", -   , -   , -   , -   ," 1,511,591.72 "," 217,829 "," 282,771,776.37 "," 2,323,009.18 "," 7,495.28 "," 912,374.74 "," 2,206,137.46 "," 2,689,392.99 "," 2,796,968.71 ","590,831.25","2,796,968.71", -   ," 2,796,968.71 ",," 3,014,797.71 ",,,,,,,,,
411,Northwood,TRUE,411,Northwood, 562.22 ," 2,351,198.60 ", 81.73 ," 191,736.47 ", 114.66 ," 245,609.22 ", -   , -   , -   , -   ," 2,788,544.29 "," 1,141,313 "," 947,366,031.28 "," 11,591,538.77 ", -   , -   ," 1,647,231.29 "," 1,986,859.43 "," 2,066,333.81 ","419,102.52","2,066,333.81", -   ," 2,066,333.81 ",," 3,207,646.81 ",,,,,,,,,
413,Nottingham,TRUE,413,Nottingham, 755.73 ," 3,160,446.55 ", 71.81 ," 168,465.09 ", 94.81 ," 203,088.16 ", -   , -   , 0.30 ," 1,254.60 "," 3,533,254.40 "," 1,386,961 "," 1,173,888,088.74 "," 16,347,253.34 ", -   , -   ," 2,146,293.40 "," 1,792,394.99 "," 1,864,090.79 ",0.00,"2,123,521.31", -   ," 2,146,293.40 ",," 3,533,254.40 ",,,,,,,,,
414,Odell,TRUE,414,Odell, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,637 "," 3,800,697.32 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 4,637.00 ",,,,,,,,,
415,Orange,TRUE,415,Orange, 34.62 ," 144,790.04 ", 4.78 ," 11,221.62 ", 7.78 ," 16,671.83 ", -   , -   , -   , -   ," 172,683.49 "," 48,310 "," 40,676,483.90 "," 8,503,853.80 ", -   , -   ," 124,373.49 "," 244,234.33 "," 254,003.70 ","129,630.21","254,003.70", -   ," 254,003.70 ",," 302,313.70 ",,,,,,,,,
419,Ossipee,TRUE,419,Ossipee, 533.95 ," 2,232,968.86 ", 290.47 ," 681,449.19 ", 123.93 ," 265,461.06 ", 1.16 , 943.62 , 0.45 ," 1,888.17 "," 3,182,710.90 "," 1,611,831 "," 1,343,756,195.20 "," 4,626,099.91 "," 3,580.03 "," 1,039,901.38 "," 2,610,781.28 "," 2,697,844.81 "," 2,805,758.60 ","194,977.32","2,805,758.60", -   ," 2,805,758.60 ",," 4,417,589.60 ",,,,,,,,,
425,Pelham,TRUE,425,Pelham," 1,601.51 "," 6,697,532.80 ", 173.27 ," 406,497.75 ", 285.93 ," 612,464.42 ", 19.55 ," 15,952.72 ", -   , -   ," 7,732,447.69 "," 3,668,293 "," 3,092,001,291.34 "," 17,844,711.21 ", -   , -   ," 4,064,154.69 "," 3,339,623.79 "," 3,473,208.74 ",0.00,"3,958,432.93", -   ," 4,064,154.69 ",," 7,732,447.69 ",,,,,,,,,
427,Pembroke,TRUE,427,Pembroke," 1,001.48 "," 4,188,192.29 ", 247.36 ," 580,311.02 ", 213.69 ," 457,727.84 ", 12.84 ," 10,478.99 ", -   , -   ," 5,236,710.14 "," 1,402,190 "," 1,186,970,592.61 "," 4,798,518.25 "," 3,286.92 "," 813,058.52 "," 4,647,578.66 "," 5,765,992.12 "," 5,996,631.80 ","1,349,053.14","5,996,631.80", -   ," 5,996,631.80 ",," 7,398,821.80 ",,,,,,,,,
429,Penacook,TRUE,429,Penacook, 682.21 ," 2,853,019.78 ", 260.00 ," 609,965.63 ", 196.16 ," 420,181.15 ", 14.08 ," 11,493.12 ", -   , -   ," 3,894,659.68 "," 752,988 "," 670,234,468.00 "," 2,577,801.08 "," 7,062.14 "," 1,836,172.87 "," 4,977,844.55 "," 4,042,319.72 "," 4,204,012.51 ",0.00,"4,650,754.70", -   ," 4,977,844.55 ",," 5,730,832.55 ",,,,,,,,,
431,Peterborough,TRUE,431,Peterborough, 603.32 ," 2,523,066.68 ", 161.28 ," 378,361.00 ", 123.03 ," 263,527.48 ", 1.00 , 816.00 , -   , -   ," 3,165,771.16 "," 1,446,505 "," 1,206,344,158.40 "," 7,479,849.59 ", -   , -   ," 1,719,266.16 "," 2,040,469.82 "," 2,122,088.61 ","402,822.45","2,122,088.61", -   ," 2,122,088.61 ",," 3,568,593.61 ",,,,,,,,,
435,Piermont,TRUE,435,Piermont, 74.64 ," 312,161.63 ", 12.00 ," 28,152.00 ", 13.64 ," 29,225.66 ", -   , -   , -   , -   ," 369,539.29 "," 175,134 "," 146,511,314.09 "," 12,209,276.17 ", -   , -   ," 194,405.29 "," 330,783.79 "," 344,015.14 ","149,609.85","344,015.14", -   ," 344,015.14 ",," 519,149.14 ",,,,,,,,,
436,Pinkham's Grant,TRUE,436,Pinkham's Grant, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,480 "," 6,412,146.55 ", -   ,  , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 7,480.00 ",,,,,,,,,
437,Pittsburg,TRUE,437,Pittsburg, 52.77 ," 220,697.52 ", 19.64 ," 46,073.33 ", 10.75 ," 23,032.71 ", -   , -   , -   , -   ," 289,803.56 "," 651,948 "," 554,941,615.76 "," 28,256,977.96 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 651,948.00 ",,,,,,,,,
439,Pittsfield,TRUE,439,Pittsfield, 491.22 ," 2,054,297.51 ", 229.13 ," 537,531.00 ", 145.50 ," 311,656.72 ", -   , -   , -   , -   ," 2,903,485.23 "," 610,043 "," 516,648,022.91 "," 2,254,858.33 "," 7,611.14 "," 1,743,914.82 "," 4,037,357.05 "," 4,554,758.98 "," 4,736,949.34 ","699,592.29","4,736,949.34", -   ," 4,736,949.34 ",," 5,346,992.34 ",,,,,,,,,
441,Plainfield,TRUE,441,Plainfield, 267.74 ," 1,119,680.73 ", 15.26 ," 35,797.85 ", 48.66 ," 104,235.08 ", 1.47 ," 1,196.17 ", -   , -   ," 1,260,909.83 "," 576,099 "," 483,170,873.30 "," 31,664,441.11 ", -   , -   ," 684,810.83 "," 747,246.42 "," 777,136.28 ","92,325.45","777,136.28", -   ," 777,136.28 ",," 1,353,235.28 ",,,,,,,,,
