,,,Loc #,State Total,"154,925.43","647,898,128.65 ","41,749.19","97,943,593.71 ","31,471.30 ","67,411,519.29 ","5,454.57","4,450,925.24 ",39.46 ,"165,038.87 "," 817,869,205.76 "," 364,350,537 ","311,943,286,262",,," $158,650,596.05 "," 640,566,313.35 "," 598,639,134.52 "," 622,584,699.90 "," 59,449,971.16 ",, -   ," 700,016,284.46 ",,"1,064,366,821.46 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Canaan,TRUE,77,Canaan, 395.80 ," 1,655,243.96 ", 116.74 ," 273,860.78 ", 79.39 ," 170,063.45 ", 0.46 , 376.26 , -   , -   ," 2,099,544.45 "," 726,437 "," 605,104,389.35 "," 5,183,564.08 "," 2,632.34 "," 307,286.86 "," 1,680,394.31 "," 2,509,910.81 "," 2,610,307.24 ","929,912.93","2,610,307.24", -   ," 2,610,307.24 ",," 3,336,744.24 ",,,,,,,,,
79,Candia,TRUE,79,Candia, 417.11 ," 1,744,370.75 ", 58.00 ," 136,074.10 ", 59.38 ," 127,185.75 ", -   , -   , -   , -   ," 2,007,630.60 "," 939,872 "," 784,938,919.02 "," 13,532,822.99 ", -   , -   ," 1,067,758.60 "," 893,018.90 "," 928,739.66 ",0.00,"1,068,526.37", -   ," 1,067,758.60 ",," 2,007,630.60 ",,,,,,,,,
81,Canterbury,TRUE,81,Canterbury, 219.20 ," 916,704.02 ", 41.84 ," 98,151.48 ", 41.00 ," 87,822.00 ", 3.00 ," 2,448.00 ", -   , -   ," 1,105,125.50 "," 599,824 "," 502,952,654.93 "," 12,021,489.06 ", -   , -   ," 505,301.50 "," 468,978.28 "," 487,737.41 ",0.00,"497,489.99", -   ," 505,301.50 ",," 1,105,125.50 ",,,,,,,,,
83,Carroll,TRUE,83,Carroll, 59.26 ," 247,827.83 ", 15.56 ," 36,500.01 ", 6.75 ," 14,460.43 ", 2.70 ," 2,205.00 ", -   , -   ," 300,993.27 "," 776,010 "," 642,161,920.64 "," 41,274,290.46 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 776,010.00 ",,,,,,,,,
87,Center Harbor,TRUE,87,Center Harbor, 100.32 ," 419,549.11 ", 13.60 ," 31,911.23 ", 16.73 ," 35,829.88 ", -   , -   , 1.05 ," 4,391.10 "," 491,681.32 "," 985,771 "," 813,038,794.06 "," 59,771,716.32 ", -   , -   , -   , -   , -   ,0.00,0.00, -   , -   ,," 985,771.00 ",,,,,,,,,
89,Charlestown,TRUE,89,Charlestown, 606.71 ," 2,537,280.88 ", 282.29 ," 662,256.09 ", 159.16 ," 340,914.51 ", 5.19 ," 4,234.14 ", -   , -   ," 3,544,685.62 "," 553,482 "," 486,393,409.95 "," 1,723,017.65 "," 8,515.27 "," 2,403,789.19 "," 5,394,992.81 "," 5,402,583.26 "," 5,618,686.59 ","223,693.78","5,618,686.59", -   ," 5,618,686.59 ",," 6,172,168.59 ",,,,,,,,,
91,Chatham,TRUE,91,Chatham, 41.62 ," 174,064.88 ", 5.57 ," 13,059.71 ", 10.45 ," 22,383.90 ", -   , -   , -   , -   ," 209,508.49 "," 97,510 "," 82,116,510.17 "," 14,751,115.57 ", -   , -   ," 111,998.49 "," 72,461.61 "," 75,360.07 ",0.00,"88,978.04", -   ," 111,998.49 ",," 209,508.49 ",,,,,,,,,
93,Chester,TRUE,93,Chester, 721.61 ," 3,017,752.95 ", 42.76 ," 100,325.99 ", 135.13 ," 289,451.89 ", 11.00 ," 8,976.00 ", -   , -   ," 3,416,506.83 "," 1,248,471 "," 1,096,025,080.93 "," 25,629,200.74 ", -   , -   ," 2,168,035.83 "," 2,481,061.62 "," 2,580,304.08 ","412,268.25","2,580,304.08", -   ," 2,580,304.08 ",," 3,828,775.08 ",,,,,,,,,
95,Chesterfield,TRUE,95,Chesterfield, 369.61 ," 1,545,695.64 ", 66.90 ," 156,951.39 ", 44.87 ," 96,119.68 ", 3.70 ," 3,016.02 ", -   , -   ," 1,801,782.73 "," 976,537 "," 811,877,203.25 "," 12,135,374.78 ", -   , -   ," 825,245.73 "," 794,047.20 "," 825,809.09 ",563.36,"825,809.09", -   ," 825,809.09 ",," 1,802,346.09 ",,,,,,,,,
99,Chichester,TRUE,99,Chichester, 275.73 ," 1,153,081.95 ", 44.09 ," 103,437.02 ", 44.65 ," 95,641.37 ", 1.64 ," 1,337.91 ", -   , -   ," 1,353,498.25 "," 613,390 "," 512,804,333.45 "," 11,630,642.53 ", -   , -   ," 740,108.25 "," 848,000.07 "," 881,920.07 ","141,811.82","881,920.07", -   ," 881,920.07 ",," 1,495,310.07 ",,,,,,,,,
